# Logfile created on 2026-09-22 21:06:37 +0200 by logger.rb/v1.5.3
2026-09-22 21:06:37 +0200: Memory Usage (408024K) : Starting running IHP-SG13G2 KLayout DRC runset on <results-root>/bgr-mos-nmos30-20260922-r2/bank.gds
2026-09-22 21:06:37 +0200: Memory Usage (408024K) : Ruby Version for klayout: 3.2.3
2026-09-22 21:06:37 +0200: Memory Usage (408024K) : Loading database to memory is complete.
2026-09-22 21:06:37 +0200: Memory Usage (408024K) : IHP-SG13G2 KLayout DRC runset output at: <results-root>/bgr-mos-nmos30-20260922-r2-drc/reports/bank_bgr_mos_bank_main.lyrdb
2026-09-22 21:06:37 +0200: Memory Usage (409344K) : Evaluate switches.
2026-09-22 21:06:37 +0200: Memory Usage (409344K) : tables selected: main
2026-09-22 21:06:37 +0200: Memory Usage (409344K) : KLayout will use 128 thread(s) in tiling mode.
2026-09-22 21:06:37 +0200: Memory Usage (409344K) : deep mode is enabled.
2026-09-22 21:06:37 +0200: Memory Usage (409344K) : FEOL enabled: true
2026-09-22 21:06:37 +0200: Memory Usage (409344K) : BEOL enabled: true
2026-09-22 21:06:37 +0200: Memory Usage (409344K) : OFFGRID enabled: true
2026-09-22 21:06:37 +0200: Memory Usage (409344K) : ANGLE enabled: true
2026-09-22 21:06:37 +0200: Memory Usage (409344K) : PIN enabled: true
2026-09-22 21:06:37 +0200: Memory Usage (409344K) : FORBIDDEN enabled: true
2026-09-22 21:06:37 +0200: Memory Usage (409344K) : RECOMMENDED enabled: true
2026-09-22 21:06:37 +0200: Memory Usage (409344K) : PreCheck DRC enabled: false
2026-09-22 21:06:37 +0200: Memory Usage (409344K) : CONNECTIVITY_RULES enabled: true.
2026-09-22 21:06:37 +0200: Memory Usage (409344K) : Read in polygons from layers.
2026-09-22 21:06:37 +0200: Memory Usage (409344K) : activ_drw has 210 polygons
2026-09-22 21:06:37 +0200: Memory Usage (409344K) : activ_pin has 0 polygons
2026-09-22 21:06:37 +0200: Memory Usage (409344K) : activ_mask has 0 polygons
2026-09-22 21:06:37 +0200: Memory Usage (409344K) : activ_filler has 0 polygons
2026-09-22 21:06:37 +0200: Memory Usage (409344K) : activ_nofill has 0 polygons
2026-09-22 21:06:37 +0200: Memory Usage (409344K) : activ_opc has 0 polygons
2026-09-22 21:06:37 +0200: Memory Usage (409344K) : activ_iopc has 0 polygons
2026-09-22 21:06:37 +0200: Memory Usage (409344K) : activ_noqrc has 0 polygons
2026-09-22 21:06:37 +0200: Memory Usage (409344K) : biwind_drw has 0 polygons
2026-09-22 21:06:37 +0200: Memory Usage (409344K) : biwind_opc has 0 polygons
2026-09-22 21:06:37 +0200: Memory Usage (409344K) : pemwind_drw has 0 polygons
2026-09-22 21:06:37 +0200: Memory Usage (409344K) : gatpoly_drw has 60 polygons
2026-09-22 21:06:37 +0200: Memory Usage (409344K) : gatpoly_pin has 30 polygons
2026-09-22 21:06:37 +0200: Memory Usage (409344K) : gatpoly_filler has 0 polygons
2026-09-22 21:06:37 +0200: Memory Usage (409344K) : gatpoly_nofill has 0 polygons
2026-09-22 21:06:37 +0200: Memory Usage (410740K) : gatpoly_opc has 0 polygons
2026-09-22 21:06:37 +0200: Memory Usage (410740K) : gatpoly_iopc has 0 polygons
2026-09-22 21:06:37 +0200: Memory Usage (410740K) : gatpoly_noqrc has 0 polygons
2026-09-22 21:06:37 +0200: Memory Usage (410740K) : cont_drw has 5010 polygons
2026-09-22 21:06:37 +0200: Memory Usage (410740K) : cont_opc has 0 polygons
2026-09-22 21:06:37 +0200: Memory Usage (410740K) : nsd_drw has 0 polygons
2026-09-22 21:06:37 +0200: Memory Usage (410740K) : nsd_block has 0 polygons
2026-09-22 21:06:37 +0200: Memory Usage (410740K) : metal1_drw has 450 polygons
2026-09-22 21:06:37 +0200: Memory Usage (411052K) : metal1_pin has 180 polygons
2026-09-22 21:06:37 +0200: Memory Usage (411052K) : metal1_mask has 0 polygons
2026-09-22 21:06:37 +0200: Memory Usage (411052K) : metal1_filler has 0 polygons
2026-09-22 21:06:37 +0200: Memory Usage (411052K) : metal1_nofill has 0 polygons
2026-09-22 21:06:37 +0200: Memory Usage (411052K) : metal1_slit has 0 polygons
2026-09-22 21:06:37 +0200: Memory Usage (411316K) : metal1_text has 120 polygons
2026-09-22 21:06:37 +0200: Memory Usage (411316K) : metal1_opc has 0 polygons
2026-09-22 21:06:37 +0200: Memory Usage (411316K) : metal1_noqrc has 0 polygons
2026-09-22 21:06:37 +0200: Memory Usage (411316K) : metal1_res has 0 polygons
2026-09-22 21:06:37 +0200: Memory Usage (411736K) : metal1_iprobe has 0 polygons
2026-09-22 21:06:37 +0200: Memory Usage (411736K) : metal1_diffprb has 0 polygons
2026-09-22 21:06:37 +0200: Memory Usage (411736K) : passiv_drw has 0 polygons
2026-09-22 21:06:37 +0200: Memory Usage (411736K) : passiv_pin has 0 polygons
2026-09-22 21:06:37 +0200: Memory Usage (411736K) : passiv_sbump has 0 polygons
2026-09-22 21:06:37 +0200: Memory Usage (411736K) : passiv_pillar has 0 polygons
2026-09-22 21:06:37 +0200: Memory Usage (411736K) : passiv_pdl has 0 polygons
2026-09-22 21:06:37 +0200: Memory Usage (411736K) : metal2_drw has 360 polygons
2026-09-22 21:06:37 +0200: Memory Usage (411972K) : metal2_pin has 0 polygons
2026-09-22 21:06:37 +0200: Memory Usage (411972K) : metal2_mask has 0 polygons
2026-09-22 21:06:37 +0200: Memory Usage (411972K) : metal2_filler has 0 polygons
2026-09-22 21:06:37 +0200: Memory Usage (411972K) : metal2_nofill has 0 polygons
2026-09-22 21:06:37 +0200: Memory Usage (411972K) : metal2_slit has 0 polygons
2026-09-22 21:06:37 +0200: Memory Usage (411972K) : metal2_text has 0 polygons
2026-09-22 21:06:37 +0200: Memory Usage (411972K) : metal2_opc has 0 polygons
2026-09-22 21:06:37 +0200: Memory Usage (411972K) : metal2_noqrc has 0 polygons
2026-09-22 21:06:37 +0200: Memory Usage (411972K) : metal2_res has 0 polygons
2026-09-22 21:06:37 +0200: Memory Usage (412232K) : metal2_iprobe has 0 polygons
2026-09-22 21:06:37 +0200: Memory Usage (412232K) : metal2_diffprb has 0 polygons
2026-09-22 21:06:37 +0200: Memory Usage (412232K) : baspoly_drw has 0 polygons
2026-09-22 21:06:37 +0200: Memory Usage (412232K) : baspoly_pin has 0 polygons
2026-09-22 21:06:37 +0200: Memory Usage (412232K) : psd_drw has 148 polygons
2026-09-22 21:06:37 +0200: Memory Usage (412496K) : nldb_drw has 0 polygons
2026-09-22 21:06:37 +0200: Memory Usage (412496K) : digibnd_drw has 0 polygons
2026-09-22 21:06:37 +0200: Memory Usage (412496K) : via1_drw has 240 polygons
2026-09-22 21:06:37 +0200: Memory Usage (412496K) : backmetal1_drw has 0 polygons
2026-09-22 21:06:37 +0200: Memory Usage (412496K) : backmetal1_pin has 0 polygons
2026-09-22 21:06:37 +0200: Memory Usage (412760K) : backmetal1_mask has 0 polygons
2026-09-22 21:06:37 +0200: Memory Usage (412760K) : backmetal1_filler has 0 polygons
2026-09-22 21:06:37 +0200: Memory Usage (412760K) : backmetal1_nofill has 0 polygons
2026-09-22 21:06:37 +0200: Memory Usage (412760K) : backmetal1_slit has 0 polygons
2026-09-22 21:06:37 +0200: Memory Usage (412760K) : backmetal1_text has 0 polygons
