deck,psrr_100k,psrr_1k,psrr_1m,psrr_dc
psrr_hbt_bcs_mos_ff_res_bcs_T-40_3.3,-43.5684,-83.5127,-25.7799,-105.112
psrr_hbt_bcs_mos_ff_res_bcs_T175_3.3,-43.0411,-82.8755,-25.5049,-97.9651
psrr_hbt_bcs_mos_ff_res_bcs_T27_3.3,-43.4497,-83.3739,-25.693,-102.804
psrr_hbt_bcs_mos_ff_res_typ_T-40_3.3,-42.4556,-82.4027,-25.0687,-105.371
psrr_hbt_bcs_mos_ff_res_typ_T175_3.3,-41.9606,-81.8275,-24.8619,-98.3411
psrr_hbt_bcs_mos_ff_res_typ_T27_3.3,-42.3427,-82.2752,-24.9938,-103.103
psrr_hbt_bcs_mos_ff_res_wcs_T-40_3.3,-41.4053,-81.3517,-24.4603,-105.58
psrr_hbt_bcs_mos_ff_res_wcs_T175_3.3,-40.9337,-80.8192,-24.313,-98.6274
psrr_hbt_bcs_mos_ff_res_wcs_T27_3.3,-41.2966,-81.2321,-24.3956,-103.347
psrr_hbt_bcs_mos_ss_res_bcs_T-40_3.3,-43.5847,-83.5292,-25.7167,-105.007
psrr_hbt_bcs_mos_ss_res_bcs_T175_3.3,-43.0572,-82.8693,-25.4854,-97.3016
psrr_hbt_bcs_mos_ss_res_bcs_T27_3.3,-43.4647,-83.3873,-25.6735,-102.641
psrr_hbt_bcs_mos_ss_res_typ_T-40_3.3,-42.4707,-82.4181,-25.0284,-105.311
psrr_hbt_bcs_mos_ss_res_typ_T175_3.3,-41.9743,-81.8268,-24.8378,-97.7309
psrr_hbt_bcs_mos_ss_res_typ_T27_3.3,-42.3559,-82.2877,-24.9735,-102.982
psrr_hbt_bcs_mos_ss_res_wcs_T-40_3.3,-41.4195,-81.3664,-24.4275,-105.554
psrr_hbt_bcs_mos_ss_res_wcs_T175_3.3,-40.946,-80.8218,-24.2854,-98.0597
psrr_hbt_bcs_mos_ss_res_wcs_T27_3.3,-41.3087,-81.2441,-24.3747,-103.259
psrr_hbt_bcs_mos_tt_res_bcs_T-40_3.3,-43.579,-83.5232,-25.7748,-105.086
psrr_hbt_bcs_mos_tt_res_bcs_T175_3.3,-43.0514,-82.878,-25.4954,-97.7257
psrr_hbt_bcs_mos_tt_res_bcs_T27_3.3,-43.4593,-83.3829,-25.6871,-102.743
psrr_hbt_bcs_mos_tt_res_typ_T-40_3.3,-42.4653,-82.4125,-25.0621,-105.364
psrr_hbt_bcs_mos_tt_res_typ_T175_3.3,-41.9695,-81.8319,-24.8497,-98.1338
psrr_hbt_bcs_mos_tt_res_typ_T27_3.3,-42.3513,-82.2836,-24.9861,-103.061
psrr_hbt_bcs_mos_tt_res_wcs_T-40_3.3,-41.4144,-81.3611,-24.4526,-105.588
psrr_hbt_bcs_mos_tt_res_wcs_T175_3.3,-40.9419,-80.8246,-24.2988,-98.448
psrr_hbt_bcs_mos_tt_res_wcs_T27_3.3,-41.3046,-81.2401,-24.3868,-103.321
psrr_hbt_typ_mos_ff_res_bcs_T-40_3.3,-43.5582,-83.5022,-25.7677,-105.074
psrr_hbt_typ_mos_ff_res_bcs_T175_3.3,-43.0256,-82.8588,-25.4904,-97.9112
psrr_hbt_typ_mos_ff_res_bcs_T27_3.3,-43.4377,-83.3615,-25.68,-102.755
