 temp-sweep      v(vref)         iptat           itot            v(vbe)          v(dvbe)         v(pbias)        v(pcasc)       
-4.00000000e+01  1.03101474e+00  2.83277565e-06  1.49410671e-05  7.73404016e-01  4.23122438e-02  2.08370312e+00  1.67493802e+00 
-3.50000000e+01  1.03093170e+00  2.89417286e-06  1.52566740e-05  7.67580772e-01  4.32552106e-02  2.08324481e+00  1.66537170e+00 
-3.00000000e+01  1.03083528e+00  2.95553766e-06  1.55722379e-05  7.61735028e-01  4.41996877e-02  2.08281927e+00  1.65582367e+00 
-2.50000000e+01  1.03072571e+00  3.01686667e-06  1.58877434e-05  7.55866964e-01  4.51456775e-02  2.08242630e+00  1.64629371e+00 
-2.00000000e+01  1.03060315e+00  3.07815653e-06  1.62031755e-05  7.49976752e-01  4.60931825e-02  2.08206572e+00  1.63678159e+00 
-1.50000000e+01  1.03046782e+00  3.13940389e-06  1.65185191e-05  7.44064554e-01  4.70422051e-02  2.08173736e+00  1.62728712e+00 
-1.00000000e+01  1.03031988e+00  3.20060545e-06  1.68337592e-05  7.38130526e-01  4.79927479e-02  2.08144111e+00  1.61781012e+00 
-5.00000000e+00  1.03015952e+00  3.26175791e-06  1.71488811e-05  7.32174817e-01  4.89448135e-02  2.08117681e+00  1.60835041e+00 
 0.00000000e+00  1.02998690e+00  3.32285800e-06  1.74638702e-05  7.26197568e-01  4.98984046e-02  2.08094439e+00  1.59890785e+00 
 5.00000000e+00  1.02980218e+00  3.38390249e-06  1.77787117e-05  7.20198915e-01  5.08535239e-02  2.08074373e+00  1.58948230e+00 
 1.00000000e+01  1.02960553e+00  3.44488815e-06  1.80933913e-05  7.14178986e-01  5.18101743e-02  2.08057475e+00  1.58007364e+00 
 1.50000000e+01  1.02939710e+00  3.50581178e-06  1.84078946e-05  7.08137905e-01  5.27683585e-02  2.08043741e+00  1.57068175e+00 
 2.00000000e+01  1.02917703e+00  3.56667023e-06  1.87222075e-05  7.02075789e-01  5.37280796e-02  2.08033163e+00  1.56130653e+00 
 2.50000000e+01  1.02894547e+00  3.62746037e-06  1.90363159e-05  6.95992751e-01  5.46893405e-02  2.08025738e+00  1.55194788e+00 
 3.00000000e+01  1.02870257e+00  3.68817910e-06  1.93502059e-05  6.89888899e-01  5.56521442e-02  2.08021461e+00  1.54260573e+00 
 3.50000000e+01  1.02844845e+00  3.74882339e-06  1.96638639e-05  6.83764337e-01  5.66164941e-02  2.08020331e+00  1.53327999e+00 
 4.00000000e+01  1.02818328e+00  3.80939025e-06  1.99772766e-05  6.77619163e-01  5.75823936e-02  2.08022346e+00  1.52397059e+00 
 4.50000000e+01  1.02790717e+00  3.86987681e-06  2.02904310e-05  6.71453473e-01  5.85498466e-02  2.08027504e+00  1.51467746e+00 
 5.00000000e+01  1.02762030e+00  3.93028032e-06  2.06033149e-05  6.65267359e-01  5.95188573e-02  2.08035805e+00  1.50540052e+00 
 5.50000000e+01  1.02732282e+00  3.99059821e-06  2.09159168e-05  6.59060911e-01  6.04894310e-02  2.08047247e+00  1.49613969e+00 
 6.00000000e+01  1.02701492e+00  4.05082825e-06  2.12282266e-05  6.52834216e-01  6.14615741e-02  2.08061829e+00  1.48689487e+00 
 6.50000000e+01  1.02669682e+00  4.11096859e-06  2.15402362e-05  6.46587362e-01  6.24352951e-02  2.08079548e+00  1.47766589e+00 
 7.00000000e+01  1.02636882e+00  4.17101803e-06  2.18519402e-05  6.40320436e-01  6.34106052e-02  2.08100399e+00  1.46845255e+00 
 7.50000000e+01  1.02603127e+00  4.23097623e-06  2.21633373e-05  6.34033529e-01  6.43875197e-02  2.08124374e+00  1.45925456e+00 
 8.00000000e+01  1.02568464e+00  4.29084391e-06  2.24744309e-05  6.27726736e-01  6.53660587e-02  2.08151460e+00  1.45007148e+00 
 8.50000000e+01  1.02532950e+00  4.35062300e-06  2.27852302e-05  6.21400158e-01  6.63462477e-02  2.08181641e+00  1.44090274e+00 
 9.00000000e+01  1.02496656e+00  4.41031653e-06  2.30957497e-05  6.15053897e-01  6.73281170e-02  2.08214893e+00  1.43174758e+00 
 9.50000000e+01  1.02459661e+00  4.46992855e-06  2.34060093e-05  6.08688061e-01  6.83117008e-02  2.08251189e+00  1.42260503e+00 
 1.00000000e+02  1.02422052e+00  4.52946414e-06  2.37160350e-05  6.02302760e-01  6.92970363e-02  2.08290500e+00  1.41347386e+00 
 1.05000000e+02  1.02383936e+00  4.58893009e-06  2.40258618e-05  5.95898109e-01  7.02841669e-02  2.08332785e+00  1.40435238e+00 
 1.10000000e+02  1.02345450e+00  4.64833627e-06  2.43355418e-05  5.89474238e-01  7.12731474e-02  2.08377994e+00  1.39523822e+00 
 1.15000000e+02  1.02306784e+00  4.70769799e-06  2.46451546e-05  5.83031307e-01  7.22640537e-02  2.08426046e+00  1.38612785e+00 
 1.20000000e+02  1.02268217e+00  4.76703916e-06  2.49548239e-05  5.76569526e-01  7.32569966e-02  2.08476824e+00  1.37701601e+00 
 1.25000000e+02  1.02230158e+00  4.82639666e-06  2.52647388e-05  5.70089177e-01  7.42521397e-02  2.08530147e+00  1.36789488e+00 
 1.30000000e+02  1.02193207e+00  4.88582628e-06  2.55751838e-05  5.63590661e-01  7.52497245e-02  2.08585743e+00  1.35875287e+00 
 1.35000000e+02  1.02158241e+00  4.94541094e-06  2.58865797e-05  5.57074537e-01  7.62501042e-02  2.08643210e+00  1.34957303e+00 
 1.40000000e+02  1.02126526e+00  5.00527179e-06  2.61995392e-05  5.50541599e-01  7.72537900e-02  2.08701959e+00  1.34033081e+00 
 1.45000000e+02  1.02099873e+00  5.06558351e-06  2.65149440e-05  5.43992966e-01  7.82615147e-02  2.08761142e+00  1.33099103e+00 
 1.50000000e+02  1.02080855e+00  5.12659496e-06  2.68340477e-05  5.37430209e-01  7.92743186e-02  2.08819545e+00  1.32150366e+00 
 1.55000000e+02  1.02073084e+00  5.18865692e-06  2.71586149e-05  5.30855522e-01  8.02936639e-02  2.08875459e+00  1.31179834e+00 
 1.60000000e+02  1.02081603e+00  5.25225900e-06  2.74911060e-05  5.24271946e-01  8.13215873e-02  2.08926487e+00  1.30177683e+00 
 1.65000000e+02  1.02113381e+00  5.31807847e-06  2.78349215e-05  5.17683660e-01  8.23608995e-02  2.08969313e+00  1.29130324e+00 
 1.70000000e+02  1.02177975e+00  5.38704406e-06  2.81947212e-05  5.11096365e-01  8.34154424e-02  2.08999384e+00  1.28019113e+00 
 1.75000000e+02  1.02288390e+00  5.46041873e-06  2.85768382e-05  5.04517762e-01  8.44904172e-02  2.09010510e+00  1.26818682e+00 
