 temp-sweep      v(vref)         iptat           itot            v(vbe)          v(dvbe)         v(pbias)        v(pcasc)       
-4.00000000e+01  1.03601331e+00  3.66898869e-06  2.00556023e-05  7.78679406e-01  4.23186759e-02  2.23356869e+00  1.82527964e+00 
-3.50000000e+01  1.03604404e+00  3.74854344e-06  2.04722594e-05  7.72974075e-01  4.32618338e-02  2.23223154e+00  1.81484166e+00 
-3.00000000e+01  1.03606170e+00  3.82805795e-06  2.08889684e-05  7.67246451e-01  4.42065074e-02  2.23091998e+00  1.80441463e+00 
-2.50000000e+01  1.03606651e+00  3.90752788e-06  2.13057112e-05  7.61496716e-01  4.51526996e-02  2.22963390e+00  1.79399841e+00 
-2.00000000e+01  1.03605866e+00  3.98694886e-06  2.17224697e-05  7.55725041e-01  4.61004129e-02  2.22837321e+00  1.78359286e+00 
-1.50000000e+01  1.03603834e+00  4.06631658e-06  2.21392257e-05  7.49931590e-01  4.70496498e-02  2.22713785e+00  1.77319788e+00 
-1.00000000e+01  1.03600572e+00  4.14562672e-06  2.25559615e-05  7.44116518e-01  4.80004129e-02  2.22592775e+00  1.76281336e+00 
-5.00000000e+00  1.03596100e+00  4.22487503e-06  2.29726592e-05  7.38279974e-01  4.89527049e-02  2.22474287e+00  1.75243923e+00 
 0.00000000e+00  1.03590432e+00  4.30405726e-06  2.33893012e-05  7.32422099e-01  4.99065284e-02  2.22358319e+00  1.74207540e+00 
 5.00000000e+00  1.03583586e+00  4.38316920e-06  2.38058697e-05  7.26543030e-01  5.08618862e-02  2.22244868e+00  1.73172182e+00 
 1.00000000e+01  1.03575578e+00  4.46220665e-06  2.42223475e-05  7.20642894e-01  5.18187811e-02  2.22133935e+00  1.72137844e+00 
 1.50000000e+01  1.03566423e+00  4.54116546e-06  2.46387170e-05  7.14721816e-01  5.27772160e-02  2.22025520e+00  1.71104522e+00 
 2.00000000e+01  1.03556134e+00  4.62004151e-06  2.50549611e-05  7.08779913e-01  5.37371936e-02  2.21919625e+00  1.70072212e+00 
 2.50000000e+01  1.03544727e+00  4.69883067e-06  2.54710625e-05  7.02817297e-01  5.46987169e-02  2.21816252e+00  1.69040912e+00 
 3.00000000e+01  1.03532216e+00  4.77752890e-06  2.58870043e-05  6.96834077e-01  5.56617887e-02  2.21715403e+00  1.68010620e+00 
 3.50000000e+01  1.03518613e+00  4.85613214e-06  2.63027694e-05  6.90830355e-01  5.66264121e-02  2.21617084e+00  1.66981337e+00 
