 temp-sweep      v(vref)         iptat           itot            v(vbe)          v(dvbe)         v(pbias)        v(pcasc)       
-4.00000000e+01  1.03340610e+00  3.20901009e-06  1.73291472e-05  7.75946833e-01  4.23106875e-02  2.55342544e+00  2.14491714e+00 
-3.50000000e+01  1.03337745e+00  3.27857527e-06  1.76911887e-05  7.70180421e-01  4.32536450e-02  2.55251165e+00  2.13489946e+00 
-3.00000000e+01  1.03333558e+00  3.34810444e-06  1.80532439e-05  7.64391607e-01  4.41981155e-02  2.55162699e+00  2.12489638e+00 
-2.50000000e+01  1.03328068e+00  3.41759379e-06  1.84152967e-05  7.58580574e-01  4.51441014e-02  2.55077133e+00  2.11490771e+00 
-2.00000000e+01  1.03321296e+00  3.48703949e-06  1.87773305e-05  7.52747492e-01  4.60916053e-02  2.54994453e+00  2.10493328e+00 
-1.50000000e+01  1.03313261e+00  3.55643778e-06  1.91393292e-05  7.46892526e-01  4.70406295e-02  2.54914647e+00  2.09497293e+00 
-1.00000000e+01  1.03303979e+00  3.62578487e-06  1.95012768e-05  7.41015830e-01  4.79911768e-02  2.54837708e+00  2.08502653e+00 
-5.00000000e+00  1.03293470e+00  3.69507706e-06  1.98631572e-05  7.35117553e-01  4.89432497e-02  2.54763625e+00  2.07509396e+00 
 0.00000000e+00  1.03281750e+00  3.76431061e-06  2.02249547e-05  7.29197837e-01  4.98968509e-02  2.54692394e+00  2.06517511e+00 
 5.00000000e+00  1.03268835e+00  3.83348186e-06  2.05866534e-05  7.23256817e-01  5.08519831e-02  2.54624009e+00  2.05526987e+00 
 1.00000000e+01  1.03254741e+00  3.90258714e-06  2.09482377e-05  7.17294621e-01  5.18086492e-02  2.54558466e+00  2.04537818e+00 
 1.50000000e+01  1.03239483e+00  3.97162282e-06  2.13096922e-05  7.11311374e-01  5.27668520e-02  2.54495762e+00  2.03549995e+00 
 2.00000000e+01  1.03223075e+00  4.04058528e-06  2.16710013e-05  7.05307192e-01  5.37265942e-02  2.54435896e+00  2.02563512e+00 
 2.50000000e+01  1.03205533e+00  4.10947094e-06  2.20321497e-05  6.99282189e-01  5.46878788e-02  2.54378867e+00  2.01578364e+00 
 3.00000000e+01  1.03186869e+00  4.17827625e-06  2.23931223e-05  6.93236472e-01  5.56507086e-02  2.54324675e+00  2.00594546e+00 
 3.50000000e+01  1.03167097e+00  4.24699767e-06  2.27539039e-05  6.87170144e-01  5.66150867e-02  2.54273321e+00  1.99612054e+00 
 4.00000000e+01  1.03146230e+00  4.31563171e-06  2.31144794e-05  6.81083303e-01  5.75810160e-02  2.54224808e+00  1.98630885e+00 
 4.50000000e+01  1.03124280e+00  4.38417491e-06  2.34748342e-05  6.74976044e-01  5.85484997e-02  2.54179138e+00  1.97651037e+00 
 5.00000000e+01  1.03101261e+00  4.45262385e-06  2.38349534e-05  6.68848457e-01  5.95175407e-02  2.54136314e+00  1.96672507e+00 
 5.50000000e+01  1.03077184e+00  4.52097517e-06  2.41948228e-05  6.62700629e-01  6.04881424e-02  2.54096340e+00  1.95695294e+00 
 6.00000000e+01  1.03052062e+00  4.58922559e-06  2.45544281e-05  6.56532643e-01  6.14603083e-02  2.54059220e+00  1.94719396e+00 
 6.50000000e+01  1.03025908e+00  4.65737194e-06  2.49137558e-05  6.50344580e-01  6.24340422e-02  2.54024958e+00  1.93744810e+00 
 7.00000000e+01  1.02998735e+00  4.72541120e-06  2.52727930e-05  6.44136516e-01  6.34093484e-02  2.53993560e+00  1.92771531e+00 
 7.50000000e+01  1.02970559e+00  4.79334064e-06  2.56315282e-05  6.37908529e-01  6.43862321e-02  2.53965028e+00  1.91799552e+00 
 8.00000000e+01  1.02941398e+00  4.86115786e-06  2.59899513e-05  6.31660693e-01  6.53646997e-02  2.53939366e+00  1.90828859e+00 
 8.50000000e+01  1.02911275e+00  4.92886107e-06  2.63480555e-05  6.25393081e-01  6.63447598e-02  2.53916573e+00  1.89859432e+00 
 9.00000000e+01  1.02880220e+00  4.99644937e-06  2.67058380e-05  6.19105772e-01  6.73264241e-02  2.53896648e+00  1.88891235e+00 
 9.50000000e+01  1.02848276e+00  5.06392322e-06  2.70633028e-05  6.12798846e-01  6.83097094e-02  2.53879582e+00  1.87924209e+00 
 1.00000000e+02  1.02815500e+00  5.13128515e-06  2.74204642e-05  6.06472394e-01  6.92946399e-02  2.53865357e+00  1.86958265e+00 
 1.05000000e+02  1.02781981e+00  5.19854076e-06  2.77773514e-05  6.00126519e-01  7.02812511e-02  2.53853941e+00  1.85993259e+00 
 1.10000000e+02  1.02747845e+00  5.26570023e-06  2.81340165e-05  5.93761349e-01  7.12695955e-02  2.53845283e+00  1.85028971e+00 
 1.15000000e+02  1.02713278e+00  5.33278043e-06  2.84905445e-05  5.87377045e-01  7.22597501e-02  2.53839300e+00  1.84065067e+00 
 1.20000000e+02  1.02678552e+00  5.39980786e-06  2.88470687e-05  5.80973818e-01  7.32518275e-02  2.53835862e+00  1.83101045e+00 
 1.25000000e+02  1.02644061e+00  5.46682282e-06  2.92037906e-05  5.74551952e-01  7.42459910e-02  2.53834779e+00  1.82136165e+00 
 1.30000000e+02  1.02610375e+00  5.53388499e-06  2.95610090e-05  5.68111836e-01  7.52424751e-02  2.53835765e+00  1.81169338e+00 
 1.35000000e+02  1.02578305e+00  5.60108124e-06  2.99191585e-05  5.61654003e-01  7.62416140e-02  2.53838408e+00  1.80198990e+00 
 1.40000000e+02  1.02549005e+00  5.66853630e-06  3.02788639e-05  5.55179189e-01  7.72438805e-02  2.53842115e+00  1.79222862e+00 
 1.45000000e+02  1.02524101e+00  5.73642762e-06  3.06410141e-05  5.48688415e-01  7.82499402e-02  2.53846040e+00  1.78237733e+00 
 1.50000000e+02  1.02505881e+00  5.80500578e-06  3.10068654e-05  5.42183094e-01  7.92607263e-02  2.53848988e+00  1.77239052e+00 
 1.55000000e+02  1.02497544e+00  5.87462214e-06  3.13781793e-05  5.35665185e-01  8.02775414e-02  2.53849279e+00  1.76220429e+00 
 1.60000000e+02  1.02503539e+00  5.94576602e-06  3.17574085e-05  5.29137389e-01  8.13021927e-02  2.53844568e+00  1.75172957e+00 
 1.65000000e+02  1.02530010e+00  6.01911358e-06  3.21479421e-05  5.22603416e-01  8.23371700e-02  2.53831610e+00  1.74084321e+00 
 1.70000000e+02  1.02585379e+00  6.09559196e-06  3.25544256e-05  5.16068318e-01  8.33858755e-02  2.53805950e+00  1.72937624e+00 
 1.75000000e+02  1.02681110e+00  6.17646222e-06  3.29831768e-05  5.09538923e-01  8.44529169e-02  2.53761529e+00  1.71709873e+00 
