 temp-sweep      v(vref)         iptat           itot            v(vbe)          v(dvbe)         v(pbias)        v(pcasc)       
-4.00000000e+01  1.03098505e+00  2.83247313e-06  1.49394699e-05  7.73401827e-01  4.23077667e-02  2.02755089e+00  1.61882934e+00 
-3.50000000e+01  1.03090137e+00  2.89386402e-06  1.52550435e-05  7.67578537e-01  4.32506374e-02  2.02705231e+00  1.60922367e+00 
-3.00000000e+01  1.03080432e+00  2.95522251e-06  1.55705739e-05  7.61732746e-01  4.41950185e-02  2.02658621e+00  1.59963601e+00 
-2.50000000e+01  1.03069410e+00  3.01654522e-06  1.58860461e-05  7.55864635e-01  4.51409122e-02  2.02615241e+00  1.59006615e+00 
-2.00000000e+01  1.03057091e+00  3.07782879e-06  1.62014447e-05  7.49974376e-01  4.60883212e-02  2.02575072e+00  1.58051386e+00 
-1.50000000e+01  1.03043494e+00  3.13906988e-06  1.65167548e-05  7.44062131e-01  4.70372477e-02  2.02538102e+00  1.57097896e+00 
-1.00000000e+01  1.03028636e+00  3.20026516e-06  1.68319615e-05  7.38128056e-01  4.79876945e-02  2.02504314e+00  1.56146127e+00 
-5.00000000e+00  1.03012535e+00  3.26141135e-06  1.71470499e-05  7.32172300e-01  4.89396642e-02  2.02473699e+00  1.55196064e+00 
 0.00000000e+00  1.02995209e+00  3.32250518e-06  1.74620053e-05  7.26195004e-01  4.98931593e-02  2.02446246e+00  1.54247691e+00 
 5.00000000e+00  1.02976673e+00  3.38354340e-06  1.77768131e-05  7.20196304e-01  5.08481827e-02  2.02421947e+00  1.53300995e+00 
 1.00000000e+01  1.02956943e+00  3.44452279e-06  1.80914589e-05  7.14176327e-01  5.18047372e-02  2.02400793e+00  1.52355965e+00 
 1.50000000e+01  1.02936035e+00  3.50544013e-06  1.84059282e-05  7.08135198e-01  5.27628254e-02  2.02382779e+00  1.51412589e+00 
 2.00000000e+01  1.02913962e+00  3.56629226e-06  1.87202069e-05  7.02073034e-01  5.37224504e-02  2.02367900e+00  1.50470859e+00 
 2.50000000e+01  1.02890740e+00  3.62707601e-06  1.90342806e-05  6.95989948e-01  5.46836149e-02  2.02356153e+00  1.49530766e+00 
 3.00000000e+01  1.02866382e+00  3.68778826e-06  1.93481354e-05  6.89886047e-01  5.56463220e-02  2.02347534e+00  1.48592301e+00 
 3.50000000e+01  1.02840902e+00  3.74842592e-06  1.96617573e-05  6.83761435e-01  5.66105747e-02  2.02342042e+00  1.47655459e+00 
 4.00000000e+01  1.02814312e+00  3.80898593e-06  1.99751326e-05  6.77616209e-01  5.75763760e-02  2.02339676e+00  1.46720233e+00 
