 temp-sweep      v(vref)         iptat           itot            v(vbe)          v(dvbe)         v(pbias)        v(pcasc)       
-4.00000000e+01  1.03813750e+00  3.20915244e-06  1.72234074e-05  7.80658801e-01  4.23291392e-02  2.36704716e+00  1.95852094e+00 
-3.50000000e+01  1.03820028e+00  3.27856576e-06  1.75835123e-05  7.74995370e-01  4.32714021e-02  2.36624039e+00  1.94862964e+00 
-3.00000000e+01  1.03824933e+00  3.34793569e-06  1.79435784e-05  7.69309609e-01  4.42151271e-02  2.36546375e+00  1.93875489e+00 
-2.50000000e+01  1.03828486e+00  3.41725860e-06  1.83035901e-05  7.63601702e-01  4.51603181e-02  2.36471707e+00  1.92889645e+00 
-2.00000000e+01  1.03830708e+00  3.48653087e-06  1.86635317e-05  7.57871823e-01  4.61069786e-02  2.36400020e+00  1.91905413e+00 
-1.50000000e+01  1.03831619e+00  3.55574890e-06  1.90233879e-05  7.52120137e-01  4.70551121e-02  2.36331302e+00  1.90922773e+00 
-1.00000000e+01  1.03831241e+00  3.62490915e-06  1.93831432e-05  7.46346802e-01  4.80047222e-02  2.36265539e+00  1.89941707e+00 
-5.00000000e+00  1.03829590e+00  3.69400807e-06  1.97427826e-05  7.40551969e-01  4.89558127e-02  2.36202724e+00  1.88962199e+00 
 0.00000000e+00  1.03826687e+00  3.76304218e-06  2.01022910e-05  7.34735782e-01  4.99083874e-02  2.36142847e+00  1.87984234e+00 
 5.00000000e+00  1.03822549e+00  3.83200801e-06  2.04616535e-05  7.28898378e-01  5.08624501e-02  2.36085902e+00  1.87007797e+00 
 1.00000000e+01  1.03817194e+00  3.90090213e-06  2.08208555e-05  7.23039889e-01  5.18180049e-02  2.36031882e+00  1.86032876e+00 
 1.50000000e+01  1.03810638e+00  3.96972115e-06  2.11798825e-05  7.17160441e-01  5.27750559e-02  2.35980784e+00  1.85059459e+00 
 2.00000000e+01  1.03802899e+00  4.03846171e-06  2.15387200e-05  7.11260154e-01  5.37336072e-02  2.35932603e+00  1.84087534e+00 
 2.50000000e+01  1.03793993e+00  4.10712048e-06  2.18973539e-05  7.05339145e-01  5.46936630e-02  2.35887337e+00  1.83117093e+00 
 3.00000000e+01  1.03783936e+00  4.17569420e-06  2.22557701e-05  6.99397523e-01  5.56552278e-02  2.35844984e+00  1.82148125e+00 
 3.50000000e+01  1.03772744e+00  4.24417963e-06  2.26139548e-05  6.93435394e-01  5.66183061e-02  2.35805543e+00  1.81180621e+00 
 4.00000000e+01  1.03760432e+00  4.31257362e-06  2.29718947e-05  6.87452861e-01  5.75829026e-02  2.35769013e+00  1.80214574e+00 
 4.50000000e+01  1.03747016e+00  4.38087310e-06  2.33295765e-05  6.81450021e-01  5.85490222e-02  2.35735396e+00  1.79249974e+00 
 5.00000000e+01  1.03732513e+00  4.44907511e-06  2.36869878e-05  6.75426970e-01  5.95166703e-02  2.35704691e+00  1.78286814e+00 
 5.50000000e+01  1.03716941e+00  4.51717689e-06  2.40441167e-05  6.69383798e-01  6.04858531e-02  2.35676898e+00  1.77325084e+00 
 6.00000000e+01  1.03700317e+00  4.58517589e-06  2.44009527e-05  6.63320595e-01  6.14565773e-02  2.35652019e+00  1.76364773e+00 
 6.50000000e+01  1.03682665e+00  4.65306996e-06  2.47574868e-05  6.57237450e-01  6.24288515e-02  2.35630053e+00  1.75405867e+00 
 7.00000000e+01  1.03664008e+00  4.72085746e-06  2.51137124e-05  6.51134449e-01  6.34026860e-02  2.35610997e+00  1.74448348e+00 
 7.50000000e+01  1.03644380e+00  4.78853748e-06  2.54696264e-05  6.45011681e-01  6.43780943e-02  2.35594846e+00  1.73492191e+00 
 8.00000000e+01  1.03623820e+00  4.85611011e-06  2.58252301e-05  6.38869239e-01  6.53550938e-02  2.35581592e+00  1.72537358e+00 
 8.50000000e+01  1.03602379e+00  4.92357666e-06  2.61805306e-05  6.32707217e-01  6.63337066e-02  2.35571222e+00  1.71583800e+00 
 9.00000000e+01  1.03580118e+00  4.99093985e-06  2.65355420e-05  6.26525718e-01  6.73139606e-02  2.35563715e+00  1.70631447e+00 
 9.50000000e+01  1.03557114e+00  5.05820390e-06  2.68902855e-05  6.20324847e-01  6.82958889e-02  2.35559048e+00  1.69680208e+00 
 1.00000000e+02  1.03533455e+00  5.12537463e-06  2.72447910e-05  6.14104718e-01  6.92795303e-02  2.35557187e+00  1.68729963e+00 
 1.05000000e+02  1.03509249e+00  5.19245988e-06  2.75990992e-05  6.07865450e-01  7.02649300e-02  2.35558093e+00  1.67780547e+00 
 1.10000000e+02  1.03484630e+00  5.25947061e-06  2.79532676e-05  6.01607174e-01  7.12521437e-02  2.35561710e+00  1.66831735e+00 
 1.15000000e+02  1.03459778e+00  5.32642295e-06  2.83073805e-05  5.95330048e-01  7.22412445e-02  2.35567964e+00  1.65883201e+00 
