 temp-sweep      v(vref)         iptat           itot            v(vbe)          v(dvbe)         v(pbias)        v(pcasc)       
-4.00000000e+01  1.03561135e+00  2.83156188e-06  1.50900474e-05  7.78102893e-01  4.23108072e-02  2.57090919e+00  2.16231900e+00 
-3.50000000e+01  1.03561696e+00  2.89279797e-06  1.54065674e-05  7.72382380e-01  4.32526722e-02  2.57037414e+00  2.15269929e+00 
-3.00000000e+01  1.03560868e+00  2.95399524e-06  1.57230357e-05  7.66639439e-01  4.41959975e-02  2.56987162e+00  2.14309860e+00 
-2.50000000e+01  1.03558674e+00  3.01515046e-06  1.60394381e-05  7.60874253e-01  4.51407866e-02  2.56940146e+00  2.13351669e+00 
-2.00000000e+01  1.03555135e+00  3.07626043e-06  1.63557607e-05  7.55086994e-01  4.60870430e-02  2.56896347e+00  2.12395333e+00 
-1.50000000e+01  1.03550271e+00  3.13732197e-06  1.66719896e-05  7.49277828e-01  4.70347702e-02  2.56855750e+00  2.11440831e+00 
-1.00000000e+01  1.03544103e+00  3.19833196e-06  1.69881111e-05  7.43446914e-01  4.79839717e-02  2.56818343e+00  2.10488144e+00 
-5.00000000e+00  1.03536648e+00  3.25928728e-06  1.73041116e-05  7.37594401e-01  4.89346513e-02  2.56784114e+00  2.09537252e+00 
 0.00000000e+00  1.03527925e+00  3.32018484e-06  1.76199777e-05  7.31720435e-01  4.98868128e-02  2.56753053e+00  2.08588139e+00 
 5.00000000e+00  1.03517953e+00  3.38102159e-06  1.79356961e-05  7.25825152e-01  5.08404602e-02  2.56725150e+00  2.07640790e+00 
 1.00000000e+01  1.03506750e+00  3.44179450e-06  1.82512535e-05  7.19908683e-01  5.17955973e-02  2.56700399e+00  2.06695190e+00 
 1.50000000e+01  1.03494331e+00  3.50250057e-06  1.85666369e-05  7.13971156e-01  5.27522284e-02  2.56678793e+00  2.05751325e+00 
 2.00000000e+01  1.03480714e+00  3.56313681e-06  1.88818334e-05  7.08012689e-01  5.37103574e-02  2.56660328e+00  2.04809183e+00 
 2.50000000e+01  1.03465914e+00  3.62370028e-06  1.91968301e-05  7.02033399e-01  5.46699886e-02  2.56644999e+00  2.03868753e+00 
 3.00000000e+01  1.03449948e+00  3.68418804e-06  1.95116142e-05  6.96033395e-01  5.56311261e-02  2.56632804e+00  2.02930024e+00 
 3.50000000e+01  1.03432830e+00  3.74459721e-06  1.98261733e-05  6.90012784e-01  5.65937743e-02  2.56623740e+00  2.01992986e+00 
 4.00000000e+01  1.03414576e+00  3.80492490e-06  2.01404947e-05  6.83971666e-01  5.75579376e-02  2.56617807e+00  2.01057632e+00 
 4.50000000e+01  1.03395200e+00  3.86516830e-06  2.04545662e-05  6.77910138e-01  5.85236202e-02  2.56615003e+00  2.00123951e+00 
 5.00000000e+01  1.03374717e+00  3.92532459e-06  2.07683756e-05  6.71828295e-01  5.94908268e-02  2.56615330e+00  1.99191938e+00 
 5.50000000e+01  1.03353141e+00  3.98539105e-06  2.10819110e-05  6.65726225e-01  6.04595621e-02  2.56618788e+00  1.98261583e+00 
 6.00000000e+01  1.03330486e+00  4.04536501e-06  2.13951607e-05  6.59604014e-01  6.14298308e-02  2.56625379e+00  1.97332879e+00 
 6.50000000e+01  1.03306768e+00  4.10524391e-06  2.17081137e-05  6.53461747e-01  6.24016384e-02  2.56635104e+00  1.96405817e+00 
 7.00000000e+01  1.03282003e+00  4.16502536e-06  2.20207597e-05  6.47299503e-01  6.33749907e-02  2.56647965e+00  1.95480386e+00 
 7.50000000e+01  1.03256209e+00  4.22470722e-06  2.23330895e-05  6.41117362e-01  6.43498946e-02  2.56663962e+00  1.94556574e+00 
 8.00000000e+01  1.03229407e+00  4.28428772e-06  2.26450959e-05  6.34915402e-01  6.53263584e-02  2.56683097e+00  1.93634358e+00 
 8.50000000e+01  1.03201625e+00  4.34376568e-06  2.29567743e-05  6.28693702e-01  6.63043928e-02  2.56705366e+00  1.92713711e+00 
 9.00000000e+01  1.03172897e+00  4.40314085e-06  2.32681248e-05  6.22452344e-01  6.72840125e-02  2.56730764e+00  1.91794586e+00 
 9.50000000e+01  1.03143272e+00  4.46241434e-06  2.35791543e-05  6.16191414e-01  6.82652377e-02  2.56759277e+00  1.90876912e+00 
 1.00000000e+02  1.03112820e+00  4.52158938e-06  2.38898798e-05  6.09911010e-01  6.92480975e-02  2.56790884e+00  1.89960582e+00 
 1.05000000e+02  1.03081642e+00  4.58067234e-06  2.42003340e-05  6.03611249e-01  7.02326342e-02  2.56825548e+00  1.89045429e+00 
 1.10000000e+02  1.03049885e+00  4.63967426e-06  2.45105726e-05  5.97292270e-01  7.12189096e-02  2.56863207e+00  1.88131198e+00 
 1.15000000e+02  1.03017765e+00  4.69861292e-06  2.48206847e-05  5.90954257e-01  7.22070142e-02  2.56903770e+00  1.87217509e+00 
 1.20000000e+02  1.02985594e+00  4.75751582e-06  2.51308075e-05  5.84597447e-01  7.31970788e-02  2.56947093e+00  1.86303791e+00 
 1.25000000e+02  1.02953825e+00  4.81642411e-06  2.54411465e-05  5.78222164e-01  7.41892917e-02  2.56992967e+00  1.85389207e+00 
 1.30000000e+02  1.02923103e+00  4.87539812e-06  2.57520032e-05  5.71828845e-01  7.51839207e-02  2.57041084e+00  1.84472538e+00 
 1.35000000e+02  1.02894348e+00  4.93452496e-06  2.60638130e-05  5.65418091e-01  7.61813452e-02  2.57091001e+00  1.83552021e+00 
 1.40000000e+02  1.02868860e+00  4.99392926e-06  2.63772001e-05  5.58990732e-01  7.71820999e-02  2.57142083e+00  1.82625133e+00 
 1.45000000e+02  1.02848476e+00  5.05378812e-06  2.66930520e-05  5.52547916e-01  7.81869380e-02  2.57193428e+00  1.81688281e+00 
 1.50000000e+02  1.02835783e+00  5.11435185e-06  2.70126230e-05  5.46091244e-01  7.91969167e-02  2.57243755e+00  1.80736381e+00 
 1.55000000e+02  1.02834403e+00  5.17597182e-06  2.73376742e-05  5.39622932e-01  8.02135143e-02  2.57291268e+00  1.79762294e+00 
 1.60000000e+02  1.02849377e+00  5.23913765e-06  2.76706590e-05  5.33146049e-01  8.12387834e-02  2.57333453e+00  1.78756067e+00 
 1.65000000e+02  1.02887672e+00  5.30452617e-06  2.80149676e-05  5.26664804e-01  8.22755531e-02  2.57366835e+00  1.77703936e+00 
 1.70000000e+02  1.02958840e+00  5.37306533e-06  2.83752477e-05  5.20184935e-01  8.33276875e-02  2.57386643e+00  1.76587024e+00 
 1.75000000e+02  1.03075879e+00  5.44601705e-06  2.87578174e-05  5.13714187e-01  8.44004158e-02  2.57386393e+00  1.75379645e+00 
