 temp-sweep      v(vref)         iptat           itot            v(vbe)          v(dvbe)         v(pbias)        v(pcasc)       
-4.00000000e+01  1.03563607e+00  2.83181386e-06  1.49361723e-05  7.78104721e-01  4.23146281e-02  2.02758163e+00  1.61895521e+00 
-3.50000000e+01  1.03564222e+00  2.89305531e-06  1.52509984e-05  7.72384248e-01  4.32565757e-02  2.02709000e+00  1.60937812e+00 
-3.00000000e+01  1.03563448e+00  2.95425792e-06  1.55657492e-05  7.66641347e-01  4.41999835e-02  2.02663115e+00  1.59982032e+00 
-2.50000000e+01  1.03561308e+00  3.01541846e-06  1.58804102e-05  7.60876201e-01  4.51448551e-02  2.02620491e+00  1.59028154e+00 
-2.00000000e+01  1.03557823e+00  3.07653373e-06  1.61949671e-05  7.55088982e-01  4.60911938e-02  2.02581108e+00  1.58076156e+00 
-1.50000000e+01  1.03553013e+00  3.13760057e-06  1.65094057e-05  7.49279857e-01  4.70390033e-02  2.02544951e+00  1.57126015e+00 
-1.00000000e+01  1.03546898e+00  3.19861583e-06  1.68237119e-05  7.43448982e-01  4.79882870e-02  2.02512007e+00  1.56177712e+00 
-5.00000000e+00  1.03539497e+00  3.25957640e-06  1.71378719e-05  7.37596510e-01  4.89390487e-02  2.02482263e+00  1.55231227e+00 
 0.00000000e+00  1.03530829e+00  3.32047921e-06  1.74518719e-05  7.31722583e-01  4.98912922e-02  2.02455709e+00  1.54286544e+00 
 5.00000000e+00  1.03520911e+00  3.38132118e-06  1.77656982e-05  7.25827340e-01  5.08450215e-02  2.02432335e+00  1.53343645e+00 
 1.00000000e+01  1.03509761e+00  3.44209930e-06  1.80793373e-05  7.19910912e-01  5.18002405e-02  2.02412133e+00  1.52402516e+00 
 1.50000000e+01  1.03497396e+00  3.50281057e-06  1.83927759e-05  7.13973425e-01  5.27569533e-02  2.02395098e+00  1.51463142e+00 
 2.00000000e+01  1.03483832e+00  3.56345201e-06  1.87060007e-05  7.08014998e-01  5.37151640e-02  2.02381222e+00  1.50525512e+00 
 2.50000000e+01  1.03469087e+00  3.62402068e-06  1.90189986e-05  7.02035748e-01  5.46748768e-02  2.02370502e+00  1.49589613e+00 
 3.00000000e+01  1.03453175e+00  3.68451365e-06  1.93317566e-05  6.96035785e-01  5.56360959e-02  2.02362935e+00  1.48655434e+00 
 3.50000000e+01  1.03436112e+00  3.74492805e-06  1.96442619e-05  6.90015215e-01  5.65988258e-02  2.02358517e+00  1.47722965e+00 
 4.00000000e+01  1.03417913e+00  3.80526102e-06  1.99565016e-05  6.83974138e-01  5.75630707e-02  2.02357247e+00  1.46792197e+00 
 4.50000000e+01  1.03398593e+00  3.86550976e-06  2.02684635e-05  6.77912653e-01  5.85288354e-02  2.02359125e+00  1.45863119e+00 
 5.00000000e+01  1.03378168e+00  3.92567152e-06  2.05801351e-05  6.71830852e-01  5.94961245e-02  2.02364150e+00  1.44935724e+00 
 5.50000000e+01  1.03356651e+00  3.98574364e-06  2.08915046e-05  6.65728826e-01  6.04649430e-02  2.02372322e+00  1.44010004e+00 
 6.00000000e+01  1.03334059e+00  4.04572355e-06  2.12025607e-05  6.59606663e-01  6.14352962e-02  2.02383641e+00  1.43085947e+00 
 6.50000000e+01  1.03310408e+00  4.10560885e-06  2.15132927e-05  6.53464445e-01  6.24071903e-02  2.02398109e+00  1.42163545e+00 
 7.00000000e+01  1.03285718e+00  4.16539739e-06  2.18236911e-05  6.47302256e-01  6.33806323e-02  2.02415725e+00  1.41242784e+00 
 7.50000000e+01  1.03260009e+00  4.22508740e-06  2.21337482e-05  6.41120178e-01  6.43556308e-02  2.02436488e+00  1.40323646e+00 
 8.00000000e+01  1.03233309e+00  4.28467765e-06  2.24434589e-05  6.34918292e-01  6.53321968e-02  2.02460396e+00  1.39406106e+00 
 8.50000000e+01  1.03205653e+00  4.34416780e-06  2.27528222e-05  6.28696684e-01  6.63103451e-02  2.02487442e+00  1.38490125e+00 
 9.00000000e+01  1.03177087e+00  4.40355873e-06  2.30618431e-05  6.22455443e-01  6.72900959e-02  2.02517614e+00  1.37575647e+00 
 9.50000000e+01  1.03147677e+00  4.46285318e-06  2.33705352e-05  6.16194669e-01  6.82714775e-02  2.02550893e+00  1.36662587e+00 
 1.00000000e+02  1.03117513e+00  4.52205636e-06  2.36789244e-05  6.09914474e-01  6.92545289e-02  2.02587245e+00  1.35750816e+00 
 1.05000000e+02  1.03086719e+00  4.58117691e-06  2.39870532e-05  6.03614989e-01  7.02393035e-02  2.02626625e+00  1.34840147e+00 
 1.10000000e+02  1.03055462e+00  4.64022788e-06  2.42949862e-05  5.97296372e-01  7.12258733e-02  2.02668962e+00  1.33930307e+00 
 1.15000000e+02  1.03023971e+00  4.69922831e-06  2.46028182e-05  5.90958813e-01  7.22143348e-02  2.02714159e+00  1.33020905e+00 
 1.20000000e+02  1.02992560e+00  4.75820563e-06  2.49106866e-05  5.84602550e-01  7.32048183e-02  2.02762078e+00  1.32111374e+00 
 1.25000000e+02  1.02961664e+00  4.81719951e-06  2.52187909e-05  5.78227895e-01  7.41975042e-02  2.02812520e+00  1.31200896e+00 
 1.30000000e+02  1.02931905e+00  4.87626763e-06  2.55274215e-05  5.71835263e-01  7.51926466e-02  2.02865196e+00  1.30288284e+00 
 1.35000000e+02  1.02904169e+00  4.93549405e-06  2.58370018e-05  5.65425233e-01  7.61906087e-02  2.02919690e+00  1.29371817e+00 
 1.40000000e+02  1.02879731e+00  4.99500053e-06  2.61481442e-05  5.58998610e-01  7.71919099e-02  2.02975396e+00  1.28449015e+00 
 1.45000000e+02  1.02860404e+00  5.05496207e-06  2.64617281e-05  5.52556527e-01  7.81972912e-02  2.03031442e+00  1.27516328e+00 
 1.50000000e+02  1.02848763e+00  5.11562766e-06  2.67790038e-05  5.46100569e-01  7.92078019e-02  2.03086585e+00  1.26568716e+00 
