 temp-sweep      v(vref)         iptat           itot            v(vbe)          v(dvbe)         v(pbias)        v(pcasc)       
-4.00000000e+01  1.04675988e+00  3.66742746e-06  1.98934193e-05  7.89514196e-01  4.23445503e-02  2.04814741e+00  1.64003224e+00 
-3.50000000e+01  1.04699352e+00  3.74648504e-06  2.03058852e-05  7.84045037e-01  4.32854338e-02  2.04694904e+00  1.62978850e+00 
-3.00000000e+01  1.04721266e+00  3.82547990e-06  2.07182685e-05  7.78553714e-01  4.42276981e-02  2.04577798e+00  1.61956003e+00 
-2.50000000e+01  1.04741755e+00  3.90440817e-06  2.11305533e-05  7.73040412e-01  4.51713480e-02  2.04463410e+00  1.60934659e+00 
-2.00000000e+01  1.04760841e+00  3.98326604e-06  2.15427236e-05  7.67505308e-01  4.61163885e-02  2.04351729e+00  1.59914799e+00 
-1.50000000e+01  1.04778548e+00  4.06204974e-06  2.19547641e-05  7.61948571e-01  4.70628250e-02  2.04242745e+00  1.58896402e+00 
-1.00000000e+01  1.04794898e+00  4.14075560e-06  2.23666595e-05  7.56370364e-01  4.80106630e-02  2.04136449e+00  1.57879451e+00 
-5.00000000e+00  1.04809913e+00  4.21937996e-06  2.27783948e-05  7.50770840e-01  4.89599082e-02  2.04032834e+00  1.56863926e+00 
 0.00000000e+00  1.04823614e+00  4.29791921e-06  2.31899552e-05  7.45150148e-01  4.99105662e-02  2.03931894e+00  1.55849813e+00 
 5.00000000e+00  1.04836021e+00  4.37636978e-06  2.36013259e-05  7.39508429e-01  5.08626429e-02  2.03833625e+00  1.54837095e+00 
 1.00000000e+01  1.04847156e+00  4.45472816e-06  2.40124926e-05  7.33845820e-01  5.18161441e-02  2.03738022e+00  1.53825758e+00 
 1.50000000e+01  1.04857037e+00  4.53299086e-06  2.44234409e-05  7.28162449e-01  5.27710757e-02  2.03645084e+00  1.52815788e+00 
 2.00000000e+01  1.04865685e+00  4.61115447e-06  2.48341569e-05  7.22458442e-01  5.37274440e-02  2.03554808e+00  1.51807171e+00 
 2.50000000e+01  1.04873119e+00  4.68921561e-06  2.52446268e-05  7.16733919e-01  5.46852553e-02  2.03467194e+00  1.50799896e+00 
 3.00000000e+01  1.04879358e+00  4.76717094e-06  2.56548369e-05  7.10988994e-01  5.56445159e-02  2.03382241e+00  1.49793950e+00 
 3.50000000e+01  1.04884421e+00  4.84501721e-06  2.60647739e-05  7.05223777e-01  5.66052324e-02  2.03299949e+00  1.48789321e+00 
 4.00000000e+01  1.04888325e+00  4.92275122e-06  2.64744247e-05  6.99438376e-01  5.75674116e-02  2.03220321e+00  1.47785998e+00 
 4.50000000e+01  1.04891091e+00  5.00036984e-06  2.68837768e-05  6.93632892e-01  5.85310604e-02  2.03143357e+00  1.46783970e+00 
 5.00000000e+01  1.04892737e+00  5.07787009e-06  2.72928179e-05  6.87807425e-01  5.94961862e-02  2.03069059e+00  1.45783226e+00 
 5.50000000e+01  1.04893283e+00  5.15524912e-06  2.77015366e-05  6.81962069e-01  6.04627968e-02  2.02997430e+00  1.44783753e+00 
 6.00000000e+01  1.04892749e+00  5.23250429e-06  2.81099224e-05  6.76096918e-01  6.14309006e-02  2.02928470e+00  1.43785539e+00 
 6.50000000e+01  1.04891158e+00  5.30963329e-06  2.85179662e-05  6.70212063e-01  6.24005071e-02  2.02862180e+00  1.42788568e+00 
 7.00000000e+01  1.04888536e+00  5.38663421e-06  2.89256609e-05  6.64307593e-01  6.33716272e-02  2.02798561e+00  1.41792821e+00 
