 temp-sweep      v(vref)         iptat           itot            v(vbe)          v(dvbe)         v(pbias)        v(pcasc)       
-4.00000000e+01  1.04409557e+00  3.20708062e-06  1.73198992e-05  7.86769675e-01  4.23293846e-02  2.66713552e+00  2.25887301e+00 
-3.50000000e+01  1.04426889e+00  3.27620198e-06  1.76797280e-05  7.81239254e-01  4.32699637e-02  2.66634116e+00  2.24903146e+00 
-3.00000000e+01  1.04442756e+00  3.34526775e-06  1.80394728e-05  7.75686561e-01  4.42119215e-02  2.66557746e+00  2.23920860e+00 
-2.50000000e+01  1.04457182e+00  3.41427454e-06  1.83991197e-05  7.70111782e-01  4.51552628e-02  2.66484425e+00  2.22940417e+00 
-2.00000000e+01  1.04470190e+00  3.48321902e-06  1.87586546e-05  7.64515095e-01  4.60999927e-02  2.66414137e+00  2.21961792e+00 
-1.50000000e+01  1.04481803e+00  3.55209794e-06  1.91180639e-05  7.58896668e-01  4.70461166e-02  2.66346868e+00  2.20984961e+00 
-1.00000000e+01  1.04492043e+00  3.62090806e-06  1.94773343e-05  7.53256664e-01  4.79936400e-02  2.66282607e+00  2.20009903e+00 
-5.00000000e+00  1.04500932e+00  3.68964619e-06  1.98364525e-05  7.47595236e-01  4.89425685e-02  2.66221342e+00  2.19036596e+00 
 0.00000000e+00  1.04508492e+00  3.75830918e-06  2.01954053e-05  7.41912533e-01  4.98929076e-02  2.66163065e+00  2.18065020e+00 
 5.00000000e+00  1.04514743e+00  3.82689391e-06  2.05541800e-05  7.36208696e-01  5.08446631e-02  2.66107767e+00  2.17095157e+00 
 1.00000000e+01  1.04519705e+00  3.89539731e-06  2.09127639e-05  7.30483861e-01  5.17978410e-02  2.66055442e+00  2.16126989e+00 
 1.50000000e+01  1.04523399e+00  3.96381636e-06  2.12711444e-05  7.24738158e-01  5.27524472e-02  2.66006084e+00  2.15160499e+00 
 2.00000000e+01  1.04525844e+00  4.03214808e-06  2.16293094e-05  7.18971711e-01  5.37084879e-02  2.65959688e+00  2.14195670e+00 
 2.50000000e+01  1.04527059e+00  4.10038952e-06  2.19872466e-05  7.13184641e-01  5.46659696e-02  2.65916251e+00  2.13232487e+00 
 3.00000000e+01  1.04527065e+00  4.16853779e-06  2.23449443e-05  7.07377062e-01  5.56248986e-02  2.65875769e+00  2.12270935e+00 
 3.50000000e+01  1.04525879e+00  4.23659006e-06  2.27023909e-05  7.01549084e-01  5.65852816e-02  2.65838241e+00  2.11310999e+00 
 4.00000000e+01  1.04523520e+00  4.30454355e-06  2.30595749e-05  6.95700815e-01  5.75471255e-02  2.65803665e+00  2.10352666e+00 
 4.50000000e+01  1.04520008e+00  4.37239557e-06  2.34164855e-05  6.89832357e-01  5.85104374e-02  2.65772040e+00  2.09395922e+00 
 5.00000000e+01  1.04515362e+00  4.44014358e-06  2.37731123e-05  6.83943808e-01  5.94752248e-02  2.65743365e+00  2.08440752e+00 
