 temp-sweep      v(vref)         iptat           itot            v(vbe)          v(dvbe)         v(pbias)        v(pcasc)       
-4.00000000e+01  1.04403512e+00  3.20638268e-06  1.72091830e-05  7.86765196e-01  4.23203106e-02  2.25354244e+00  1.84536862e+00 
-3.50000000e+01  1.04420714e+00  3.27548947e-06  1.75677473e-05  7.81234678e-01  4.32606950e-02  2.25264903e+00  1.83542992e+00 
-3.00000000e+01  1.04436451e+00  3.34454067e-06  1.79262114e-05  7.75681889e-01  4.42024580e-02  2.25178565e+00  1.82550927e+00 
-2.50000000e+01  1.04450746e+00  3.41353292e-06  1.82845611e-05  7.70107013e-01  4.51456044e-02  2.25095214e+00  1.81560643e+00 
-2.00000000e+01  1.04463624e+00  3.48246287e-06  1.86427822e-05  7.64510228e-01  4.60901395e-02  2.25014835e+00  1.80572117e+00 
-1.50000000e+01  1.04475106e+00  3.55132727e-06  1.90008609e-05  7.58891704e-01  4.70360685e-02  2.24937417e+00  1.79585327e+00 
-1.00000000e+01  1.04485215e+00  3.62012289e-06  1.93587835e-05  7.53251602e-01  4.79833971e-02  2.24862948e+00  1.78600251e+00 
-5.00000000e+00  1.04493974e+00  3.68884652e-06  1.97165364e-05  7.47590076e-01  4.89321307e-02  2.24791419e+00  1.77616870e+00 
 0.00000000e+00  1.04501402e+00  3.75749502e-06  2.00741065e-05  7.41907275e-01  4.98822750e-02  2.24722823e+00  1.76635165e+00 
 5.00000000e+00  1.04507521e+00  3.82606526e-06  2.04314804e-05  7.36203340e-01  5.08338356e-02  2.24657152e+00  1.75655118e+00 
 1.00000000e+01  1.04512351e+00  3.89455417e-06  2.07886453e-05  7.30478406e-01  5.17868185e-02  2.24594400e+00  1.74676714e+00 
 1.50000000e+01  1.04515913e+00  3.96295871e-06  2.11455884e-05  7.24732604e-01  5.27412297e-02  2.24534565e+00  1.73699936e+00 
 2.00000000e+01  1.04518224e+00  4.03127587e-06  2.15022971e-05  7.18966057e-01  5.36970753e-02  2.24477641e+00  1.72724770e+00 
 2.50000000e+01  1.04519306e+00  4.09950269e-06  2.18587589e-05  7.13178887e-01  5.46543616e-02  2.24423626e+00  1.71751200e+00 
 3.00000000e+01  1.04519175e+00  4.16763622e-06  2.22149614e-05  7.07371206e-01  5.56130949e-02  2.24372519e+00  1.70779214e+00 
 3.50000000e+01  1.04517852e+00  4.23567357e-06  2.25708926e-05  7.01543127e-01  5.65732815e-02  2.24324320e+00  1.69808798e+00 
 4.00000000e+01  1.04515353e+00  4.30361187e-06  2.29265402e-05  6.95694753e-01  5.75349280e-02  2.24279027e+00  1.68839941e+00 
 4.50000000e+01  1.04511696e+00  4.37144828e-06  2.32818925e-05  6.89826188e-01  5.84980410e-02  2.24236641e+00  1.67872631e+00 
 5.00000000e+01  1.04506900e+00  4.43918004e-06  2.36369378e-05  6.83937528e-01  5.94626271e-02  2.24197164e+00  1.66906855e+00 
 5.50000000e+01  1.04500980e+00  4.50680441e-06  2.39916646e-05  6.78028868e-01  6.04286931e-02  2.24160597e+00  1.65942604e+00 
 6.00000000e+01  1.04493956e+00  4.57431874e-06  2.43460617e-05  6.72100299e-01  6.13962460e-02  2.24126942e+00  1.64979865e+00 
 6.50000000e+01  1.04485846e+00  4.64172049e-06  2.47001186e-05  6.66151908e-01  6.23652934e-02  2.24096202e+00  1.64018626e+00 
 7.00000000e+01  1.04476666e+00  4.70900729e-06  2.50538253e-05  6.60183781e-01  6.33358429e-02  2.24068379e+00  1.63058873e+00 
