 temp-sweep      v(vref)         iptat           itot            v(vbe)          v(dvbe)         v(pbias)        v(pcasc)       
-4.00000000e+01  1.04673344e+00  3.66707800e-06  2.02013827e-05  7.89512227e-01  4.23404687e-02  2.59120570e+00  2.18312939e+00 
-3.50000000e+01  1.04696650e+00  3.74612817e-06  2.06172377e-05  7.84043025e-01  4.32812640e-02  2.58995044e+00  2.17282962e+00 
-3.00000000e+01  1.04718506e+00  3.82511564e-06  2.10330547e-05  7.78551659e-01  4.42234400e-02  2.58872210e+00  2.16254470e+00 
-2.50000000e+01  1.04738937e+00  3.90403654e-06  2.14488183e-05  7.73038314e-01  4.51670017e-02  2.58752055e+00  2.15227444e+00 
-2.00000000e+01  1.04757966e+00  3.98288705e-06  2.18645135e-05  7.67503166e-01  4.61119541e-02  2.58634569e+00  2.14201862e+00 
-1.50000000e+01  1.04775616e+00  4.06166342e-06  2.22801255e-05  7.61946386e-01  4.70583026e-02  2.58519741e+00  2.13177706e+00 
-1.00000000e+01  1.04791908e+00  4.14036195e-06  2.26956397e-05  7.56368135e-01  4.80060526e-02  2.58407565e+00  2.12154957e+00 
-5.00000000e+00  1.04806865e+00  4.21897900e-06  2.31110418e-05  7.50768567e-01  4.89552099e-02  2.58298034e+00  2.11133601e+00 
 0.00000000e+00  1.04820508e+00  4.29751096e-06  2.35263176e-05  7.45147832e-01  4.99057801e-02  2.58191142e+00  2.10113619e+00 
 5.00000000e+00  1.04832857e+00  4.37595425e-06  2.39414530e-05  7.39506070e-01  5.08577689e-02  2.58086887e+00  2.09094999e+00 
 1.00000000e+01  1.04843934e+00  4.45430533e-06  2.43564341e-05  7.33843416e-01  5.18111823e-02  2.57985264e+00  2.08077726e+00 
 1.50000000e+01  1.04853757e+00  4.53256074e-06  2.47712474e-05  7.28160002e-01  5.27660261e-02  2.57886272e+00  2.07061786e+00 
 2.00000000e+01  1.04862347e+00  4.61071701e-06  2.51858793e-05  7.22455951e-01  5.37223066e-02  2.57789911e+00  2.06047168e+00 
 2.50000000e+01  1.04869721e+00  4.68877076e-06  2.56003164e-05  7.16731382e-01  5.46800299e-02  2.57696180e+00  2.05033859e+00 
 3.00000000e+01  1.04875900e+00  4.76671862e-06  2.60145457e-05  7.10986412e-01  5.56392023e-02  2.57605079e+00  2.04021849e+00 
 3.50000000e+01  1.04880902e+00  4.84455728e-06  2.64285540e-05  7.05221150e-01  5.65998303e-02  2.57516609e+00  2.03011127e+00 
 4.00000000e+01  1.04884744e+00  4.92228347e-06  2.68423285e-05  6.99435702e-01  5.75619203e-02  2.57430774e+00  2.02001682e+00 
 4.50000000e+01  1.04887444e+00  4.99989397e-06  2.72558565e-05  6.93630169e-01  5.85254789e-02  2.57347575e+00  2.00993505e+00 
 5.00000000e+01  1.04889021e+00  5.07738561e-06  2.76691258e-05  6.87804650e-01  5.94905130e-02  2.57267015e+00  1.99986586e+00 
 5.50000000e+01  1.04889492e+00  5.15475532e-06  2.80821241e-05  6.81959239e-01  6.04570295e-02  2.57189098e+00  1.98980916e+00 
 6.00000000e+01  1.04888874e+00  5.23200014e-06  2.84948399e-05  6.76094027e-01  6.14250357e-02  2.57113827e+00  1.97976484e+00 
 6.50000000e+01  1.04887188e+00  5.30911722e-06  2.89072622e-05  6.70209103e-01  6.23945391e-02  2.57041205e+00  1.96973279e+00 
 7.00000000e+01  1.04884452e+00  5.38610397e-06  2.93193811e-05  6.64304552e-01  6.33655482e-02  2.56971237e+00  1.95971289e+00 
 7.50000000e+01  1.04880689e+00  5.46295811e-06  2.97311879e-05  6.58380458e-01  6.43380722e-02  2.56903924e+00  1.94970497e+00 
 8.00000000e+01  1.04875922e+00  5.53967781e-06  3.01426767e-05  6.52436904e-01  6.53121221e-02  2.56839267e+00  1.93970882e+00 
 8.50000000e+01  1.04870183e+00  5.61626200e-06  3.05538445e-05  6.46473976e-01  6.62877110e-02  2.56777265e+00  1.92972413e+00 
 9.00000000e+01  1.04863508e+00  5.69271069e-06  3.09646940e-05  6.40491758e-01  6.72648557e-02  2.56717912e+00  1.91975046e+00 
 9.50000000e+01  1.04855949e+00  5.76902546e-06  3.13752354e-05  6.34490342e-01  6.82435782e-02  2.56661196e+00  1.90978714e+00 
 1.00000000e+02  1.04847572e+00  5.84521028e-06  3.17854905e-05  6.28469829e-01  6.92239084e-02  2.56607096e+00  1.89983321e+00 
 1.05000000e+02  1.04838471e+00  5.92127247e-06  3.21954977e-05  6.22430332e-01  7.02058870e-02  2.56555577e+00  1.88988720e+00 
 1.10000000e+02  1.04828777e+00  5.99722417e-06  3.26053194e-05  6.16371988e-01  7.11895709e-02  2.56506582e+00  1.87994694e+00 
 1.15000000e+02  1.04818673e+00  6.07308424e-06  3.30150513e-05  6.10294961e-01  7.21750385e-02  2.56460029e+00  1.87000927e+00 
 1.20000000e+02  1.04808413e+00  6.14888091e-06  3.34248363e-05  6.04199460e-01  7.31623986e-02  2.56415793e+00  1.86006955e+00 
 1.25000000e+02  1.04798357e+00  6.22465553e-06  3.38348834e-05  5.98085752e-01  7.41518021e-02  2.56373695e+00  1.85012106e+00 
 1.30000000e+02  1.04789006e+00  6.30046793e-06  3.42454951e-05  5.91954191e-01  7.51434592e-02  2.56333475e+00  1.84015411e+00 
 1.35000000e+02  1.04781070e+00  6.37640421e-06  3.46571065e-05  5.85805255e-01  7.61376643e-02  2.56294761e+00  1.83015478e+00 
 1.40000000e+02  1.04775551e+00  6.45258781e-06  3.50703412e-05  5.79639596e-01  7.71348320e-02  2.56257017e+00  1.82010310e+00 
 1.45000000e+02  1.04773866e+00  6.52919487e-06  3.54860884e-05  5.73458116e-01  7.81355470e-02  2.56219478e+00  1.80997063e+00 
 1.50000000e+02  1.04778015e+00  6.60647511e-06  3.59056071e-05  5.67262068e-01  7.91406321e-02  2.56181060e+00  1.79971710e+00 
 1.55000000e+02  1.04790799e+00  6.68477988e-06  3.63306670e-05  5.61053191e-01  8.01512394e-02  2.56140229e+00  1.78928588e+00 
 1.60000000e+02  1.04816120e+00  6.76459940e-06  3.67637350e-05  5.54833886e-01  8.11689706e-02  2.56094844e+00  1.77859802e+00 
 1.65000000e+02  1.04859373e+00  6.84661185e-06  3.72082211e-05  5.48607451e-01  8.21960351e-02  2.56041937e+00  1.76754425e+00 
 1.70000000e+02  1.04927956e+00  6.93174761e-06  3.76688003e-05  5.42378382e-01  8.32354549e-02  2.55977427e+00  1.75597465e+00 
 1.75000000e+02  1.05031938e+00  7.02127257e-06  3.81518301e-05  5.36152759e-01  8.42913259e-02  2.55895763e+00  1.74368509e+00 
