 temp-sweep      v(vref)         iptat           itot            v(vbe)          v(dvbe)         v(pbias)        v(pcasc)       
-4.00000000e+01  9.43721304e-01  2.13584614e-06  1.18516574e-05  7.58228852e-01  2.81726996e-02  2.36250045e+00  2.09060740e+00 
-3.50000000e+01  9.41679361e-01  2.18199107e-06  1.20953480e-05  7.52064626e-01  2.87991670e-02  2.36275359e+00  2.08482109e+00 
-3.00000000e+01  9.39620249e-01  2.22810423e-06  1.23390535e-05  7.45877214e-01  2.94265691e-02  2.36304562e+00  2.07906501e+00 
-2.50000000e+01  9.37544179e-01  2.27418325e-06  1.25827644e-05  7.39666801e-01  3.00549088e-02  2.36337628e+00  2.07333886e+00 
-2.00000000e+01  9.35451356e-01  2.32022579e-06  1.28264718e-05  7.33433559e-01  3.06841893e-02  2.36374532e+00  2.06764233e+00 
-1.50000000e+01  9.33341975e-01  2.36622956e-06  1.30701666e-05  7.27177654e-01  3.13144139e-02  2.36415251e+00  2.06197515e+00 
-1.00000000e+01  9.31216228e-01  2.41219226e-06  1.33138400e-05  7.20899244e-01  3.19455859e-02  2.36459766e+00  2.05633707e+00 
-5.00000000e+00  9.29074300e-01  2.45811166e-06  1.35574831e-05  7.14598482e-01  3.25777088e-02  2.36508058e+00  2.05072784e+00 
 0.00000000e+00  9.26916368e-01  2.50398551e-06  1.38010872e-05  7.08275510e-01  3.32107864e-02  2.36560111e+00  2.04514724e+00 
 5.00000000e+00  9.24742608e-01  2.54981161e-06  1.40446438e-05  7.01930468e-01  3.38448222e-02  2.36615908e+00  2.03959507e+00 
 1.00000000e+01  9.22553185e-01  2.59558777e-06  1.42881444e-05  6.95563488e-01  3.44798201e-02  2.36675437e+00  2.03407113e+00 
 1.50000000e+01  9.20348264e-01  2.64131183e-06  1.45315804e-05  6.89174695e-01  3.51157838e-02  2.36738686e+00  2.02857523e+00 
 2.00000000e+01  9.18128002e-01  2.68698164e-06  1.47749436e-05  6.82764211e-01  3.57527174e-02  2.36805643e+00  2.02310722e+00 
 2.50000000e+01  9.15892552e-01  2.73259507e-06  1.50182257e-05  6.76332151e-01  3.63906247e-02  2.36876300e+00  2.01766692e+00 
 3.00000000e+01  9.13642064e-01  2.77815003e-06  1.52614184e-05  6.69878626e-01  3.70295098e-02  2.36950648e+00  2.01225421e+00 
 3.50000000e+01  9.11376683e-01  2.82364442e-06  1.55045137e-05  6.63403743e-01  3.76693767e-02  2.37028680e+00  2.00686893e+00 
 4.00000000e+01  9.09096549e-01  2.86907618e-06  1.57475034e-05  6.56907604e-01  3.83102295e-02  2.37110390e+00  2.00151098e+00 
 4.50000000e+01  9.06801801e-01  2.91444328e-06  1.59903796e-05  6.50390306e-01  3.89520723e-02  2.37195772e+00  1.99618022e+00 
 5.00000000e+01  9.04492573e-01  2.95974371e-06  1.62331346e-05  6.43851942e-01  3.95949095e-02  2.37284823e+00  1.99087656e+00 
 5.50000000e+01  9.02169001e-01  3.00497552e-06  1.64757607e-05  6.37292604e-01  4.02387454e-02  2.37377538e+00  1.98559987e+00 
 6.00000000e+01  8.99831219e-01  3.05013681e-06  1.67182507e-05  6.30712377e-01  4.08835847e-02  2.37473916e+00  1.98035007e+00 
 6.50000000e+01  8.97479366e-01  3.09522578e-06  1.69605976e-05  6.24111346e-01  4.15294324e-02  2.37573954e+00  1.97512703e+00 
 7.00000000e+01  8.95113590e-01  3.14024078e-06  1.72027955e-05  6.17489594e-01  4.21762941e-02  2.37677649e+00  1.96993062e+00 
 7.50000000e+01  8.92734054e-01  3.18518040e-06  1.74448392e-05  6.10847199e-01  4.28241766e-02  2.37784999e+00  1.96476069e+00 
 8.00000000e+01  8.90340952e-01  3.23004358e-06  1.76867259e-05  6.04184242e-01  4.34730882e-02  2.37896000e+00  1.95961702e+00 
 8.50000000e+01  8.87934523e-01  3.27482984e-06  1.79284551e-05  5.97500805e-01  4.41230400e-02  2.38010644e+00  1.95449929e+00 
 9.00000000e+01  8.85515084e-01  3.31953957e-06  1.81700313e-05  5.90796974e-01  4.47740469e-02  2.38128923e+00  1.94940704e+00 
 9.50000000e+01  8.83083074e-01  3.36417455e-06  1.84114656e-05  5.84072843e-01  4.54261308e-02  2.38250818e+00  1.94433954e+00 
 1.00000000e+02  8.80639119e-01  3.40873864e-06  1.86527798e-05  5.77328522e-01  4.60793232e-02  2.38376301e+00  1.93929571e+00 
 1.05000000e+02  8.78184131e-01  3.45323885e-06  1.88940118e-05  5.70564144e-01  4.67336708e-02  2.38505326e+00  1.93427386e+00 
 1.10000000e+02  8.75719458e-01  3.49768695e-06  1.91352234e-05  5.63779878e-01  4.73892432e-02  2.38637820e+00  1.92927142e+00 
 1.15000000e+02  8.73247088e-01  3.54210170e-06  1.93765118e-05  5.56975949e-01  4.80461435e-02  2.38773672e+00  1.92428450e+00 
 1.20000000e+02  8.70769960e-01  3.58651216e-06  1.96180262e-05  5.50152667e-01  4.87045249e-02  2.38912711e+00  1.91930728e+00 
 1.25000000e+02  8.68292390e-01  3.63096233e-06  1.98599911e-05  5.43310464e-01  4.93646125e-02  2.39054680e+00  1.91433109e+00 
 1.30000000e+02  8.65820687e-01  3.67551767e-06  2.01027393e-05  5.36449947e-01  5.00267357e-02  2.39199199e+00  1.90934318e+00 
