# g1_ls_up simulated results (ngspice 46, PDK commit 8437402), generated by run_ls.sh 2026-09-18T23:37Z
# corner sweep: in 0->1.2 V step (1 ns edge), vdd/vdda as listed, 20 fF on out; tr/tf = 50 % in -> 50 % out
mos     vdd   vdda  T        tr_ps    tf_ps    vh_V    vl_V     Ia0_nA     Ia1_nA     Ic0_nA     Ic1_nA  Iapk_uA
mos_tt  1.08  2.97  -40      718.2    831.4   2.970  0.0000      0.009      0.009      0.017      0.002    507.4
mos_tt  1.08  2.97  27       759.1    925.5   2.970  0.0000      0.010      0.010      0.048      0.072    432.5
mos_tt  1.08  2.97  175      796.2   1168.3   2.970  0.0000      3.318      1.964      7.436     25.969    338.6
mos_tt  1.08  3.3   -40      753.7    803.6   3.300  0.0000      0.010      0.010      0.017      0.002    571.3
mos_tt  1.08  3.3   27       800.7    887.1   3.300  0.0000      0.011      0.011      0.048      0.072    488.8
mos_tt  1.08  3.3   175      841.0   1099.3   3.300  0.0000      3.566      2.182      7.436     25.969    381.7
mos_tt  1.08  3.63  -40      790.8    790.5   3.630  0.0000      0.011      0.011      0.017      0.002    651.3
mos_tt  1.08  3.63  27       845.2    867.1   3.630  0.0000      0.013      0.012      0.048      0.072    558.0
mos_tt  1.08  3.63  175      890.7   1054.3   3.630  0.0000      3.853      2.445      7.436     25.969    430.8
mos_tt  1.2   2.97  -40      580.4    738.0   2.970  0.0000      0.009      0.009      0.024      0.003    635.2
mos_tt  1.2   2.97  27       610.5    836.8   2.970  0.0000      0.010      0.010      0.061      0.081    539.4
mos_tt  1.2   2.97  175      654.0   1100.4   2.970  0.0000      3.318      1.964      7.978     28.219    403.4
mos_tt  1.2   3.3   -40      596.9    701.8   3.300  0.0000      0.010      0.010      0.024      0.003    714.9
mos_tt  1.2   3.3   27       629.6    788.6   3.300  0.0000      0.011      0.011      0.061      0.081    606.3
mos_tt  1.2   3.3   175      677.4   1022.8   3.300  0.0000      3.566      2.182      7.978     28.219    454.4
mos_tt  1.2   3.63  -40      615.0    678.4   3.630  0.0000      0.011      0.011      0.024      0.003    786.8
mos_tt  1.2   3.63  27       651.1    756.3   3.630  0.0000      0.013      0.012      0.061      0.081    669.9
mos_tt  1.2   3.63  175      703.8    966.9   3.630  0.0000      3.853      2.445      7.978     28.219    505.8
mos_tt  1.32  2.97  -40      498.3    683.9   2.970  0.0000      0.009      0.009      0.033      0.003    680.9
mos_tt  1.32  2.97  27       525.2    786.9   2.970  0.0000      0.010      0.010      0.076      0.092    593.4
mos_tt  1.32  2.97  175      567.1   1059.9   2.970  0.0000      3.318      1.964      8.513     30.625    444.4
mos_tt  1.32  3.3   -40      511.2    645.2   3.300  0.0000      0.010      0.010      0.033      0.003    803.5
mos_tt  1.32  3.3   27       538.7    735.8   3.300  0.0000      0.011      0.011      0.076      0.092    692.3
mos_tt  1.32  3.3   175      582.7    978.9   3.300  0.0000      3.566      2.182      8.513     30.625    514.6
mos_tt  1.32  3.63  -40      524.2    618.9   3.630  0.0000      0.011      0.011      0.033      0.003    909.4
mos_tt  1.32  3.63  27       552.7    699.9   3.630  0.0000      0.013      0.012      0.076      0.092    780.1
mos_tt  1.32  3.63  175      599.7    919.2   3.630  0.0000      3.853      2.445      8.513     30.625    577.9
mos_ff  1.08  2.97  -40      614.8    683.2   2.970  0.0000      0.011      0.009      0.055      0.025    651.9
mos_ff  1.08  2.97  27       647.9    769.0   2.970  0.0000      0.019      0.014      0.236      0.674    549.1
mos_ff  1.08  2.97  175      685.8   1001.2   2.970  0.0000      8.771      6.835     26.487     98.894    412.7
mos_ff  1.08  3.3   -40      639.0    656.9   3.300  0.0000      0.014      0.010      0.055      0.025    731.0
mos_ff  1.08  3.3   27       676.5    732.8   3.300  0.0000      0.026      0.016      0.236      0.674    617.3
mos_ff  1.08  3.3   175      718.7    938.7   3.300  0.0000      9.459      7.606     26.487     98.894    466.5
mos_ff  1.08  3.63  -40      664.8    641.8   3.630  0.0000      0.019      0.011      0.055      0.025    821.7
mos_ff  1.08  3.63  27       707.5    710.8   3.630  0.0000      0.036      0.019      0.236      0.674    696.7
mos_ff  1.08  3.63  175      755.0    895.7   3.630  0.0000     10.270      8.540     26.487     98.894    523.8
mos_ff  1.2   2.97  -40      515.5    620.3   2.970  0.0000      0.011      0.009      0.077      0.029    753.5
mos_ff  1.2   2.97  27       542.4    710.8   2.970  0.0000      0.019      0.014      0.282      0.751    642.3
mos_ff  1.2   2.97  175      580.5    954.7   2.970  0.0000      8.771      6.835     28.393    106.906    473.4
mos_ff  1.2   3.3   -40      531.1    589.6   3.300  0.0000      0.014      0.010      0.077      0.029    869.8
mos_ff  1.2   3.3   27       559.4    669.3   3.300  0.0000      0.026      0.016      0.282      0.751    735.9
mos_ff  1.2   3.3   175      600.6    886.7   3.300  0.0000      9.459      7.606     28.393    106.906    540.2
mos_ff  1.2   3.63  -40      546.7    569.2   3.630  0.0000      0.019      0.011      0.077      0.029    970.4
mos_ff  1.2   3.63  27       577.1    640.9   3.630  0.0000      0.036      0.019      0.282      0.751    821.0
mos_ff  1.2   3.63  175      622.4    837.1   3.630  0.0000     10.270      8.540     28.393    106.906    605.9
mos_ff  1.32  2.97  -40      439.8    582.1   2.970  0.0000      0.011      0.009      0.105      0.033    768.0
mos_ff  1.32  2.97  27       466.2    675.6   2.970  0.0000      0.019      0.014      0.337      0.838    664.1
mos_ff  1.32  2.97  175      505.4    926.2   2.970  0.0000      8.771      6.835     30.267    115.514    500.4
mos_ff  1.32  3.3   -40      454.0    549.6   3.300  0.0000      0.014      0.010      0.105      0.033    904.1
mos_ff  1.32  3.3   27       481.1    632.1   3.300  0.0000      0.026      0.016      0.337      0.838    781.8
mos_ff  1.32  3.3   175      521.9    855.6   3.300  0.0000      9.459      7.606     30.267    115.514    587.6
mos_ff  1.32  3.63  -40      468.0    527.3   3.630  0.0000      0.019      0.011      0.105      0.033   1030.8
mos_ff  1.32  3.63  27       495.9    601.4   3.630  0.0000      0.036      0.019      0.337      0.838    901.4
mos_ff  1.32  3.63  175      538.8    803.1   3.630  0.0000     10.270      8.540     30.267    115.514    670.7
mos_ss  1.08  2.97  -40      876.7   1035.5   2.970  0.0000      0.009      0.009      0.006      0.001    380.2
mos_ss  1.08  2.97  27       922.6   1143.5   2.970  0.0000      0.009      0.009      0.009      0.006    330.5
mos_ss  1.08  2.97  175      942.1   1392.5   2.970  0.0000      1.555      0.611      1.212      7.694    271.4
mos_ss  1.08  3.3   -40      927.9   1011.8   3.300  0.0000      0.010      0.010      0.006      0.001    435.7
mos_ss  1.08  3.3   27       981.7   1108.4   3.300  0.0000      0.010      0.010      0.009      0.006    379.6
mos_ss  1.08  3.3   175     1002.0   1321.2   3.300  0.0000      1.666      0.676      1.212      7.694    307.3
mos_ss  1.08  3.63  -40      977.0   1006.5   3.630  0.0000      0.011      0.011      0.006      0.001    504.6
mos_ss  1.08  3.63  27      1040.8   1096.2   3.630  0.0000      0.011      0.011      0.009      0.006    438.6
mos_ss  1.08  3.63  175     1066.8   1278.5   3.630  0.0000      1.790      0.755      1.212      7.694    349.1
mos_ss  1.2   2.97  -40      656.5    897.1   2.970  0.0000      0.009      0.009      0.008      0.001    506.7
mos_ss  1.2   2.97  27       691.7   1007.8   2.970  0.0000      0.009      0.009      0.013      0.006    435.0
mos_ss  1.2   2.97  175      740.4   1290.5   2.970  0.0000      1.555      0.611      1.303      8.437    335.3
mos_ss  1.2   3.3   -40      675.5    857.5   3.300  0.0000      0.010      0.010      0.008      0.001    560.1
mos_ss  1.2   3.3   27       714.2    955.2   3.300  0.0000      0.010      0.010      0.013      0.006    481.1
mos_ss  1.2   3.3   175      767.8   1205.7   3.300  0.0000      1.666      0.676      1.303      8.437    373.4
mos_ss  1.2   3.63  -40      696.8    833.2   3.630  0.0000      0.011      0.011      0.008      0.001    614.6
mos_ss  1.2   3.63  27       739.8    921.3   3.630  0.0000      0.011      0.011      0.013      0.006    531.0
mos_ss  1.2   3.63  175      799.1   1146.1   3.630  0.0000      1.790      0.755      1.303      8.437    413.8
mos_ss  1.32  2.97  -40      557.2    821.4   2.970  0.0000      0.009      0.009      0.011      0.002    581.5
mos_ss  1.32  2.97  27       585.4    935.7   2.970  0.0000      0.009      0.009      0.018      0.008    503.0
mos_ss  1.32  2.97  175      632.0   1233.8   2.970  0.0000      1.555      0.611      1.394      9.214    381.2
mos_ss  1.32  3.3   -40      568.2    778.4   3.300  0.0000      0.010      0.010      0.011      0.002    668.6
mos_ss  1.32  3.3   27       597.6    878.9   3.300  0.0000      0.010      0.010      0.018      0.008    575.8
mos_ss  1.32  3.3   175      647.5   1144.5   3.300  0.0000      1.666      0.676      1.394      9.214    434.8
mos_ss  1.32  3.63  -40      580.0    750.4   3.630  0.0000      0.011      0.011      0.011      0.002    740.5
mos_ss  1.32  3.63  27       611.0    840.5   3.630  0.0000      0.011      0.011      0.018      0.008    637.7
mos_ss  1.32  3.63  175      665.0   1080.1   3.630  0.0000      1.790      0.755      1.394      9.214    481.6

# summary over the sweep
points=81  tr min/max = 440 / 1067 ps (max at mos_ss 1.08/3.63 V 175 C)  tf min/max = 527 / 1393 ps (max at mos_ss 1.08/2.97 V 175 C)  points with |out swing| outside 10..90 % of vdda: 0  max |Ivdda static| = 10.270 nA (mos_ff 175 C)
# RES lines: 81

# power-up (tb_ls_pwr.cir, 27 C): order A = vdda ramps 0.5-1.5 us then vdd 3-4 us; D = vdd first; in = 0 until a 1.2 V pulse at 6-7 us; vdd removed at 9-9.5 us
POWERUP mos_tt order=A out@1.9us(first rail only)= 3.21961E-09  out@4.9us(both rails)= 3.21906E-09  out@6.9us(in=1)= 3.3  out@7.9us(in=0)= 3.21905E-09  out_max(4-5.9us)= 5.34535E-09  out@11.9us(vdd removed, vdda on)= 3.21907E-09  Ivdda_nA(vdd off)= 0.013278
POWERUP mos_tt order=D out@1.9us(first rail only)= -1.83118E-08  out@4.9us(both rails)= 3.21906E-09  out@6.9us(in=1)= 3.3  out@7.9us(in=0)= 3.21905E-09  out_max(4-5.9us)= 9.75054E-06  out@11.9us(vdd removed, vdda on)= 3.21907E-09  Ivdda_nA(vdd off)= 0.013278
POWERUP mos_ss order=A out@1.9us(first rail only)= 2.73209E-09  out@4.9us(both rails)= 2.73197E-09  out@6.9us(in=1)= 3.3  out@7.9us(in=0)= 2.73197E-09  out_max(4-5.9us)= 4.98429E-09  out@11.9us(vdd removed, vdda on)= 2.73198E-09  Ivdda_nA(vdd off)= 0.0120945
POWERUP mos_ss order=D out@1.9us(first rail only)= -9.74742E-09  out@4.9us(both rails)= 2.73197E-09  out@6.9us(in=1)= 3.3  out@7.9us(in=0)= 2.73197E-09  out_max(4-5.9us)= 1.02492E-05  out@11.9us(vdd removed, vdda on)= 2.73198E-09  Ivdda_nA(vdd off)= 0.0120945
POWERUP mos_ff order=A out@1.9us(first rail only)= 1.06187E-08  out@4.9us(both rails)= 1.06181E-08  out@6.9us(in=1)= 3.3  out@7.9us(in=0)= 1.06181E-08  out_max(4-5.9us)= 1.31593E-08  out@11.9us(vdd removed, vdda on)= 1.0618E-08  Ivdda_nA(vdd off)= 0.0221682
POWERUP mos_ff order=D out@1.9us(first rail only)= -6.2908E-08  out@4.9us(both rails)= 1.06181E-08  out@6.9us(in=1)= 3.3  out@7.9us(in=0)= 1.06181E-08  out_max(4-5.9us)= 9.20966E-06  out@11.9us(vdd removed, vdda on)= 1.0618E-08  Ivdda_nA(vdd off)= 0.0221682
