# Logfile created on 2026-09-18 20:40:31 +0200 by logger.rb/v1.5.3
2026-09-18 20:40:31 +0200: Memory Usage (804656K) : Starting running IHP-SG13G2 KLayout DRC runset on /work/designs/g1-guardian/blocks/g1_dose/layout/g1_dose_nw.gds
2026-09-18 20:40:31 +0200: Memory Usage (804656K) : Ruby Version for klayout: 3.2.3
2026-09-18 20:40:31 +0200: Memory Usage (806832K) : Loading database to memory is complete.
2026-09-18 20:40:31 +0200: Memory Usage (806832K) : IHP-SG13G2 KLayout DRC runset output at: /work/designs/g1-guardian/blocks/g1_dose/reports/drc_nw/g1_dose_nw_g1_dose_pair_nw_main.lyrdb
2026-09-18 20:40:31 +0200: Memory Usage (807088K) : Evaluate switches.
2026-09-18 20:40:31 +0200: Memory Usage (807088K) : tables selected: main
2026-09-18 20:40:31 +0200: Memory Usage (807088K) : KLayout will use 12 thread(s) in tiling mode.
2026-09-18 20:40:31 +0200: Memory Usage (807088K) : deep mode is enabled.
2026-09-18 20:40:31 +0200: Memory Usage (807088K) : FEOL enabled: true
2026-09-18 20:40:31 +0200: Memory Usage (807088K) : BEOL enabled: true
2026-09-18 20:40:31 +0200: Memory Usage (807088K) : OFFGRID enabled: true
2026-09-18 20:40:31 +0200: Memory Usage (807088K) : ANGLE enabled: true
2026-09-18 20:40:31 +0200: Memory Usage (807088K) : PIN enabled: true
2026-09-18 20:40:31 +0200: Memory Usage (807088K) : FORBIDDEN enabled: true
2026-09-18 20:40:31 +0200: Memory Usage (807088K) : RECOMMENDED enabled: true
2026-09-18 20:40:31 +0200: Memory Usage (807088K) : PreCheck DRC enabled: false
2026-09-18 20:40:31 +0200: Memory Usage (807088K) : CONNECTIVITY_RULES enabled: true.
2026-09-18 20:40:31 +0200: Memory Usage (807088K) : Read in polygons from layers.
2026-09-18 20:40:31 +0200: Memory Usage (809520K) : activ_drw has 8 polygons
2026-09-18 20:40:31 +0200: Memory Usage (809648K) : activ_pin has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (809648K) : activ_mask has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (809648K) : activ_filler has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (809648K) : activ_nofill has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (809648K) : activ_opc has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (809648K) : activ_iopc has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (809648K) : activ_noqrc has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (809648K) : biwind_drw has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (809648K) : biwind_opc has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (809648K) : pemwind_drw has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (809648K) : gatpoly_drw has 4 polygons
2026-09-18 20:40:31 +0200: Memory Usage (809648K) : gatpoly_pin has 2 polygons
2026-09-18 20:40:31 +0200: Memory Usage (809648K) : gatpoly_filler has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (809648K) : gatpoly_nofill has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (809648K) : gatpoly_opc has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (809648K) : gatpoly_iopc has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (809648K) : gatpoly_noqrc has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (809648K) : cont_drw has 88 polygons
2026-09-18 20:40:31 +0200: Memory Usage (809648K) : cont_opc has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (809648K) : nsd_drw has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (809648K) : nsd_block has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (810032K) : metal1_drw has 16 polygons
2026-09-18 20:40:31 +0200: Memory Usage (810032K) : metal1_pin has 5 polygons
2026-09-18 20:40:31 +0200: Memory Usage (810032K) : metal1_mask has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (810032K) : metal1_filler has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (810032K) : metal1_nofill has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (810032K) : metal1_slit has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (810416K) : metal1_text has 1 polygons
2026-09-18 20:40:31 +0200: Memory Usage (810416K) : metal1_opc has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (810672K) : metal1_noqrc has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (810672K) : metal1_res has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (810672K) : metal1_iprobe has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (810672K) : metal1_diffprb has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (810672K) : passiv_drw has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (810672K) : passiv_pin has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (810800K) : passiv_sbump has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (810800K) : passiv_pillar has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (810800K) : passiv_pdl has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (810800K) : metal2_drw has 5 polygons
2026-09-18 20:40:31 +0200: Memory Usage (810928K) : metal2_pin has 3 polygons
2026-09-18 20:40:31 +0200: Memory Usage (811056K) : metal2_mask has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (811056K) : metal2_filler has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (811184K) : metal2_nofill has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (811184K) : metal2_slit has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (811184K) : metal2_text has 3 polygons
2026-09-18 20:40:31 +0200: Memory Usage (811312K) : metal2_opc has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (811312K) : metal2_noqrc has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (811440K) : metal2_res has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (811440K) : metal2_iprobe has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (811568K) : metal2_diffprb has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (811568K) : baspoly_drw has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (811568K) : baspoly_pin has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (811696K) : psd_drw has 2 polygons
2026-09-18 20:40:31 +0200: Memory Usage (811696K) : nldb_drw has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (811824K) : digibnd_drw has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (811824K) : via1_drw has 11 polygons
2026-09-18 20:40:31 +0200: Memory Usage (811952K) : backmetal1_drw has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (811952K) : backmetal1_pin has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (811952K) : backmetal1_mask has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (812080K) : backmetal1_filler has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (812080K) : backmetal1_nofill has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (812208K) : backmetal1_slit has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (812208K) : backmetal1_text has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (812336K) : backmetal1_opc has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (812336K) : backmetal1_noqrc has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (812464K) : backmetal1_res has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (812592K) : backmetal1_iprobe has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (812592K) : backmetal1_diffprb has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (812720K) : backpassiv_drw has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (812720K) : res_drw has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (812848K) : sram_drw has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (812848K) : trans_drw has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (812848K) : ind_drw has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (812976K) : ind_pin has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (812976K) : ind_text has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (813104K) : salblock_drw has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (813104K) : via2_drw has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (813232K) : metal3_drw has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (813232K) : metal3_pin has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (813232K) : metal3_mask has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (813360K) : metal3_filler has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (813360K) : metal3_nofill has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (813488K) : metal3_slit has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (813488K) : metal3_text has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (813616K) : metal3_opc has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (813616K) : metal3_noqrc has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (813744K) : metal3_res has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (813744K) : metal3_iprobe has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (813872K) : metal3_diffprb has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (813872K) : nwell_drw has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (814000K) : nwell_pin has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (814000K) : nbulay_drw has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (814000K) : nbulay_pin has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (814000K) : nbulay_block has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (814128K) : emwind_drw has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (814128K) : emwind_opc has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (814128K) : deepco_drw has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (814128K) : deepco_drw has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (814256K) : mim_drw has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (814256K) : edgeseal_drw has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (814256K) : edgeseal_bound has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (814384K) : substrate_drw has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (814384K) : substrate_text has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (814384K) : dfpad_drw has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (814384K) : dfpad_pillar has 0 polygons
2026-09-18 20:40:31 +0200: Memory Usage (814512K) : dfpad_sbump has 0 polygons
