# Logfile created on 2026-09-18 20:29:30 +0200 by logger.rb/v1.5.3
2026-09-18 20:29:31 +0200: Memory Usage (805160K) : Starting running IHP-SG13G2 KLayout DRC runset on /work/designs/g1-guardian/blocks/g1_dose/layout/g1_dose.gds
2026-09-18 20:29:31 +0200: Memory Usage (805160K) : Ruby Version for klayout: 3.2.3
2026-09-18 20:29:31 +0200: Memory Usage (807464K) : Loading database to memory is complete.
2026-09-18 20:29:31 +0200: Memory Usage (807464K) : IHP-SG13G2 KLayout DRC runset output at: /work/designs/g1-guardian/blocks/g1_dose/reports/drc_pair_noextra/g1_dose_g1_dose_pair_main.lyrdb
2026-09-18 20:29:31 +0200: Memory Usage (807592K) : Evaluate switches.
2026-09-18 20:29:31 +0200: Memory Usage (807592K) : tables selected: main
2026-09-18 20:29:31 +0200: Memory Usage (807592K) : KLayout will use 12 thread(s) in tiling mode.
2026-09-18 20:29:31 +0200: Memory Usage (807592K) : deep mode is enabled.
2026-09-18 20:29:31 +0200: Memory Usage (807592K) : FEOL enabled: true
2026-09-18 20:29:31 +0200: Memory Usage (807592K) : BEOL enabled: true
2026-09-18 20:29:31 +0200: Memory Usage (807592K) : OFFGRID enabled: true
2026-09-18 20:29:31 +0200: Memory Usage (807592K) : ANGLE enabled: true
2026-09-18 20:29:31 +0200: Memory Usage (807592K) : PIN enabled: true
2026-09-18 20:29:31 +0200: Memory Usage (807592K) : FORBIDDEN enabled: true
2026-09-18 20:29:31 +0200: Memory Usage (807592K) : RECOMMENDED enabled: true
2026-09-18 20:29:31 +0200: Memory Usage (807592K) : PreCheck DRC enabled: false
2026-09-18 20:29:31 +0200: Memory Usage (807592K) : CONNECTIVITY_RULES enabled: true.
2026-09-18 20:29:31 +0200: Memory Usage (807592K) : Read in polygons from layers.
2026-09-18 20:29:31 +0200: Memory Usage (810408K) : activ_drw has 12 polygons
2026-09-18 20:29:31 +0200: Memory Usage (810536K) : activ_pin has 0 polygons
2026-09-18 20:29:31 +0200: Memory Usage (810536K) : activ_mask has 0 polygons
