 v-sweep         id_std          id_elt         
-3.00000000e-01  1.02966800e-14  1.02966800e-14 
-2.90000000e-01  9.66927291e-15  9.66927291e-15 
-2.80000000e-01  9.08144535e-15  9.08144535e-15 
-2.70000000e-01  8.51833822e-15  8.51833822e-15 
-2.60000000e-01  7.97898231e-15  7.97898231e-15 
-2.50000000e-01  7.46248433e-15  7.46248433e-15 
-2.40000000e-01  6.96803416e-15  6.96803416e-15 
-2.30000000e-01  6.49491100e-15  6.49491100e-15 
-2.20000000e-01  6.04248725e-15  6.04248725e-15 
-2.10000000e-01  5.61022895e-15  5.61022895e-15 
-2.00000000e-01  5.19769158e-15  5.19769158e-15 
-1.90000000e-01  4.80451056e-15  4.80451056e-15 
-1.80000000e-01  4.43038642e-15  4.43038642e-15 
-1.70000000e-01  4.07506550e-15  4.07506550e-15 
-1.60000000e-01  3.73831773e-15  3.73831773e-15 
-1.50000000e-01  3.41991382e-15  3.41991382e-15 
-1.40000000e-01  3.11960409e-15  3.11960409e-15 
-1.30000000e-01  2.83710096e-15  2.83710096e-15 
-1.20000000e-01  2.57206642e-15  2.57206642e-15 
-1.10000000e-01  2.32410496e-15  2.32410496e-15 
-1.00000000e-01  2.09276166e-15  2.09276166e-15 
-9.00000000e-02  1.87752475e-15  1.87752475e-15 
-8.00000000e-02  1.67783147e-15  1.67783147e-15 
-7.00000000e-02  1.49307611e-15  1.49307611e-15 
-6.00000000e-02  1.32261919e-15  1.32261919e-15 
-5.00000000e-02  1.16579705e-15  1.16579705e-15 
-4.00000000e-02  1.02193111e-15  1.02193111e-15 
-3.00000000e-02  8.90336402e-16  8.90336402e-16 
-2.00000000e-02  7.70329279e-16  7.70329279e-16 
-1.00000000e-02  6.61234062e-16  6.61234061e-16 
 8.67361738e-17  5.62388756e-16  5.62388752e-16 
 1.00000000e-02  4.73150003e-16  4.73149988e-16 
 2.00000000e-02  3.92897816e-16  3.92897766e-16 
 3.00000000e-02  3.21041367e-16  3.21041201e-16 
 4.00000000e-02  2.57029077e-16  2.57028557e-16 
 5.00000000e-02  2.00371467e-16  2.00369880e-16 
 6.00000000e-02  1.50698817e-16  1.50694072e-16 
 7.00000000e-02  1.07911531e-16  1.07897555e-16 
 8.00000000e-02  7.25752178e-17  7.25345438e-17 
 9.00000000e-02  4.69599221e-17  4.68426767e-17 
 1.00000000e-01  3.77734055e-17  3.74380590e-17 
 1.10000000e-01  6.31600144e-17  6.22070155e-17 
 1.20000000e-01  2.31213848e-16  2.27485003e-16 
 1.30000000e-01  6.50988736e-16  6.40526470e-16 
 1.40000000e-01  1.80394370e-15  1.77467946e-15 
 1.50000000e-01  4.89026559e-15  4.80864725e-15 
 1.60000000e-01  1.30712504e-14  1.28442648e-14 
 1.70000000e-01  3.46782098e-14  3.40484325e-14 
 1.80000000e-01  9.16786262e-14  8.99350341e-14 
 1.90000000e-01  2.42024262e-13  2.37206041e-13 
 2.00000000e-01  6.38671685e-13  6.25379233e-13 
 2.10000000e-01  1.68552833e-12  1.64891175e-12 
 2.20000000e-01  4.44969235e-12  4.34895883e-12 
 2.30000000e-01  1.17516897e-11  1.14748988e-11 
 2.40000000e-01  3.10499675e-11  3.02902393e-11 
 2.50000000e-01  8.20748819e-11  7.99917209e-11 
 2.60000000e-01  2.17033471e-10  2.11327351e-10 
 2.70000000e-01  5.74051298e-10  5.58440467e-10 
 2.80000000e-01  1.51818376e-09  1.47555675e-09 
 2.90000000e-01  4.01082322e-09  3.89486853e-09 
 3.00000000e-01  1.05584437e-08  1.02458131e-08 
 3.10000000e-01  2.75225961e-08  2.66978036e-08 
 3.20000000e-01  6.99987297e-08  6.79304827e-08 
 3.30000000e-01  1.68839263e-07  1.64151677e-07 
 3.40000000e-01  3.72475966e-07  3.63328081e-07 
 3.50000000e-01  7.35213628e-07  7.19937271e-07 
 3.60000000e-01  1.30309341e-06  1.28055426e-06 
 3.70000000e-01  2.11122885e-06  2.08073523e-06 
 3.80000000e-01  3.18753822e-06  3.14867148e-06 
 3.90000000e-01  4.55578979e-06  4.50830767e-06 
 4.00000000e-01  6.23692304e-06  6.18071749e-06 
 4.10000000e-01  8.24935087e-06  8.18443300e-06 
 4.20000000e-01  1.06086417e-05  1.05351451e-05 
 4.30000000e-01  1.33266951e-05  1.32448980e-05 
 4.40000000e-01  1.64105720e-05  1.63209370e-05 
 4.50000000e-01  1.98614078e-05  1.97646256e-05 
 4.60000000e-01  2.36739999e-05  2.35710174e-05 
 4.70000000e-01  2.78374270e-05  2.77294401e-05 
 4.80000000e-01  3.23365299e-05  3.22249427e-05 
 4.90000000e-01  3.71537219e-05  3.70400834e-05 
 5.00000000e-01  4.22706101e-05  4.21565473e-05 
 5.10000000e-01  4.76691539e-05  4.75563147e-05 
 5.20000000e-01  5.33323314e-05  5.32223418e-05 
 5.30000000e-01  5.92444137e-05  5.91388523e-05 
 5.40000000e-01  6.53909856e-05  6.52913692e-05 
 5.50000000e-01  7.17588270e-05  7.16666064e-05 
 5.60000000e-01  7.83357369e-05  7.82522980e-05 
 5.70000000e-01  8.51103481e-05  8.50370160e-05 
 5.80000000e-01  9.20719574e-05  9.20100026e-05 
 5.90000000e-01  9.92103827e-05  9.91610263e-05 
 6.00000000e-01  1.06515847e-04  1.06480267e-04 
 6.10000000e-01  1.13978892e-04  1.13958226e-04 
 6.20000000e-01  1.21590305e-04  1.21585659e-04 
 6.30000000e-01  1.29341079e-04  1.29353525e-04 
 6.40000000e-01  1.37222374e-04  1.37252956e-04 
 6.50000000e-01  1.45225496e-04  1.45275231e-04 
 6.60000000e-01  1.53341883e-04  1.53411762e-04 
 6.70000000e-01  1.61563101e-04  1.61654090e-04 
 6.80000000e-01  1.69880836e-04  1.69993878e-04 
 6.90000000e-01  1.78286902e-04  1.78422914e-04 
 7.00000000e-01  1.86773241e-04  1.86933118e-04 
 7.10000000e-01  1.95331929e-04  1.95516540e-04 
 7.20000000e-01  2.03955183e-04  2.04165374e-04 
 7.30000000e-01  2.12635368e-04  2.12871960e-04 
 7.40000000e-01  2.21365005e-04  2.21628792e-04 
 7.50000000e-01  2.30136775e-04  2.30428528e-04 
 7.60000000e-01  2.38943530e-04  2.39263994e-04 
 7.70000000e-01  2.47778300e-04  2.48128192e-04 
 7.80000000e-01  2.56634295e-04  2.57014305e-04 
 7.90000000e-01  2.65504912e-04  2.65915705e-04 
 8.00000000e-01  2.74383744e-04  2.74825955e-04 
 8.10000000e-01  2.83264578e-04  2.83738816e-04 
 8.20000000e-01  2.92141403e-04  2.92648249e-04 
 8.30000000e-01  3.01008412e-04  3.01548419e-04 
 8.40000000e-01  3.09860004e-04  3.10433695e-04 
 8.50000000e-01  3.18690784e-04  3.19298656e-04 
 8.60000000e-01  3.27495568e-04  3.28138089e-04 
 8.70000000e-01  3.36269379e-04  3.36946990e-04 
 8.80000000e-01  3.45007451e-04  3.45720563e-04 
 8.90000000e-01  3.53705225e-04  3.54454222e-04 
