 v-sweep         id_std          id_elt         
-3.00000000e-01  9.68331479e-11  9.68134403e-11 
-2.90000000e-01  1.02881180e-10  1.02866695e-10 
-2.80000000e-01  1.11318725e-10  1.11310248e-10 
-2.70000000e-01  1.22822347e-10  1.22820690e-10 
-2.60000000e-01  1.38268161e-10  1.38274106e-10 
-2.50000000e-01  1.58790770e-10  1.58804988e-10 
-2.40000000e-01  1.85859727e-10  1.85882646e-10 
-2.30000000e-01  2.21378768e-10  2.21410372e-10 
-2.20000000e-01  2.67814609e-10  2.67854143e-10 
-2.10000000e-01  3.28364169e-10  3.28409708e-10 
-2.00000000e-01  4.07171729e-10  4.07219552e-10 
-1.90000000e-01  5.09610992e-10  5.09654698e-10 
-1.80000000e-01  6.42651518e-10  6.42680763e-10 
-1.70000000e-01  8.15334846e-10  8.15333576e-10 
-1.60000000e-01  1.03939323e-09  1.03933721e-09 
-1.50000000e-01  1.33005380e-09  1.32990719e-09 
-1.40000000e-01  1.70708375e-09  1.70679435e-09 
-1.30000000e-01  2.19614888e-09  2.19564162e-09 
-1.20000000e-01  2.83057930e-09  2.82974728e-09 
-1.10000000e-01  3.65366394e-09  3.65235623e-09 
-1.00000000e-01  4.72163155e-09  4.71963661e-09 
-9.00000000e-02  6.10752211e-09  6.10454536e-09 
-8.00000000e-02  7.90621135e-09  7.90184496e-09 
-7.00000000e-02  1.02409268e-08  1.02346093e-08 
-6.00000000e-02  1.32716882e-08  1.32626504e-08 
-5.00000000e-02  1.72062231e-08  1.71934176e-08 
-4.00000000e-02  2.23140558e-08  2.22960634e-08 
-3.00000000e-02  2.89446373e-08  2.89195475e-08 
-2.00000000e-02  3.75505937e-08  3.75158518e-08 
-1.00000000e-02  4.87173867e-08  4.86696036e-08 
 8.67361738e-17  6.32009081e-08  6.31356317e-08 
 1.00000000e-02  8.19747178e-08  8.18861691e-08 
 2.00000000e-02  1.06288710e-07  1.06169502e-07 
 3.00000000e-02  1.37740842e-07  1.37581722e-07 
