 v-sweep         id_std          id_elt         
-3.00000000e-01  1.13227007e-12  1.13227007e-12 
-2.90000000e-01  1.00932308e-12  1.00932308e-12 
-2.80000000e-01  8.98829178e-13  8.98829178e-13 
-2.70000000e-01  7.99657765e-13  7.99657765e-13 
-2.60000000e-01  7.10767069e-13  7.10767069e-13 
-2.50000000e-01  6.31198401e-13  6.31198401e-13 
-2.40000000e-01  5.60070687e-13  5.60070687e-13 
-2.30000000e-01  4.96575276e-13  4.96575276e-13 
-2.20000000e-01  4.39970997e-13  4.39970997e-13 
-2.10000000e-01  3.89579488e-13  3.89579488e-13 
-2.00000000e-01  3.44780753e-13  3.44780753e-13 
-1.90000000e-01  3.05008977e-13  3.05008977e-13 
-1.80000000e-01  2.69748557e-13  2.69748557e-13 
-1.70000000e-01  2.38530364e-13  2.38530364e-13 
-1.60000000e-01  2.10928222e-13  2.10928222e-13 
-1.50000000e-01  1.86555594e-13  1.86555594e-13 
-1.40000000e-01  1.65062461e-13  1.65062461e-13 
-1.30000000e-01  1.46132405e-13  1.46132405e-13 
-1.20000000e-01  1.29479869e-13  1.29479869e-13 
-1.10000000e-01  1.14847597e-13  1.14847597e-13 
-1.00000000e-01  1.02004239e-13  1.02004239e-13 
-9.00000000e-02  9.07421220e-14  9.07421220e-14 
-8.00000000e-02  8.08751750e-14  8.08751750e-14 
-7.00000000e-02  7.22369971e-14  7.22369971e-14 
-6.00000000e-02  6.46790678e-14  6.46790678e-14 
-5.00000000e-02  5.80690891e-14  5.80690891e-14 
-4.00000000e-02  5.22894522e-14  5.22894522e-14 
-3.00000000e-02  4.72358234e-14  4.72358234e-14 
-2.00000000e-02  4.28158416e-14  4.28158416e-14 
-1.00000000e-02  3.89479206e-14  3.89479206e-14 
 8.67361738e-17  3.55601512e-14  3.55601512e-14 
 1.00000000e-02  3.25892956e-14  3.25892956e-14 
 2.00000000e-02  2.99798688e-14  2.99798688e-14 
 3.00000000e-02  2.76833020e-14  2.76833020e-14 
 4.00000000e-02  2.56571808e-14  2.56571808e-14 
 5.00000000e-02  2.38645542e-14  2.38645542e-14 
 6.00000000e-02  2.22733098e-14  2.22733098e-14 
 7.00000000e-02  2.08556086e-14  2.08556086e-14 
 8.00000000e-02  1.95873766e-14  1.95873766e-14 
 9.00000000e-02  1.84478472e-14  1.84478472e-14 
 1.00000000e-01  1.73664907e-14  1.73664906e-14 
 1.10000000e-01  1.64405691e-14  1.64405691e-14 
 1.20000000e-01  1.55959661e-14  1.55959659e-14 
 1.30000000e-01  1.48216118e-14  1.48216112e-14 
 1.40000000e-01  1.41080906e-14  1.41080888e-14 
 1.50000000e-01  1.34474369e-14  1.34474318e-14 
 1.60000000e-01  1.28329975e-14  1.28329827e-14 
 1.70000000e-01  1.22594323e-14  1.22593894e-14 
 1.80000000e-01  1.17230642e-14  1.17229394e-14 
 1.90000000e-01  1.12231896e-14  1.12228271e-14 
 2.00000000e-01  1.07661133e-14  1.07650592e-14 
 2.10000000e-01  1.03769866e-14  1.03739208e-14 
 2.20000000e-01  1.02610129e-14  1.02484695e-14 
 2.30000000e-01  1.06114354e-14  1.05749022e-14 
 2.40000000e-01  1.24154740e-14  1.23090508e-14 
 2.50000000e-01  1.83704293e-14  1.80603266e-14 
 2.60000000e-01  3.62560669e-14  3.53523304e-14 
 2.70000000e-01  8.85159392e-14  8.58811131e-14 
 2.80000000e-01  2.39922105e-13  2.32237576e-13 
