 v-sweep         id_std          id_elt         
-3.00000000e-01  1.06009240e-10  9.47281589e-11 
-2.90000000e-01  1.25877332e-10  1.14522034e-10 
-2.80000000e-01  1.50083221e-10  1.38636667e-10 
-2.70000000e-01  1.79589717e-10  1.68030921e-10 
-2.60000000e-01  2.15576269e-10  2.03879379e-10 
-2.50000000e-01  2.59488258e-10  2.47621415e-10 
-2.40000000e-01  3.13097611e-10  3.01021546e-10 
-2.30000000e-01  3.78577346e-10  3.66243643e-10 
-2.20000000e-01  4.58593282e-10  4.45942236e-10 
-2.10000000e-01  5.56416895e-10  5.43374857e-10 
-2.00000000e-01  6.76064198e-10  6.62540304e-10 
-1.90000000e-01  8.22466712e-10  8.08348837e-10 
-1.80000000e-01  1.00168194e-09  9.86831700e-10 
-1.70000000e-01  1.22115254e-09  1.20539910e-09 
-1.60000000e-01  1.49002541e-09  1.47315786e-09 
-1.50000000e-01  1.81954463e-09  1.80130258e-09 
-1.40000000e-01  2.22353531e-09  2.20359722e-09 
-1.30000000e-01  2.71899932e-09  2.69696814e-09 
-1.20000000e-01  3.32684845e-09  3.30223395e-09 
-1.10000000e-01  4.07280685e-09  4.04500374e-09 
-1.00000000e-01  4.98852084e-09  4.95678197e-09 
-9.00000000e-02  6.11292332e-09  6.07632663e-09 
-8.00000000e-02  7.49390968e-09  7.45131774e-09 
-7.00000000e-02  9.19039424e-09  9.14040471e-09 
-6.00000000e-02  1.12748303e-08  1.12157154e-08 
-5.00000000e-02  1.38362928e-08  1.37659260e-08 
-4.00000000e-02  1.69842423e-08  1.69000090e-08 
-3.00000000e-02  2.08531055e-08  2.07517964e-08 
-2.00000000e-02  2.56078351e-08  2.54855184e-08 
-1.00000000e-02  3.14506243e-08  3.13024945e-08 
 8.67361738e-17  3.86289770e-08  3.84491790e-08 
 1.00000000e-02  4.74453392e-08  4.72267657e-08 
 2.00000000e-02  5.82684992e-08  5.80025639e-08 
 3.00000000e-02  7.15469388e-08  7.12233296e-08 
 4.00000000e-02  8.78242622e-08  8.74306836e-08 
 5.00000000e-02  1.07756725e-07  1.07278651e-07 
 6.00000000e-02  1.32132726e-07  1.31553185e-07 
 7.00000000e-02  1.61893868e-07  1.61193312e-07 
 8.00000000e-02  1.98156881e-07  1.97313194e-07 
 9.00000000e-02  2.42235281e-07  2.41223992e-07 
 1.00000000e-01  2.95659150e-07  2.94453970e-07 
 1.10000000e-01  3.60191000e-07  3.58764762e-07 
 1.20000000e-01  4.37835279e-07  4.36161399e-07 
 1.30000000e-01  5.30838958e-07  5.28893501e-07 
 1.40000000e-01  6.41680839e-07  6.39445224e-07 
 1.50000000e-01  7.73047815e-07  7.70512162e-07 
 1.60000000e-01  9.27797378e-07  9.24964393e-07 
 1.70000000e-01  1.10890688e-06  1.10579613e-06 
 1.80000000e-01  1.31941144e-06  1.31606376e-06 
 1.90000000e-01  1.56233338e-06  1.55881525e-06 
 2.00000000e-01  1.84060705e-06  1.83701451e-06 
 2.10000000e-01  2.15700280e-06  2.15346488e-06 
 2.20000000e-01  2.51405432e-06  2.51073560e-06 
 2.30000000e-01  2.91399292e-06  2.91109515e-06 
 2.40000000e-01  3.35869200e-06  3.35645465e-06 
 2.50000000e-01  3.84962442e-06  3.84832416e-06 
 2.60000000e-01  4.38783485e-06  4.38778382e-06 
 2.70000000e-01  4.97392801e-06  4.97547110e-06 
 2.80000000e-01  5.60807305e-06  5.61158418e-06 
 2.90000000e-01  6.29002281e-06  6.29590053e-06 
 3.00000000e-01  7.01914606e-06  7.02780852e-06 
 3.10000000e-01  7.79446958e-06  7.80634926e-06 
 3.20000000e-01  8.61472697e-06  8.63026535e-06 
 3.30000000e-01  9.47841055e-06  9.49805298e-06 
 3.40000000e-01  1.03838235e-05  1.04080144e-05 
 3.50000000e-01  1.13291296e-05  1.13583082e-05 
 3.60000000e-01  1.23123986e-05  1.23469952e-05 
 3.70000000e-01  1.33316462e-05  1.33720793e-05 
 3.80000000e-01  1.43848685e-05  1.44315421e-05 
 3.90000000e-01  1.54700697e-05  1.55233715e-05 
 4.00000000e-01  1.65852844e-05  1.66455845e-05 
 4.10000000e-01  1.77285953e-05  1.77962454e-05 
 4.20000000e-01  1.88981452e-05  1.89734781e-05 
 4.30000000e-01  2.00921464e-05  2.01754757e-05 
 4.40000000e-01  2.13088862e-05  2.14005066e-05 
 4.50000000e-01  2.25467299e-05  2.26469174e-05 
 4.60000000e-01  2.38041222e-05  2.39131346e-05 
 4.70000000e-01  2.50795869e-05  2.51976646e-05 
 4.80000000e-01  2.63717253e-05  2.64990916e-05 
 4.90000000e-01  2.76792141e-05  2.78160761e-05 
 5.00000000e-01  2.90008026e-05  2.91473520e-05 
 5.10000000e-01  3.03353094e-05  3.04917232e-05 
 5.20000000e-01  3.16816192e-05  3.18480605e-05 
 5.30000000e-01  3.30386794e-05  3.32152980e-05 
 5.40000000e-01  3.44054965e-05  3.45924297e-05 
 5.50000000e-01  3.57811327e-05  3.59785061e-05 
 5.60000000e-01  3.71647028e-05  3.73726309e-05 
 5.70000000e-01  3.85553711e-05  3.87739576e-05 
 5.80000000e-01  3.99523478e-05  4.01816869e-05 
 5.90000000e-01  4.13548871e-05  4.15950635e-05 
 6.00000000e-01  4.27622836e-05  4.30133732e-05 
 6.10000000e-01  4.41738705e-05  4.44359409e-05 
 6.20000000e-01  4.55890167e-05  4.58621278e-05 
 6.30000000e-01  4.70071249e-05  4.72913293e-05 
 6.40000000e-01  4.84276296e-05  4.87229729e-05 
 6.50000000e-01  4.98499948e-05  5.01565161e-05 
 6.60000000e-01  5.12737127e-05  5.15914449e-05 
 6.70000000e-01  5.26983015e-05  5.30272718e-05 
 6.80000000e-01  5.41233045e-05  5.44635345e-05 
 6.90000000e-01  5.55482880e-05  5.58997943e-05 
 7.00000000e-01  5.69728404e-05  5.73356347e-05 
 7.10000000e-01  5.83965708e-05  5.87706602e-05 
 7.20000000e-01  5.98191078e-05  6.02044950e-05 
 7.30000000e-01  6.12400984e-05  6.16367821e-05 
 7.40000000e-01  6.26592072e-05  6.30671822e-05 
 7.50000000e-01  6.40761153e-05  6.44953727e-05 
 7.60000000e-01  6.54905193e-05  6.59210469e-05 
 7.70000000e-01  6.69021307e-05  6.73439129e-05 
 7.80000000e-01  6.83106749e-05  6.87636932e-05 
 7.90000000e-01  6.97158909e-05  7.01801236e-05 
 8.00000000e-01  7.11175300e-05  7.15929530e-05 
 8.10000000e-01  7.25153558e-05  7.30019422e-05 
 8.20000000e-01  7.39091432e-05  7.44068636e-05 
 8.30000000e-01  7.52986779e-05  7.58075008e-05 
 8.40000000e-01  7.66837562e-05  7.72036476e-05 
 8.50000000e-01  7.80641839e-05  7.85951081e-05 
 8.60000000e-01  7.94397766e-05  7.99816956e-05 
 8.70000000e-01  8.08103584e-05  8.13632327e-05 
 8.80000000e-01  8.21757624e-05  8.27395504e-05 
 8.90000000e-01  8.35358296e-05  8.41104884e-05 
 9.00000000e-01  8.48904090e-05  8.54758938e-05 
 9.10000000e-01  8.62393568e-05  8.68356217e-05 
 9.20000000e-01  8.75825366e-05  8.81895340e-05 
 9.30000000e-01  8.89198186e-05  8.95374999e-05 
 9.40000000e-01  9.02510799e-05  9.08793950e-05 
 9.50000000e-01  9.15762034e-05  9.22151013e-05 
 9.60000000e-01  9.28950784e-05  9.35445068e-05 
 9.70000000e-01  9.42075997e-05  9.48675054e-05 
 9.80000000e-01  9.55136677e-05  9.61839967e-05 
 9.90000000e-01  9.68131883e-05  9.74938853e-05 
 1.00000000e+00  9.81060721e-05  9.87970813e-05 
 1.01000000e+00  9.93922348e-05  1.00093500e-04 
 1.02000000e+00  1.00671597e-04  1.01383060e-04 
 1.03000000e+00  1.01944083e-04  1.02665686e-04 
 1.04000000e+00  1.03209623e-04  1.03941307e-04 
 1.05000000e+00  1.04468150e-04  1.05209856e-04 
 1.06000000e+00  1.05719600e-04  1.06471269e-04 
 1.07000000e+00  1.06963917e-04  1.07725487e-04 
 1.08000000e+00  1.08201043e-04  1.08972455e-04 
 1.09000000e+00  1.09430929e-04  1.10212120e-04 
 1.10000000e+00  1.10653525e-04  1.11444435e-04 
 1.11000000e+00  1.11868788e-04  1.12669354e-04 
 1.12000000e+00  1.13076675e-04  1.13886835e-04 
 1.13000000e+00  1.14277149e-04  1.15096840e-04 
 1.14000000e+00  1.15470173e-04  1.16299332e-04 
 1.15000000e+00  1.16655715e-04  1.17494280e-04 
 1.16000000e+00  1.17833745e-04  1.18681652e-04 
 1.17000000e+00  1.19004236e-04  1.19861422e-04 
 1.18000000e+00  1.20167164e-04  1.21033564e-04 
 1.19000000e+00  1.21322505e-04  1.22198056e-04 
 1.20000000e+00  1.22470240e-04  1.23354878e-04 
