 v-sweep         id_std          id_elt         
-3.00000000e-01  5.63974635e-14  5.63970431e-14 
-2.90000000e-01  5.29616417e-14  5.29610458e-14 
-2.80000000e-01  4.97046611e-14  4.97037983e-14 
-2.70000000e-01  4.66301442e-14  4.66288767e-14 
-2.60000000e-01  4.37467185e-14  4.37448448e-14 
-2.50000000e-01  4.10702227e-14  4.10674232e-14 
-2.40000000e-01  3.86267368e-14  3.86225466e-14 
-2.30000000e-01  3.64571944e-14  3.64509143e-14 
-2.20000000e-01  3.46241202e-14  3.46146903e-14 
-2.10000000e-01  3.32212785e-14  3.32071137e-14 
-2.00000000e-01  3.23881410e-14  3.23668589e-14 
-1.90000000e-01  3.23309649e-14  3.22989694e-14 
-1.80000000e-01  3.33536738e-14  3.33056062e-14 
-1.70000000e-01  3.59035095e-14  3.58312951e-14 
-1.60000000e-01  4.06379331e-14  4.05294578e-14 
-1.50000000e-01  4.85230943e-14  4.83601885e-14 
-1.40000000e-01  6.09787727e-14  6.07341638e-14 
-1.30000000e-01  8.00915072e-14  7.97242652e-14 
-1.20000000e-01  1.08928491e-13  1.08377226e-13 
-1.10000000e-01  1.51999548e-13  1.51172207e-13 
-1.00000000e-01  2.15937756e-13  2.14696232e-13 
-9.00000000e-02  3.10501944e-13  3.08639088e-13 
-8.00000000e-02  4.50054212e-13  4.47259386e-13 
-7.00000000e-02  6.55738158e-13  6.51545475e-13 
-6.00000000e-02  9.58690871e-13  9.52401681e-13 
-5.00000000e-02  1.40478106e-12  1.39534764e-12 
-4.00000000e-02  2.06160062e-12  2.04745182e-12 
-3.00000000e-02  3.02878420e-12  3.00756385e-12 
-2.00000000e-02  4.45324565e-12  4.42142042e-12 
-1.00000000e-02  6.55168074e-12  6.50395198e-12 
 8.67361738e-17  9.64381079e-12  9.57223229e-12 
 1.00000000e-02  1.42015078e-11  1.40941627e-11 
 2.00000000e-02  2.09214080e-11  2.07604246e-11 
 3.00000000e-02  3.08322748e-11  3.05908491e-11 
 4.00000000e-02  4.54537776e-11  4.50917091e-11 
 5.00000000e-02  6.70313738e-11  6.64883676e-11 
 6.00000000e-02  9.88838475e-11  9.80694665e-11 
 7.00000000e-02  1.45917651e-10  1.44696245e-10 
 8.00000000e-02  2.15388255e-10  2.13556355e-10 
 9.00000000e-02  3.18027306e-10  3.15279715e-10 
 1.00000000e-01  4.69711532e-10  4.65590471e-10 
 1.10000000e-01  6.93933820e-10  6.87752690e-10 
 1.20000000e-01  1.02546187e-09  1.01619098e-09 
 1.30000000e-01  1.51575380e-09  1.50184921e-09 
 1.40000000e-01  2.24097064e-09  2.22011804e-09 
 1.50000000e-01  3.31382167e-09  3.28255365e-09 
 1.60000000e-01  4.90105286e-09  4.85417823e-09 
 1.70000000e-01  7.24921401e-09  7.17896946e-09 
 1.80000000e-01  1.07225033e-08  1.06172986e-08 
 1.90000000e-01  1.58580837e-08  1.57006585e-08 
