 v-sweep         id_std          id_elt         
-3.00000000e-01  9.78089392e-11  9.71765235e-11 
-2.90000000e-01  1.14606924e-10  1.13965610e-10 
-2.80000000e-01  1.35962842e-10  1.35309248e-10 
-2.70000000e-01  1.63052088e-10  1.62381682e-10 
-2.60000000e-01  1.97358633e-10  1.96665359e-10 
-2.50000000e-01  2.40756505e-10  2.40032296e-10 
-2.40000000e-01  2.95612935e-10  2.94847076e-10 
-2.30000000e-01  3.64918961e-10  3.64097251e-10 
-2.20000000e-01  4.52454829e-10  4.51558489e-10 
-2.10000000e-01  5.62999516e-10  5.62003760e-10 
-2.00000000e-01  7.02596176e-10  7.01468343e-10 
-1.90000000e-01  8.78888507e-10  8.77585635e-10 
-1.80000000e-01  1.10154705e-09  1.10001270e-09 
-1.70000000e-01  1.38280948e-09  1.38096962e-09 
-1.60000000e-01  1.73816551e-09  1.73592317e-09 
-1.50000000e-01  2.18722503e-09  2.18445333e-09 
-1.40000000e-01  2.75481852e-09  2.75135165e-09 
-1.30000000e-01  3.47239179e-09  3.46801334e-09 
-1.20000000e-01  4.37977323e-09  4.37420113e-09 
-1.10000000e-01  5.52741270e-09  5.52027971e-09 
-1.00000000e-01  6.97921630e-09  6.97004503e-09 
-9.00000000e-02  8.81613358e-09  8.80430435e-09 
-8.00000000e-02  1.11406930e-08  1.11254028e-08 
-7.00000000e-02  1.40827296e-08  1.40629400e-08 
-6.00000000e-02  1.78066076e-08  1.77809786e-08 
-5.00000000e-02  2.25203099e-08  2.24871172e-08 
-4.00000000e-02  2.84868478e-08  2.84438798e-08 
-3.00000000e-02  3.60385352e-08  3.59829669e-08 
-2.00000000e-02  4.55947707e-08  4.55230111e-08 
-1.00000000e-02  5.76840641e-08  5.75915777e-08 
 8.67361738e-17  7.29711261e-08  7.28522292e-08 
 1.00000000e-02  9.22898719e-08  9.21375141e-08 
 2.00000000e-02  1.16683137e-07  1.16488688e-07 
 3.00000000e-02  1.47449707e-07  1.47202786e-07 
 4.00000000e-02  1.86198806e-07  1.85887221e-07 
 5.00000000e-02  2.34911415e-07  2.34521310e-07 
 6.00000000e-02  2.96006465e-07  2.95522848e-07 
 7.00000000e-02  3.72408098e-07  3.71815964e-07 
 8.00000000e-02  4.67607654e-07  4.66894005e-07 
 9.00000000e-02  5.85711097e-07  5.84868226e-07 
 1.00000000e-01  7.31459775e-07  7.30490165e-07 
 1.10000000e-01  9.10210692e-07  9.09133825e-07 
 1.20000000e-01  1.12786356e-06  1.12672465e-06 
 1.30000000e-01  1.39072718e-06  1.38960740e-06 
 1.40000000e-01  1.70532825e-06  1.70435553e-06 
 1.50000000e-01  2.07818038e-06  2.07753915e-06 
 1.60000000e-01  2.51554582e-06  2.51548384e-06 
 1.70000000e-01  3.02323107e-06  3.02406183e-06 
 1.80000000e-01  3.60645512e-06  3.60855494e-06 
 1.90000000e-01  4.26981300e-06  4.27361332e-06 
 2.00000000e-01  5.01733344e-06  5.02331005e-06 
 2.10000000e-01  5.85260637e-06  5.86126794e-06 
 2.20000000e-01  6.77894272e-06  6.79082083e-06 
 2.30000000e-01  7.79952856e-06  7.81517086e-06 
 2.40000000e-01  8.91754608e-06  8.93751307e-06 
 2.50000000e-01  1.01362487e-05  1.01611137e-05 
 2.60000000e-01  1.14589904e-05  1.14893423e-05 
 2.70000000e-01  1.28892193e-05  1.29256659e-05 
 2.80000000e-01  1.44304460e-05  1.44736187e-05 
 2.90000000e-01  1.60862004e-05  1.61367576e-05 
 3.00000000e-01  1.78599847e-05  1.79186154e-05 
 3.10000000e-01  1.97552298e-05  1.98226557e-05 
 3.20000000e-01  2.17752581e-05  2.18522346e-05 
 3.30000000e-01  2.39232532e-05  2.40105704e-05 
 3.40000000e-01  2.62022387e-05  2.63007207e-05 
 3.50000000e-01  2.86150624e-05  2.87255667e-05 
 3.60000000e-01  3.11643877e-05  3.12878035e-05 
 3.70000000e-01  3.38526888e-05  3.39899358e-05 
 3.80000000e-01  3.66822497e-05  3.68342761e-05 
 3.90000000e-01  3.96551663e-05  3.98229468e-05 
 4.00000000e-01  4.27733502e-05  4.29578840e-05 
 4.10000000e-01  4.60385333e-05  4.62408420e-05 
 4.20000000e-01  4.94522746e-05  4.96734002e-05 
 4.30000000e-01  5.30159660e-05  5.32569688e-05 
 4.40000000e-01  5.67308394e-05  5.69927961e-05 
 4.50000000e-01  6.05979735e-05  6.08819752e-05 
 4.60000000e-01  6.46183006e-05  6.49254513e-05 
 4.70000000e-01  6.87926136e-05  6.91240279e-05 
 4.80000000e-01  7.31215720e-05  7.34783738e-05 
 4.90000000e-01  7.76057084e-05  7.79890293e-05 
 5.00000000e-01  8.22454346e-05  8.26564121e-05 
 5.10000000e-01  8.70410475e-05  8.74808235e-05 
 5.20000000e-01  9.19927340e-05  9.24624539e-05 
 5.30000000e-01  9.71005768e-05  9.76013877e-05 
 5.40000000e-01  1.02364559e-04  1.02897609e-04 
 5.50000000e-01  1.07784570e-04  1.08351005e-04 
 5.60000000e-01  1.13360407e-04  1.13961373e-04 
 5.70000000e-01  1.19091783e-04  1.19728422e-04 
 5.80000000e-01  1.24978329e-04  1.25651779e-04 
 5.90000000e-01  1.31019597e-04  1.31730992e-04 
 6.00000000e-01  1.37215065e-04  1.37965533e-04 
 6.10000000e-01  1.43564141e-04  1.44354802e-04 
 6.20000000e-01  1.50066165e-04  1.50898132e-04 
 6.30000000e-01  1.56720411e-04  1.57594790e-04 
 6.40000000e-01  1.63526093e-04  1.64443980e-04 
 6.50000000e-01  1.70482368e-04  1.71444848e-04 
 6.60000000e-01  1.77588334e-04  1.78596483e-04 
 6.70000000e-01  1.84843038e-04  1.85897919e-04 
 6.80000000e-01  1.92245476e-04  1.93348142e-04 
 6.90000000e-01  1.99794594e-04  2.00946085e-04 
 7.00000000e-01  2.07489293e-04  2.08690636e-04 
 7.10000000e-01  2.15328431e-04  2.16580640e-04 
 7.20000000e-01  2.23310822e-04  2.24614896e-04 
 7.30000000e-01  2.31435241e-04  2.32792166e-04 
 7.40000000e-01  2.39700425e-04  2.41111172e-04 
 7.50000000e-01  2.48105074e-04  2.49570599e-04 
 7.60000000e-01  2.56647855e-04  2.58169098e-04 
 7.70000000e-01  2.65327399e-04  2.66905284e-04 
 7.80000000e-01  2.74142309e-04  2.75777744e-04 
 7.90000000e-01  2.83091155e-04  2.84785033e-04 
 8.00000000e-01  2.92172480e-04  2.93925675e-04 
 8.10000000e-01  3.01384800e-04  3.03198170e-04 
 8.20000000e-01  3.10726603e-04  3.12600990e-04 
 8.30000000e-01  3.20196355e-04  3.22132582e-04 
 8.40000000e-01  3.29792497e-04  3.31791370e-04 
 8.50000000e-01  3.39513448e-04  3.41575756e-04 
 8.60000000e-01  3.49357604e-04  3.51484118e-04 
 8.70000000e-01  3.59323344e-04  3.61514815e-04 
 8.80000000e-01  3.69409024e-04  3.71666188e-04 
 8.90000000e-01  3.79612984e-04  3.81936558e-04 
 9.00000000e-01  3.89933546e-04  3.92324227e-04 
 9.10000000e-01  4.00369013e-04  4.02827482e-04 
 9.20000000e-01  4.10917676e-04  4.13444594e-04 
 9.30000000e-01  4.21577808e-04  4.24173819e-04 
 9.40000000e-01  4.32347668e-04  4.35013397e-04 
 9.50000000e-01  4.43225501e-04  4.45961555e-04 
 9.60000000e-01  4.54209540e-04  4.57016507e-04 
 9.70000000e-01  4.65298004e-04  4.68176455e-04 
 9.80000000e-01  4.76489102e-04  4.79439589e-04 
 9.90000000e-01  4.87781029e-04  4.90804085e-04 
 1.00000000e+00  4.99171971e-04  5.02268113e-04 
 1.01000000e+00  5.10660103e-04  5.13829828e-04 
 1.02000000e+00  5.22243591e-04  5.25487379e-04 
 1.03000000e+00  5.33920590e-04  5.37238903e-04 
 1.04000000e+00  5.45689248e-04  5.49082530e-04 
 1.05000000e+00  5.57547701e-04  5.61016380e-04 
 1.06000000e+00  5.69494081e-04  5.73038566e-04 
 1.07000000e+00  5.81526510e-04  5.85147193e-04 
 1.08000000e+00  5.93643102e-04  5.97340359e-04 
 1.09000000e+00  6.05841966e-04  6.09616154e-04 
 1.10000000e+00  6.18121202e-04  6.21972663e-04 
 1.11000000e+00  6.30478905e-04  6.34407964e-04 
 1.12000000e+00  6.42913164e-04  6.46920129e-04 
 1.13000000e+00  6.55422060e-04  6.59507225e-04 
 1.14000000e+00  6.68003672e-04  6.72167312e-04 
 1.15000000e+00  6.80656072e-04  6.84898448e-04 
 1.16000000e+00  6.93377325e-04  6.97698683e-04 
 1.17000000e+00  7.06165496e-04  7.10566066e-04 
 1.18000000e+00  7.19018642e-04  7.23498639e-04 
 1.19000000e+00  7.31934818e-04  7.36494442e-04 
 1.20000000e+00  7.44912074e-04  7.49551512e-04 
