 v-sweep         id_narrow       id_wide        
-3.00000000e-01  8.35932334e-14  1.00629637e-12 
-2.90000000e-01  8.94974324e-14  1.12887971e-12 
-2.80000000e-01  9.67255107e-14  1.28057151e-12 
-2.70000000e-01  1.05566149e-13  1.46817440e-12 
-2.60000000e-01  1.16374074e-13  1.70012747e-12 
-2.50000000e-01  1.29585501e-13  1.98690548e-12 
-2.40000000e-01  1.45737243e-13  2.34151711e-12 
-2.30000000e-01  1.65490396e-13  2.78012648e-12 
-2.20000000e-01  1.89659707e-13  3.32282922e-12 
-2.10000000e-01  2.19250005e-13  3.99462170e-12 
-2.00000000e-01  2.55501408e-13  4.82661195e-12 
-1.90000000e-01  2.99945478e-13  5.85753346e-12 
-1.80000000e-01  3.54474988e-13  7.13563787e-12 
-1.70000000e-01  4.21430647e-13  8.72106281e-12 
-1.60000000e-01  5.03708969e-13  1.06887950e-11 
-1.50000000e-01  6.04896503e-13  1.31323796e-11 
-1.40000000e-01  7.29436930e-13  1.61685649e-11 
-1.30000000e-01  8.82839181e-13  1.99431223e-11 
-1.20000000e-01  1.07193677e-12  2.46381379e-11 
-1.10000000e-01  1.30521107e-12  3.04811542e-11 
-1.00000000e-01  1.59319443e-12  3.77566333e-11 
-9.00000000e-02  1.94897323e-12  4.68203359e-11 
-8.00000000e-02  2.38881559e-12  5.81173635e-11 
-7.00000000e-02  2.93295528e-12  7.22048049e-11 
-6.00000000e-02  3.60657083e-12  8.97801675e-11 
-5.00000000e-02  4.44100901e-12  1.11717086e-10 
-4.00000000e-02  5.47531428e-12  1.39110178e-10 
-3.00000000e-02  6.75814124e-12  1.73331413e-10 
-2.00000000e-02  8.35014705e-12  2.16100959e-10 
-1.00000000e-02  1.03269851e-11  2.69576258e-10 
 8.67361738e-17  1.27830527e-11  3.36464043e-10 
 1.00000000e-02  1.58361832e-11  4.20161238e-10 
 2.00000000e-02  1.96335240e-11  5.24932244e-10 
 3.00000000e-02  2.43589006e-11  6.56132029e-10 
 4.00000000e-02  3.02420470e-11  8.20486948e-10 
 5.00000000e-02  3.75701767e-11  1.02644828e-09 
 6.00000000e-02  4.67024937e-11  1.28463739e-09 
 7.00000000e-02  5.80883931e-11  1.60840639e-09 
 8.00000000e-02  7.22902971e-11  2.01454431e-09 
 9.00000000e-02  9.00123109e-11  2.52416667e-09 
 1.00000000e-01  1.12136192e-10  3.16383621e-09 
 1.10000000e-01  1.39766499e-10  3.96697477e-09 
 1.20000000e-01  1.74287288e-10  4.97564219e-09 
 1.30000000e-01  2.17433296e-10  6.24277722e-09 
 1.40000000e-01  2.71379332e-10  7.83502000e-09 
 1.50000000e-01  3.38852519e-10  9.83626641e-09 
 1.60000000e-01  4.23273241e-10  1.23521422e-08 
 1.70000000e-01  5.28932081e-10  1.55156317e-08 
 1.80000000e-01  6.61211897e-10  1.94941552e-08 
 1.90000000e-01  8.26866430e-10  2.44984571e-08 
 2.00000000e-01  1.03436963e-09  3.07937568e-08 
 2.10000000e-01  1.29435330e-09  3.87137130e-08 
 2.20000000e-01  1.62015485e-09  4.86778756e-08 
 2.30000000e-01  2.02850180e-09  6.12134361e-08 
 2.40000000e-01  2.54036573e-09  7.69822397e-08 
 2.50000000e-01  3.18202510e-09  9.68141826e-08 
 2.60000000e-01  3.98638394e-09  1.21748265e-07 
 2.70000000e-01  4.99460182e-09  1.53082689e-07 
 2.80000000e-01  6.25809861e-09  1.92435418e-07 
 2.90000000e-01  7.84100474e-09  2.41816518e-07 
 3.00000000e-01  9.82313213e-09  3.03713237e-07 
 3.10000000e-01  1.23035399e-08  3.81188103e-07 
 3.20000000e-01  1.54047583e-08  4.77989139e-07 
 3.30000000e-01  1.92777113e-08  5.98669493e-07 
 3.40000000e-01  2.41073285e-08  7.48711369e-07 
 3.50000000e-01  3.01187716e-08  9.34646160e-07 
 3.60000000e-01  3.75840886e-08  1.16415947e-06 
 3.70000000e-01  4.68289785e-08  1.44616704e-06 
 3.80000000e-01  5.82391890e-08  1.79084624e-06 
