 v-sweep                v(g)                   v(dh)                  v(dl)                  i(vm_g)                i(vm_dh)               i(vm_dl)               i(vg)                  i(vdh)                 i(vdl)                 i(vdd)                 i(vdda)               
-3.000000000000000e-01 -2.999999981865774e-01  1.199999999984698e+00  1.199999993322082e+00 -6.690498068756545e-11  1.076228155047677e-13  7.978115185247516e-11  1.657118708059405e-06  3.282481968713356e-10  2.485746645089309e-10  0.000000000000000e+00 -7.451885274186960e-09 
-2.900000000000000e-01 -2.899999982364407e-01  1.199999999980822e+00  1.199999993263710e+00 -6.506530817601552e-11  1.348838145888285e-13  8.047852063349916e-11  1.209633996586076e-06  3.282209356922348e-10  2.478772969982951e-10  0.000000000000000e+00 -7.411481413374515e-09 
-2.800000000000000e-01 -2.799999982852093e-01  1.199999999976200e+00  1.199999993144141e+00 -6.326602696588024e-11  1.673934416085141e-13  8.190701722842964e-11  8.816160603337761e-07  3.281884252388304e-10  2.464487990526209e-10  0.000000000000000e+00 -7.371480410863801e-09 
-2.700000000000000e-01 -2.699999983328985e-01  1.199999999970712e+00  1.199999992949450e+00 -6.150656199632731e-11  2.059956872872291e-13  8.423299965570414e-11  6.419213653685172e-07  3.281498241724599e-10  2.441228158969560e-10  0.000000000000000e+00 -7.331880476421322e-09 
-2.600000000000000e-01 -2.599999983795239e-01  1.199999999964208e+00  1.199999992662101e+00 -5.978634948222705e-11  2.517359508645134e-13  8.766595525032913e-11  4.671814123722342e-07  3.281040847188930e-10  2.406898605883673e-10  0.000000000000000e+00 -7.292679070411273e-09 
-2.500000000000000e-01 -2.499999984251008e-01  1.199999999956507e+00  1.199999992260026e+00 -5.810481869955586e-11  3.059010611296379e-13  9.246955073100226e-11  3.400197765878234e-07  3.280499179776145e-10  2.358862655658744e-10  0.000000000000000e+00 -7.253873181353204e-09 
-2.400000000000000e-01 -2.399999984696448e-01  1.199999999947384e+00  1.199999991715454e+00 -5.646140065901362e-11  3.700673770777460e-13  9.897555383862547e-11  2.476038644453660e-07  3.279857522913785e-10  2.293802614974732e-10  0.000000000000000e+00 -7.215460894113530e-09 
-2.300000000000000e-01 -2.299999985131714e-01  1.199999999936565e+00  1.199999990993448e+00 -5.485551943240630e-11  4.461597543914866e-13  1.076013747204965e-10  1.805052663621741e-07  3.279096603811525e-10  2.207544426885705e-10  0.000000000000000e+00 -7.177439960489989e-09 
-2.200000000000000e-01 -2.199999985556959e-01  1.199999999923717e+00  1.199999990050048e+00 -5.328660603043378e-11  5.365243458801594e-13  1.188721755118127e-10  1.318231402387987e-07  3.278192968998243e-10  2.094836406877997e-10  0.000000000000000e+00 -7.139806980424074e-09 
-2.100000000000000e-01 -2.099999985972338e-01  1.199999999908433e+00  1.199999988829946e+00 -5.175408886171073e-11  6.440186758866410e-13  1.334487463790621e-10  9.652091817215812e-08  3.277118012906053e-10  1.949070698350857e-10  0.000000000000000e+00 -7.102560427360256e-09 
-2.000000000000000e-01 -1.999999986378012e-01  1.199999999890219e+00  1.199999987263537e+00 -5.025738332442575e-11  7.721230833727665e-13  1.521626575184806e-10  7.093037090809933e-08  3.275836971663991e-10  1.761931592059457e-10  0.000000000000000e+00 -7.065697581251490e-09 
-1.899999999999999e-01 -1.899999986774134e-01  1.199999999868472e+00  1.199999985263208e+00 -4.879591912823611e-11  9.250785418205411e-13  1.760606037840869e-10  5.238399833917740e-08  3.274307413926106e-10  1.522952113484721e-10  0.000000000000000e+00 -7.029215749806444e-09 
-1.799999999999999e-01 -1.799999987160862e-01  1.199999999842456e+00  1.199999982718659e+00 -4.736911383973474e-11  1.108057040136169e-12  2.064603539150707e-10  3.894424985904904e-08  3.272477627607815e-10  1.218954643930442e-10  0.000000000000000e+00 -6.993112518291173e-09 
