 time                   v(vdd)                 v(vdda)                i(vcored)              i(vcorea)              i(vpadd)               i(vpada)              
 0.000000000000000e+00  1.079999996069148e+00  2.999999994705255e+00  2.908593724811753e-09  1.088318393127284e-09  4.953110895825757e-09  9.501171780501917e-09 
 1.000000000000000e-11  1.079999996069148e+00  2.999999994705253e+00  2.908593760048324e-09  1.088320157165970e-09  4.953106863786298e-09  9.501381402927120e-09 
 2.000000000000000e-11  1.079999996069148e+00  2.999999994705250e+00  2.908593799404863e-09  1.088320600279398e-09  4.953106824429759e-09  9.501437803232553e-09 
 4.000000000000000e-11  1.079999996069147e+00  2.999999994705253e+00  2.908593698899321e-09  1.088320997463311e-09  4.953135346644731e-09  9.501067923826045e-09 
 8.000000000000001e-11  1.079999996069148e+00  2.999999994705254e+00  2.908594018305281e-09  1.088321641093154e-09  4.953103052815662e-09  9.501138334469777e-09 
 1.600000000000000e-10  1.079999996069148e+00  2.999999994705253e+00  2.908594278513803e-09  1.088322203665333e-09  4.953104568963980e-09  9.501194615316459e-09 
 3.200000000000000e-10  1.079999996069148e+00  2.999999994705259e+00  2.908594551407490e-09  1.088322690497519e-09  4.953107848783972e-09  9.501119521497018e-09 
 6.400000000000001e-10  1.079999996069148e+00  2.999999994705255e+00  2.908594516170919e-09  1.088323242810435e-09  4.953110548555802e-09  9.501175812602963e-09 
 1.280000000000000e-09  1.079999996069147e+00  2.999999994705255e+00  2.908594168033601e-09  1.088323173834001e-09  4.953111340782329e-09  9.501168776152040e-09 
 2.280000000000000e-09  1.079999996069148e+00  2.999999994705252e+00  2.908594596727140e-09  1.088322973880862e-09  4.953110023910370e-09  9.501177857889376e-09 
 3.280000000000000e-09  1.079999996069148e+00  2.999999994705251e+00  2.908595286713403e-09  1.088323011324377e-09  4.953109778013318e-09  9.501176044089021e-09 
 4.280000000000000e-09  1.079999996069148e+00  2.999999994705251e+00  2.908594717182002e-09  1.088322950265584e-09  4.953109903455509e-09  9.501176105147815e-09 
 5.280000000000000e-09  1.079999996069148e+00  2.999999994705251e+00  2.908594664923457e-09  1.088322960676466e-09  4.953109955714054e-09  9.501176094736933e-09 
 6.280000000000000e-09  1.079999996069148e+00  2.999999994705251e+00  2.908594703412634e-09  1.088322975925176e-09  4.953109917224877e-09  9.501176079488222e-09 
