 time                   v(gfet,source)         v(dfet,source)         i(vfet)                i(Lload)               i(vdrive)             
 0.000000000000000e+00  6.192246926084322e-06  4.999999258282843e+00  5.790583026410445e-07  5.771600979365132e-07  9.029077085990370e-08 
 1.000000000000000e-13  6.192246955015120e-06  4.999999258283113e+00  5.790517292325603e-07  5.771600979361770e-07  9.029102227578424e-08 
 2.000000000000000e-13  6.192246983945918e-06  4.999999258282793e+00  5.790596731003461e-07  5.771600979362396e-07  9.029071888389689e-08 
 4.000000000000000e-13  6.192247041807513e-06  4.999999258282759e+00  5.790603978539366e-07  5.771600979364150e-07  9.029069096766961e-08 
 8.000000000000000e-13  6.192247157530706e-06  4.999999258282849e+00  5.790580672737633e-07  5.771600979365353e-07  9.029077993822146e-08 
 1.600000000000000e-12  6.192247388977088e-06  4.999999258282803e+00  5.790590478227386e-07  5.771600979368588e-07  9.029074200114719e-08 
 3.200000000000000e-12  6.192247851869854e-06  4.999999258282907e+00  5.790567740859842e-07  5.771600979363574e-07  9.029082854587799e-08 
 6.400000000000000e-12  6.192248777655387e-06  4.999999258282965e+00  5.790566319774371e-07  5.771600979333148e-07  9.029082997699775e-08 
 9.999999999999999e-12  6.192249819164111e-06  4.999999258283051e+00  5.790563974983343e-07  5.771600979267961e-07  9.029083322337011e-08 
 1.064000000000000e-11  6.192249724807947e-06  4.999999258283033e+00  5.790570867247880e-07  5.771600979255018e-07  9.029080524211781e-08 
 1.192000000000000e-11  6.192249536095619e-06  4.999999258282847e+00  5.790612220835101e-07  5.771600979246683e-07  9.029064463163348e-08 
 1.448000000000000e-11  6.192249158670962e-06  4.999999258282813e+00  5.790605399624837e-07  5.771600979248310e-07  9.029066636416787e-08 
 1.724000000000000e-11  6.192248751760004e-06  4.999999258282868e+00  5.790585078102595e-07  5.771600979244921e-07  9.029073957586824e-08 
 2.000000000000000e-11  6.192248344849046e-06  4.999999258282775e+00  5.790597441546197e-07  5.771600979259016e-07  9.029068940072642e-08 
 2.055200000000000e-11  6.192248313618825e-06  4.999999258283004e+00  5.790546140360675e-07  5.771600979248106e-07  9.029088478317362e-08 
 2.165600000000000e-11  6.192248251158383e-06  4.999999258282768e+00  5.790605825950479e-07  5.771600979245870e-07  9.029065602112309e-08 
 2.386400000000000e-11  6.192248126237499e-06  4.999999258282763e+00  5.790600141608593e-07  5.771600979257119e-07  9.029067454889139e-08 
 2.828000000000000e-11  6.192247876395731e-06  4.999999258282579e+00  5.790614707734676e-07  5.771600979344804e-07  9.029061519321346e-08 
 3.414000000000000e-11  6.192247544857515e-06  4.999999258282775e+00  5.790568025076936e-07  5.771600979407416e-07  9.029078978497270e-08 
 4.000000000000000e-11  6.192247213319300e-06  4.999999258282277e+00  5.790632613411617e-07  5.771600979669522e-07  9.029053970796824e-08 
 4.117200000000000e-11  6.192247048452334e-06  4.999999258282581e+00  5.790563761820522e-07  5.771600979698186e-07  9.029080185222419e-08 
 4.351599999999999e-11  6.192246718718404e-06  4.999999258282516e+00  5.790584793885500e-07  5.771600979767642e-07  9.029072082559456e-08 
 4.820399999999999e-11  6.192246059250544e-06  4.999999258282382e+00  5.790604049593640e-07  5.771600979959275e-07  9.029064915744571e-08 
 5.757999999999999e-11  6.192244740314823e-06  4.999999258282239e+00  5.790599360011583e-07  5.771600980463429e-07  9.029067432866282e-08 
 6.879000000000002e-11  6.192243163387622e-06  4.999999258282200e+00  5.790585788645330e-07  5.771600981147019e-07  9.029074745969855e-08 
 8.000000000000003e-11  6.192241586460421e-06  4.999999258281788e+00  5.790612220835101e-07  5.771600982187853e-07  9.029067884685853e-08 
 8.224200000000004e-11  6.192241834670229e-06  4.999999258281866e+00  5.790588986087641e-07  5.771600982409030e-07  9.029077489459427e-08 
 8.672600000000004e-11  6.192242331089844e-06  4.999999258282122e+00  5.790549906237175e-07  5.771600982772238e-07  9.029093767229032e-08 
 9.569400000000005e-11  6.192243323929073e-06  4.999999258282072e+00  5.790582733311567e-07  5.771600983479680e-07  9.029083563574705e-08 
 1.136300000000001e-10  6.192245309607533e-06  4.999999258282140e+00  5.790583017528661e-07  5.771600984808911e-07  9.029086081490593e-08 
 1.368150000000001e-10  6.192247876398072e-06  4.999999258282923e+00  5.790549835182901e-07  5.771600985268613e-07  9.029098979750527e-08 
