 time                   v(d)                   v(g)                  
 0.000000000000000e+00  2.735341629408099e+00  1.702860648551368e+00 
 1.000000000000000e-11  2.735341629431524e+00  1.702860648574813e+00 
 2.000000000000000e-11  2.735341629402096e+00  1.702860648545387e+00 
 4.000000000000000e-11  2.735341629410656e+00  1.702860648553921e+00 
 8.000000000000001e-11  2.735341629391136e+00  1.702860648534401e+00 
 1.600000000000000e-10  2.735341629412802e+00  1.702860648556083e+00 
 3.200000000000000e-10  2.735341629408308e+00  1.702860648551663e+00 
 6.400000000000001e-10  2.735341629409332e+00  1.702860648552715e+00 
 1.280000000000000e-09  2.735341629408525e+00  1.702860648551785e+00 
 2.280000000000000e-09  2.735341629407185e+00  1.702860648550480e+00 
 3.280000000000000e-09  2.735341629408494e+00  1.702860648551780e+00 
 4.280000000000000e-09  2.735341629407959e+00  1.702860648551243e+00 
 5.280000000000000e-09  2.735341629408111e+00  1.702860648551402e+00 
 6.280000000000000e-09  2.735341629408089e+00  1.702860648551381e+00 
 7.280000000000000e-09  2.735341629408055e+00  1.702860648551354e+00 
 8.280000000000000e-09  2.735341629408072e+00  1.702860648551377e+00 
 9.280000000000001e-09  2.735341629408074e+00  1.702860648551381e+00 
 1.028000000000000e-08  2.735341629408040e+00  1.702860648551348e+00 
 1.128000000000000e-08  2.735341629408061e+00  1.702860648551371e+00 
 1.228000000000000e-08  2.735341629408069e+00  1.702860648551373e+00 
 1.328000000000000e-08  2.735341629408055e+00  1.702860648551364e+00 
 1.428000000000000e-08  2.735341629408062e+00  1.702860648551369e+00 
 1.528000000000001e-08  2.735341629408039e+00  1.702860648551346e+00 
 1.628000000000000e-08  2.735341629408069e+00  1.702860648551383e+00 
 1.728000000000000e-08  2.735341629408054e+00  1.702860648551367e+00 
 1.828000000000000e-08  2.735341629408043e+00  1.702860648551364e+00 
 1.928000000000000e-08  2.735341629408043e+00  1.702860648551358e+00 
 2.028000000000000e-08  2.735341629408065e+00  1.702860648551374e+00 
 2.128000000000000e-08  2.735341629408056e+00  1.702860648551363e+00 
 2.228000000000000e-08  2.735341629408054e+00  1.702860648551363e+00 
 2.328000000000000e-08  2.735341629408055e+00  1.702860648551369e+00 
 2.428000000000000e-08  2.735341629408063e+00  1.702860648551375e+00 
 2.528000000000000e-08  2.735341629408051e+00  1.702860648551368e+00 
 2.627999999999999e-08  2.735341629407948e+00  1.702860648551285e+00 
 2.727999999999999e-08  2.735341629408028e+00  1.702860648551376e+00 
 2.827999999999999e-08  2.735341629408016e+00  1.702860648551367e+00 
 2.927999999999999e-08  2.735341629408042e+00  1.702860648551387e+00 
 3.027999999999999e-08  2.735341629408086e+00  1.702860648551417e+00 
 3.127999999999999e-08  2.735341629407934e+00  1.702860648551282e+00 
 3.228000000000000e-08  2.735341629408012e+00  1.702860648551368e+00 
 3.328000000000000e-08  2.735341629408044e+00  1.702860648551399e+00 
 3.428000000000000e-08  2.735341629408004e+00  1.702860648551356e+00 
 3.528000000000000e-08  2.735341629407982e+00  1.702860648551333e+00 
 3.628000000000000e-08  2.735341629408031e+00  1.702860648551379e+00 
 3.728000000000001e-08  2.735341629408120e+00  1.702860648551456e+00 
 3.828000000000001e-08  2.735341629407919e+00  1.702860648551268e+00 
 3.928000000000001e-08  2.735341629408035e+00  1.702860648551391e+00 
 4.028000000000001e-08  2.735341629407984e+00  1.702860648551349e+00 
 4.128000000000002e-08  2.735341629408023e+00  1.702860648551390e+00 
