# Logfile created on 2026-09-19 14:25:26 +0200 by logger.rb/v1.5.3
2026-09-19 14:25:26 +0200: Memory Usage (803320K) : Starting running IHP-SG13G2 KLayout DRC runset on /work/designs/g1-guardian/blocks/g1_osc/layout/g1_osc.gds
2026-09-19 14:25:26 +0200: Memory Usage (803320K) : Ruby Version for klayout: 3.2.3
2026-09-19 14:25:26 +0200: Memory Usage (805368K) : Loading database to memory is complete.
2026-09-19 14:25:26 +0200: Memory Usage (805368K) : IHP-SG13G2 KLayout DRC runset output at: /work/designs/g1-guardian/blocks/g1_osc/reports/drc/g1_osc_g1_osc_main.lyrdb
2026-09-19 14:25:26 +0200: Memory Usage (805624K) : Evaluate switches.
2026-09-19 14:25:26 +0200: Memory Usage (805624K) : tables selected: main
2026-09-19 14:25:26 +0200: Memory Usage (805624K) : KLayout will use 16 thread(s) in tiling mode.
2026-09-19 14:25:26 +0200: Memory Usage (805624K) : deep mode is enabled.
2026-09-19 14:25:26 +0200: Memory Usage (805624K) : FEOL enabled: true
2026-09-19 14:25:26 +0200: Memory Usage (805624K) : BEOL enabled: true
2026-09-19 14:25:26 +0200: Memory Usage (805624K) : OFFGRID enabled: true
2026-09-19 14:25:26 +0200: Memory Usage (805624K) : ANGLE enabled: true
2026-09-19 14:25:26 +0200: Memory Usage (805624K) : PIN enabled: true
2026-09-19 14:25:26 +0200: Memory Usage (805624K) : FORBIDDEN enabled: true
2026-09-19 14:25:26 +0200: Memory Usage (805624K) : RECOMMENDED enabled: true
2026-09-19 14:25:26 +0200: Memory Usage (805624K) : PreCheck DRC enabled: false
2026-09-19 14:25:26 +0200: Memory Usage (805624K) : CONNECTIVITY_RULES enabled: true.
2026-09-19 14:25:26 +0200: Memory Usage (805624K) : Read in polygons from layers.
2026-09-19 14:25:26 +0200: Memory Usage (808440K) : activ_drw has 159 polygons
2026-09-19 14:25:26 +0200: Memory Usage (808440K) : activ_pin has 0 polygons
2026-09-19 14:25:26 +0200: Memory Usage (808440K) : activ_mask has 0 polygons
2026-09-19 14:25:26 +0200: Memory Usage (808568K) : activ_filler has 557 polygons
2026-09-19 14:25:26 +0200: Memory Usage (808568K) : activ_nofill has 3 polygons
2026-09-19 14:25:26 +0200: Memory Usage (808568K) : activ_opc has 0 polygons
2026-09-19 14:25:26 +0200: Memory Usage (808568K) : activ_iopc has 0 polygons
2026-09-19 14:25:26 +0200: Memory Usage (808568K) : activ_noqrc has 0 polygons
2026-09-19 14:25:26 +0200: Memory Usage (808568K) : biwind_drw has 0 polygons
2026-09-19 14:25:26 +0200: Memory Usage (808568K) : biwind_opc has 0 polygons
2026-09-19 14:25:26 +0200: Memory Usage (808568K) : pemwind_drw has 0 polygons
2026-09-19 14:25:26 +0200: Memory Usage (808568K) : gatpoly_drw has 195 polygons
2026-09-19 14:25:26 +0200: Memory Usage (808568K) : gatpoly_pin has 32 polygons
2026-09-19 14:25:26 +0200: Memory Usage (808568K) : gatpoly_filler has 557 polygons
2026-09-19 14:25:26 +0200: Memory Usage (808568K) : gatpoly_nofill has 3 polygons
2026-09-19 14:25:26 +0200: Memory Usage (808568K) : gatpoly_opc has 0 polygons
2026-09-19 14:25:26 +0200: Memory Usage (808568K) : gatpoly_iopc has 0 polygons
2026-09-19 14:25:26 +0200: Memory Usage (808568K) : gatpoly_noqrc has 0 polygons
2026-09-19 14:25:26 +0200: Memory Usage (808568K) : cont_drw has 2659 polygons
2026-09-19 14:25:26 +0200: Memory Usage (808568K) : cont_opc has 0 polygons
2026-09-19 14:25:26 +0200: Memory Usage (808568K) : nsd_drw has 0 polygons
2026-09-19 14:25:26 +0200: Memory Usage (808568K) : nsd_block has 0 polygons
2026-09-19 14:25:26 +0200: Memory Usage (808568K) : metal1_drw has 540 polygons
2026-09-19 14:25:26 +0200: Memory Usage (808824K) : metal1_pin has 100 polygons
2026-09-19 14:25:26 +0200: Memory Usage (808824K) : metal1_mask has 0 polygons
2026-09-19 14:25:27 +0200: Memory Usage (808824K) : metal1_filler has 725 polygons
2026-09-19 14:25:27 +0200: Memory Usage (808824K) : metal1_nofill has 3 polygons
2026-09-19 14:25:27 +0200: Memory Usage (808824K) : metal1_slit has 0 polygons
2026-09-19 14:25:27 +0200: Memory Usage (809080K) : metal1_text has 0 polygons
2026-09-19 14:25:27 +0200: Memory Usage (809080K) : metal1_opc has 0 polygons
2026-09-19 14:25:27 +0200: Memory Usage (809208K) : metal1_noqrc has 0 polygons
2026-09-19 14:25:27 +0200: Memory Usage (809208K) : metal1_res has 0 polygons
2026-09-19 14:25:27 +0200: Memory Usage (809208K) : metal1_iprobe has 0 polygons
2026-09-19 14:25:27 +0200: Memory Usage (809336K) : metal1_diffprb has 0 polygons
2026-09-19 14:25:27 +0200: Memory Usage (809336K) : passiv_drw has 0 polygons
2026-09-19 14:25:27 +0200: Memory Usage (809464K) : passiv_pin has 0 polygons
2026-09-19 14:25:27 +0200: Memory Usage (809464K) : passiv_sbump has 0 polygons
2026-09-19 14:25:27 +0200: Memory Usage (809592K) : passiv_pillar has 0 polygons
2026-09-19 14:25:27 +0200: Memory Usage (809592K) : passiv_pdl has 0 polygons
