22-Sep-2026 23:41:34 | INFO    | KLayout version detected: 0.30.9 (required >= 0.30.5)
22-Sep-2026 23:41:34 | INFO    | Using DRC JSON file: /foss/pdks/ihp-sg13g2/libs.tech/klayout/python/sg13g2_pycell_lib/sg13g2_tech_mod.json
22-Sep-2026 23:41:34 | INFO    | Running IHP-SG13G2 main checks on design ${RESULTS_ROOT}/sense-ring-routing-20260922-r8a/g1_sense_physical.gds, topcell: g1_sense_physical
2026-09-22 23:41:37 +0200: Memory Usage (408292K) : Starting running IHP-SG13G2 KLayout DRC runset on ${RESULTS_ROOT}/sense-ring-routing-20260922-r8a/g1_sense_physical.gds
2026-09-22 23:41:37 +0200: Memory Usage (408292K) : Ruby Version for klayout: 3.2.3
2026-09-22 23:41:37 +0200: Memory Usage (409620K) : Loading database to memory is complete.
2026-09-22 23:41:37 +0200: Memory Usage (409620K) : IHP-SG13G2 KLayout DRC runset output at: ${RESULTS_ROOT}/sense-ring-stock-20260922-r8a/drc/g1_sense_physical_g1_sense_physical_main.lyrdb
2026-09-22 23:41:37 +0200: Memory Usage (409924K) : Evaluate switches.
2026-09-22 23:41:37 +0200: Memory Usage (409924K) : tables selected: main
2026-09-22 23:41:37 +0200: Memory Usage (409924K) : KLayout will use 128 thread(s) in tiling mode.
2026-09-22 23:41:37 +0200: Memory Usage (409924K) : deep mode is enabled.
2026-09-22 23:41:37 +0200: Memory Usage (409924K) : FEOL enabled: true
2026-09-22 23:41:37 +0200: Memory Usage (409924K) : BEOL enabled: true
2026-09-22 23:41:37 +0200: Memory Usage (409924K) : OFFGRID enabled: true
2026-09-22 23:41:37 +0200: Memory Usage (409924K) : ANGLE enabled: true
2026-09-22 23:41:37 +0200: Memory Usage (409924K) : PIN enabled: true
2026-09-22 23:41:37 +0200: Memory Usage (409924K) : FORBIDDEN enabled: true
2026-09-22 23:41:37 +0200: Memory Usage (409924K) : RECOMMENDED enabled: true
2026-09-22 23:41:37 +0200: Memory Usage (409924K) : PreCheck DRC enabled: false
2026-09-22 23:41:37 +0200: Memory Usage (409924K) : CONNECTIVITY_RULES enabled: true.
2026-09-22 23:41:37 +0200: Memory Usage (409924K) : Read in polygons from layers.
2026-09-22 23:41:37 +0200: Memory Usage (410776K) : activ_drw has 1011 polygons
2026-09-22 23:41:37 +0200: Memory Usage (410776K) : activ_pin has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (410776K) : activ_mask has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (411684K) : activ_filler has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (411684K) : activ_nofill has 4 polygons
2026-09-22 23:41:37 +0200: Memory Usage (411684K) : activ_opc has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (411684K) : activ_iopc has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (411948K) : activ_noqrc has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (411948K) : biwind_drw has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (411948K) : biwind_opc has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (411948K) : pemwind_drw has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (411948K) : gatpoly_drw has 1566 polygons
2026-09-22 23:41:37 +0200: Memory Usage (411948K) : gatpoly_pin has 50 polygons
2026-09-22 23:41:37 +0200: Memory Usage (411948K) : gatpoly_filler has 0 polygons
2026-09-22 23:41:37 +0200: Memory Usage (411948K) : gatpoly_nofill has 4 polygons
