 frequency                ir                       ii                       vr                       vi                      
 1.00000000000000000e+00  1.81221682625520852e-15  8.93912563423029398e-15  9.02386960515033643e-04  4.84493835964071468e-07 
 1.02329299228075410e+00  1.81319938447402351e-15  9.14734461666566088e-15  9.02386960523027248e-04  4.95779147145253378e-07 
 1.04712854805089939e+00  1.79785114746977559e-15  9.36041365020000179e-15  9.02386960532242099e-04  5.07327326992662387e-07 
 1.07151930523760619e+00  1.79782404241546345e-15  9.57844568800032207e-15  9.02386960541678995e-04  5.19144498504115563e-07 
 1.09647819614318465e+00  1.80361774777468287e-15  9.80155635006392192e-15  9.02386960552226114e-04  5.31236927300364667e-07 
 1.12201845430196312e+00  1.79945034567419171e-15  1.00298639364532862e-14  9.02386960562107099e-04  5.43611024947220472e-07 
 1.14815362149688238e+00  1.80207953594246906e-15  1.02634894802356437e-14  9.02386960572765240e-04  5.56273352355045375e-07 
 1.17489755493952908e+00  1.79776305604326114e-15  1.05025568599795304e-14  9.02386960584200537e-04  5.69230623257436612e-07 
 1.20226443461741250e+00  1.80200499704311068e-15  1.07471928394594588e-14  9.02386960595968901e-04  5.82489707770936850e-07 
 1.23026877081238117e+00  1.81418194269283850e-15  1.09975271139780323e-14  9.02386960608292377e-04  5.96057636037658826e-07 
 1.25892541179416684e+00  1.79859653646335937e-15  1.12536924360973982e-14  9.02386960621281986e-04  6.09941601952764475e-07 
 1.28824955169313360e+00  1.80510174949827240e-15  1.15158245957869134e-14  9.02386960634826707e-04  6.24148966978755936e-07 
 1.31825673855640679e+00  1.79726161253848660e-15  1.17840626189464908e-14  9.02386960649481651e-04  6.38687264048626876e-07 
 1.34896288259165331e+00  1.79869140415345186e-15  1.20585486879972610e-14  9.02386960664358639e-04  6.53564201559919618e-07 
 1.38038426460288455e+00  1.80149000101118006e-15  1.23394283801095883e-14  9.02386960680012784e-04  6.68787667461825871e-07 
 1.41253754462275394e+00  1.79043113885182792e-15  1.26268505877937323e-14  9.02386960696444085e-04  6.84365733437470560e-07 
 1.44543977074592700e+00  1.79647556596343461e-15  1.29209677240406396e-14  9.02386960713319475e-04  7.00306659183636008e-07 
 1.47910838816820678e+00  1.79408354492038846e-15  1.32219357157044990e-14  9.02386960731527132e-04  7.16618896790152342e-07 
 1.51356124843620754e+00  1.79530327236443465e-15  1.35299141689388636e-14  9.02386960750067857e-04  7.33311095221318746e-07 
 1.54881661891248057e+00  1.79655688112637102e-15  1.38450663559617617e-14  9.02386960769829827e-04  7.50392104901690918e-07 
 1.58489319246111271e+00  1.78493558909004202e-15  1.41675593804918188e-14  9.02386960790590997e-04  7.67870982408695271e-07 
 1.62181009735892911e+00  1.79070218939494930e-15  1.44975642240703721e-14  9.02386960811796257e-04  7.85756995274544999e-07 
 1.65958690743755977e+00  1.80221506121402975e-15  1.48352558916452581e-14  9.02386960834888896e-04  8.04059626900012669e-07 
 1.69824365246174347e+00  1.79652977607205888e-15  1.51808133784835885e-14  9.02386960858314602e-04  8.22788581582647348e-07 
 1.73780082874937447e+00  1.79131205311697239e-15  1.55344199613393254e-14  9.02386960883183598e-04  8.41953789662131503e-07 
 1.77827941003892165e+00  1.79489669654975259e-15  1.58962630793392733e-14  9.02386960909273839e-04  8.61565412785476772e-07 
 1.81970085860998210e+00  1.79293835637570065e-15  1.62665346119157649e-14  9.02386960936696347e-04  8.81633849294837161e-07 
 1.86208713666286596e+00  1.79381249437726709e-15  1.66454308788066611e-14  9.02386960965007034e-04  9.02169739740897963e-07 
 1.90546071796324568e+00  1.79631293563756178e-15  1.70331527856391388e-14  9.02386960994983056e-04  9.23183972524591321e-07 
 1.94984459975804381e+00  1.79420551766479308e-15  1.74299058768692501e-14  9.02386961026180323e-04  9.44687689670305722e-07 
 1.99526231496887796e+00  1.78708366464427892e-15  1.78359005343052692e-14  9.02386961058709858e-04  9.66692292733497907e-07 
 2.04173794466952740e+00  1.78336349593993804e-15  1.82513520234298070e-14  9.02386961092682682e-04  9.89209448845984067e-07 
 2.08929613085403743e+00  1.78847957494135401e-15  1.86764806257487087e-14  9.02386961128431864e-04  1.01225109690197900e-06 
 2.13796208950222999e+00  1.78011088942248152e-15  1.91115117579050624e-14  9.02386961166401491e-04  1.03582945388827975e-06 
 2.18776162394955032e+00  1.77632295808236029e-15  1.95566760643234275e-14  9.02386961205592364e-04  1.05995702136185000e-06 
 2.23872113856833721e+00  1.78765964704841185e-15  2.00122095627936226e-14  9.02386961247114705e-04  1.08464659207833275e-06 
 2.29086765276777049e+00  1.78402756977058541e-15  2.04783538032894029e-14  9.02386961289636247e-04  1.10991125677492685e-06 
 2.34422881531991933e+00  1.77447303812555690e-15  2.09553559473777993e-14  9.02386961334822324e-04  1.13576441111127447e-06 
 2.39883291901948770e+00  1.78951634326879327e-15  2.14434688740982365e-14  9.02386961382117825e-04  1.16221976277201079e-06 
 2.45470891568502747e+00  1.77266377575022172e-15  2.19429514446603294e-14  9.02386961431522749e-04  1.18929133873476308e-06 
 2.51188643150957702e+00  1.77919609383944688e-15  2.24540684495043235e-14  9.02386961483592209e-04  1.21699349270744029e-06 
 2.57039578276886038e+00  1.78421052888719234e-15  2.29770908729988913e-14  9.02386961537660071e-04  1.24534091273875877e-06 
 2.63026799189537819e+00  1.77794248507751051e-15  2.35122960919644788e-14  9.02386961594614512e-04  1.27434862900604202e-06 
 2.69153480392691202e+00  1.77565210798813489e-15  2.40599678227337469e-14  9.02386961654122466e-04  1.30403202178442338e-06 
