 frequency              onoise_spectrum        inoise_spectrum       
 1.000000000000000e+00  2.417482373114828e-04  1.209534920724691e-05 
 1.011579454259899e+00  2.402935510923141e-04  1.202256713444469e-05 
 1.023292992280754e+00  2.388476977799472e-04  1.195022699699417e-05 
 1.035142166679344e+00  2.374106232177339e-04  1.187832608528485e-05 
 1.047128548050900e+00  2.359822735844468e-04  1.180686170648821e-05 
 1.059253725177289e+00  2.345625953921801e-04  1.173583118445277e-05 
 1.071519305237607e+00  2.331515354842636e-04  1.166523185959977e-05 
 1.083926914021204e+00  2.317490410331924e-04  1.159506108881946e-05 
 1.096478196143186e+00  2.303550595385669e-04  1.152531624536808e-05 
 1.109174815262402e+00  2.289695388250467e-04  1.145599471876558e-05 
 1.122018454301964e+00  2.275924270403180e-04  1.138709391469374e-05 
 1.135010815672316e+00  2.262236726530731e-04  1.131861125489529e-05 
 1.148153621496884e+00  2.248632244510033e-04  1.125054417707332e-05 
 1.161448613840344e+00  2.235110315388035e-04  1.118289013479154e-05 
 1.174897554939531e+00  2.221670433361912e-04  1.111564659737509e-05 
 1.188502227437020e+00  2.208312095759351e-04  1.104881104981199e-05 
 1.202264434617414e+00  2.195034803018996e-04  1.098238099265525e-05 
 1.216186000646369e+00  2.181838058670987e-04  1.091635394192552e-05 
 1.230268770812383e+00  2.168721369317646e-04  1.085072742901440e-05 
 1.244514611771387e+00  2.155684244614259e-04  1.078549900058839e-05 
 1.258925411794169e+00  2.142726197250001e-04  1.072066621849336e-05 
 1.273503081016663e+00  2.129846742928980e-04  1.065622665965976e-05 
 1.288249551693136e+00  2.117045400351382e-04  1.059217791600827e-05 
 1.303166778452301e+00  2.104321691194754e-04  1.052851759435614e-05 
 1.318256738556409e+00  2.091675140095398e-04  1.046524331632412e-05 
 1.333521432163326e+00  2.079105274629885e-04  1.040235271824395e-05 
 1.348962882591656e+00  2.066611625296677e-04  1.033984345106641e-05 
 1.364583136588927e+00  2.054193725497883e-04  1.027771318027006e-05 
 1.380384264602887e+00  2.041851111521100e-04  1.021595958577041e-05 
 1.396368361055940e+00  2.029583322521412e-04  1.015458036182974e-05 
 1.412537544622757e+00  2.017389900503457e-04  1.009357321696752e-05 
 1.428893958511106e+00  2.005270390303633e-04  1.003293587387130e-05 
 1.445439770745931e+00  1.993224339572423e-04  9.972666069308280e-06 
 1.462177174456721e+00  1.981251298756803e-04  9.912761554037321e-06 
 1.479108388168211e+00  1.969350821082787e-04  9.853220092721599e-06 
 1.496235656094437e+00  1.957522462538071e-04  9.794039463841767e-06 
 1.513561248436212e+00  1.945765781854787e-04  9.735217459609667e-06 
 1.531087461682034e+00  1.934080340492370e-04  9.676751885882603e-06 
 1.548816618912485e+00  1.922465702620524e-04  9.618640562078132e-06 
 1.566751070108153e+00  1.910921435102308e-04  9.560881321089431e-06 
 1.584893192461118e+00  1.899447107477320e-04  9.503472009201151e-06 
 1.603245390690046e+00  1.888042291944982e-04  9.446410486005808e-06 
 1.621810097358934e+00  1.876706563347952e-04  9.389694624320753e-06 
 1.640589773199544e+00  1.865439499155610e-04  9.333322310105602e-06 
 1.659586907437565e+00  1.854240679447676e-04  9.277291442380220e-06 
 1.678804018122565e+00  1.843109686897911e-04  9.221599933143215e-06 
 1.698243652461749e+00  1.832046106757939e-04  9.166245707290927e-06 
 1.717908387157593e+00  1.821049526841147e-04  9.111226702536986e-06 
 1.737800828749381e+00  1.810119537506712e-04  9.056540869332289e-06 
 1.757923613958698e+00  1.799255731643714e-04  9.002186170785568e-06 
 1.778279410038929e+00  1.788457704655351e-04  8.948160582584395e-06 
 1.798870915128794e+00  1.777725054443253e-04  8.894462092916706e-06 
 1.819700858609990e+00  1.767057381391903e-04  8.841088702392849e-06 
 1.840772001468962e+00  1.756454288353142e-04  8.788038423968080e-06 
 1.862087136662874e+00  1.745915380630783e-04  8.735309282865549e-06 
 1.883649089489807e+00  1.735440265965321e-04  8.682899316499817e-06 
 1.905460717963254e+00  1.725028554518729e-04  8.630806574400799e-06 
 1.927524913190943e+00  1.714679858859362e-04  8.579029118138209e-06 
 1.949844599758053e+00  1.704393793946955e-04  8.527565021246519e-06 
 1.972422736114861e+00  1.694169977117705e-04  8.476412369150299e-06 
 1.995262314968888e+00  1.684008028069458e-04  8.425569259090148e-06 
 2.018366363681569e+00  1.673907568846982e-04  8.375033800048947e-06 
 2.041737944669538e+00  1.663868223827340e-04  8.324804112678721e-06 
 2.065380155810538e+00  1.653889619705345e-04  8.274878329227877e-06 
 2.089296130854049e+00  1.643971385479120e-04  8.225254593468901e-06 
 2.113489039836656e+00  1.634113152435733e-04  8.175931060626545e-06 
 2.137962089502242e+00  1.624314554136941e-04  8.126905897306452e-06 
 2.162718523727030e+00  1.614575226405001e-04  8.078177281424210e-06 
 2.187761623949563e+00  1.604894807308593e-04  8.029743402134885e-06 
 2.213094709605648e+00  1.595272937148820e-04  7.981602459762982e-06 
 2.238721138568351e+00  1.585709258445293e-04  7.933752665732845e-06 
 2.264644307593071e+00  1.576203415922311e-04  7.886192242499489e-06 
 2.290867652767784e+00  1.566755056495127e-04  7.838919423479881e-06 
 2.317394649968490e+00  1.557363829256294e-04  7.791932452984665e-06 
 2.344228815319934e+00  1.548029385462105e-04  7.745229586150267e-06 
 2.371373705661667e+00  1.538751378519116e-04  7.698809088871486e-06 
 2.398832919019502e+00  1.529529463970748e-04  7.652669237734476e-06 
 2.426610095082428e+00  1.520363299483983e-04  7.606808319950159e-06 
 2.454708915685043e+00  1.511252544836131e-04  7.561224633288028e-06 
 2.483133105295583e+00  1.502196861901698e-04  7.515916486010455e-06 
 2.511886431509593e+00  1.493195914639319e-04  7.470882196807275e-06 
 2.540972705549319e+00  1.484249369078784e-04  7.426120094730912e-06 
 2.570395782768878e+00  1.475356893308140e-04  7.381628519131835e-06 
 2.600159563165286e+00  1.466518157460879e-04  7.337405819594444e-06 
 2.630267991895396e+00  1.457732833703200e-04  7.293450355873358e-06 
 2.660725059798824e+00  1.449000596221358e-04  7.249760497830120e-06 
 2.691534803926931e+00  1.440321121209093e-04  7.206334625370242e-06 
 2.722701308077928e+00  1.431694086855124e-04  7.163171128380735e-06 
 2.754228703338182e+00  1.423119173330744e-04  7.120268406667961e-06 
 2.786121168629787e+00  1.414596062777472e-04  7.077624869895900e-06 
 2.818382931264471e+00  1.406124439294801e-04  7.035238937524795e-06 
 2.851018267503926e+00  1.397703988928003e-04  6.993109038750215e-06 
 2.884031503126623e+00  1.389334399656031e-04  6.951233612442455e-06 
 2.917427014001185e+00  1.381015361379481e-04  6.909611107086350e-06 
 2.951209226666404e+00  1.372746565908643e-04  6.868239980721450e-06 
 2.985382618917978e+00  1.364527706951612e-04  6.827118700882603e-06 
 3.019951720402035e+00  1.356358480102490e-04  6.786245744540840e-06 
 3.054921113215533e+00  1.348238582829646e-04  6.745619598044720e-06 
 3.090295432513610e+00  1.340167714464068e-04  6.705238757061969e-06 
 3.126079367123975e+00  1.332145576187767e-04  6.665101726521556e-06 
 3.162277660168400e+00  1.324171871022273e-04  6.625207020556044e-06 
 3.198895109691419e+00  1.316246303817193e-04  6.585553162444408e-06 
 3.235936569296304e+00  1.308368581238844e-04  6.546138684555117e-06 
 3.273406948788404e+00  1.300538411758952e-04  6.506962128289626e-06 
 3.311311214825934e+00  1.292755505643430e-04  6.468022044026224e-06 
 3.349654391578300e+00  1.285019574941228e-04  6.429316991064208e-06 
 3.388441561392050e+00  1.277330333473236e-04  6.390845537568435e-06 
 3.427677865464528e+00  1.269687496821279e-04  6.352606260514183e-06 
 3.467368504525342e+00  1.262090782317167e-04  6.314597745632427e-06 
 3.507518739525706e+00  1.254539909031818e-04  6.276818587355371e-06 
 3.548133892335781e+00  1.247034597764447e-04  6.239267388762389e-06 
 3.589219346450079e+00  1.239574571031829e-04  6.201942761526294e-06 
 3.630780547701041e+00  1.232159553057621e-04  6.164843325859906e-06 
 3.672823004980875e+00  1.224789269761756e-04  6.127967710463011e-06 
 3.715352290971754e+00  1.217463448749905e-04  6.091314552469606e-06 
 3.758374042884471e+00  1.210181819303001e-04  6.054882497395496e-06 
 3.801893963205642e+00  1.202944112366831e-04  6.018670199086239e-06 
 3.845917820453566e+00  1.195750060541694e-04  5.982676319665354e-06 
 3.890451449942837e+00  1.188599398072118e-04  5.946899529482948e-06 
 3.935500754557806e+00  1.181491860836655e-04  5.911338507064574e-06 
 3.981071705535005e+00  1.174427186337724e-04  5.875991939060479e-06 
 4.027170343254624e+00  1.167405113691531e-04  5.840858520195113e-06 
 4.073802778041161e+00  1.160425383618039e-04  5.805936953217008e-06 
 4.120975190973336e+00  1.153487738431019e-04  5.771225948848941e-06 
 4.168693834703389e+00  1.146591922028138e-04  5.736724225738399e-06 
 4.216965034285859e+00  1.139737679881140e-04  5.702430510408400e-06 
 4.265795188015963e+00  1.132924759026060e-04  5.668343537208569e-06 
 4.315190768277690e+00  1.126152908053523e-04  5.634462048266559e-06 
 4.365158322401698e+00  1.119421877099078e-04  5.600784793439751e-06 
