Device;Net1;Net2;Capacitance [fF];Resistance [Ω]
C1;$10;$12;0.016;
C2;$10;$8;0.016;
C3;$10;vr;0.001;
C4;$10;vss;0.058;
C5;$10;VSUBS;0.307;
C6;$11;$13;0.016;
C7;$11;$9;0.016;
C8;$11;mode;0.001;
C9;$11;vr;0.0;
C10;$11;vss;0.007;
C11;$11;VSUBS;0.341;
C12;$12;$14;0.016;
C13;$12;vr;0.0;
C14;$12;vss;0.058;
C15;$12;VSUBS;0.307;
C16;$13;$15;0.016;
C17;$13;mode;0.001;
C18;$13;vss;0.007;
C19;$13;VSUBS;0.341;
C20;$14;vss;0.075;
C21;$14;VSUBS;0.307;
C22;$15;mode;0.001;
C23;$15;vss;0.009;
C24;$15;VSUBS;0.354;
C25;$7;$9;0.016;
C26;$7;cap2;0.001;
C27;$7;mode;0.001;
C28;$7;vr;0.037;
C29;$7;vss;0.008;
C30;$7;VSUBS;0.354;
C31;$8;vr;0.02;
C32;$8;vss;0.058;
C33;$8;VSUBS;0.307;
C34;$9;mode;0.001;
C35;$9;vr;0.002;
C36;$9;vss;0.007;
C37;$9;VSUBS;0.341;
C38;$I169;q;0.12;
C39;$I169;qn;0.056;
C40;$I169;sn;0.056;
C41;$I169;vss;0.091;
C42;$I169;VSUBS;0.035;
C43;$I170;d2g;0.12;
C44;$I170;en;0.056;
C45;$I170;q;0.056;
C46;$I170;vss;0.091;
C47;$I170;VSUBS;0.035;
C48;$I171;d1g;0.12;
C49;$I171;en;0.056;
C50;$I171;qn;0.056;
C51;$I171;vss;0.091;
C52;$I171;VSUBS;0.035;
C53;$I182;$I183;0.13;
C54;$I182;en;0.083;
C55;$I182;q;0.083;
C56;$I182;qn;0.046;
C57;$I182;vss;0.134;
C58;$I182;VSUBS;0.047;
C59;$I183;d2g;0.001;
C60;$I183;q;0.101;
C61;$I183;qn;0.134;
C62;$I183;rn;0.101;
C63;$I183;vss;0.004;
C64;$I183;VSUBS;0.047;
C65;a;c2;0.03;
C66;a;d2g;2.212;
C67;a;en;0.001;
C68;a;lsa;1.195;
C69;a;lsb;0.012;
C70;a;ob2;0.045;
C71;a;q;0.006;
C72;a;qn;0.084;
C73;a;rn;0.297;
C74;a;vdd;0.111;
C75;a;vss;0.227;
C76;c1;d1g;0.03;
C77;c1;en;0.078;
C78;c1;oa1;0.002;
C79;c1;ob1;1.846;
C80;c1;q;0.002;
C81;c1;qn;0.0;
C82;c1;sn;1.722;
C83;c1;vdd;0.308;
C84;c1;vss;0.339;
C85;c2;d2g;0.261;
C86;c2;en;0.012;
C87;c2;lsa;0.137;
C88;c2;lsb;0.069;
C89;c2;oa2;0.004;
C90;c2;ob2;1.904;
C91;c2;rn;1.658;
C92;c2;vdd;0.378;
C93;c2;vdd12;0.001;
C94;c2;vss;0.335;
C95;cap1;cap2;1.801;
C96;cap1;d1g;2.598;
C97;cap1;isrc;0.633;
C98;cap1;nbias;0.44;
C99;cap1;ob1;0.017;
C100;cap1;tail1;0.476;
C101;cap1;vdd;0.061;
C102;cap1;vss;9.41;
C103;cap1;vth;0.103;
C104;cap2;d2g;2.729;
C105;cap2;do;0.023;
C106;cap2;isrc;1.159;
C107;cap2;mode;0.063;
C108;cap2;moden;0.037;
C109;cap2;nbias;0.548;
C110;cap2;ob2;0.017;
C111;cap2;tail2;0.479;
C112;cap2;vdd;0.064;
C113;cap2;vr;0.032;
C114;cap2;vref;0.091;
C115;cap2;vss;8.584;
C116;cap2;vth;0.154;
C117;d1g;d2g;0.051;
C118;d1g;en;2.107;
C119;d1g;isrc;1.287;
C120;d1g;nbias;0.063;
C121;d1g;oa1;0.132;
C122;d1g;ob1;0.036;
C123;d1g;q;0.006;
C124;d1g;qn;1.919;
C125;d1g;sn;0.12;
C126;d1g;tail1;0.039;
C127;d1g;vdd;0.4;
C128;d1g;vss;0.699;
C129;d1g;vth;0.324;
C130;d2g;do;0.152;
C131;d2g;en;2.639;
C132;d2g;fon;0.001;
C133;d2g;fout;0.0;
C134;d2g;isrc;1.278;
C135;d2g;lsa;0.266;
C136;d2g;lsb;0.777;
C137;d2g;moden;0.008;
C138;d2g;nbias;0.017;
C139;d2g;oa1;0.023;
C140;d2g;oa2;0.053;
C141;d2g;ob1;0.151;
C142;d2g;ob2;0.632;
C143;d2g;pbias;0.075;
C144;d2g;pcasc;0.188;
C145;d2g;q;1.756;
C146;d2g;qn;0.142;
C147;d2g;rn;0.328;
C148;d2g;sn;0.028;
C149;d2g;vdd;0.846;
C150;d2g;vref;0.0;
C151;d2g;vss;0.523;
C152;d2g;vth;0.029;
C153;db;dr;0.021;
C154;db;nbias;0.118;
C155;db;pbias;0.621;
C156;db;pcasc;0.697;
C157;db;vdd;0.132;
C158;db;vr;0.096;
C159;db;vref;0.002;
C160;do;dr;0.025;
C161;do;isrc;0.128;
C162;do;nbias;0.005;
C163;do;pbias;0.679;
C164;do;pcasc;0.715;
C165;do;vdd;0.531;
C166;do;vth;0.003;
C167;dr;nbias;0.041;
C168;dr;pbias;1.03;
C169;dr;pcasc;1.187;
C170;dr;vdd;0.232;
C171;dr;vr;0.21;
C172;dr;vref;0.004;
C173;en;fon;0.001;
C174;en;fout;0.964;
C175;en;lsa;0.001;
C176;en;lsb;0.001;
C177;en;oa1;0.001;
C178;en;ob1;0.155;
C179;en;ob2;0.015;
C180;en;q;0.615;
C181;en;qn;3.81;
C182;en;rn;0.009;
C183;en;sn;0.725;
C184;en;vdd;6.446;
C185;en;vdd12;0.01;
C186;en;vss;0.757;
C187;fon;fout;0.216;
C188;fon;lsa;0.001;
C189;fon;lsb;0.28;
C190;fon;vdd12;0.198;
C191;fon;vss;0.128;
C192;fout;lsb;0.007;
C193;fout;vdd;0.491;
C194;fout;vdd12;1.481;
C195;fout;vss;0.168;
C196;isrc;nbias;4.302;
C197;isrc;pbias;0.0;
C198;isrc;pcasc;0.567;
C199;isrc;vdd;0.128;
C200;isrc;vr;0.135;
C201;isrc;vss;0.088;
C202;isrc;vth;0.338;
C203;lsa;lsb;2.913;
C204;lsa;oa2;0.0;
C205;lsa;ob2;0.524;
C206;lsa;rn;0.149;
C207;lsa;sn;0.002;
C208;lsa;vdd;0.064;
C209;lsa;vdd12;0.062;
C210;lsa;vss;0.287;
C211;lsb;ob2;0.163;
C212;lsb;rn;0.603;
C213;lsb;vdd;0.017;
C214;lsb;vdd12;0.127;
C215;lsb;vss;0.415;
C216;mode;moden;2.689;
C217;mode;vdd;0.056;
C218;mode;vr;1.182;
C219;mode;vref;0.004;
C220;mode;vss;0.51;
C221;mode;vth;1.038;
C222;moden;vdd;0.09;
C223;moden;vr;0.047;
C224;moden;vref;1.038;
C225;moden;vss;0.227;
C226;moden;vth;1.04;
C227;nbias;pcasc;0.661;
C228;nbias;tail1;0.944;
C229;nbias;tail2;0.944;
C230;nbias;vdd;0.038;
C231;nbias;vr;2.042;
C232;nbias;vref;0.099;
C233;nbias;vss;3.279;
C234;nbias;vth;1.876;
C235;oa1;oa2;0.012;
C236;oa1;ob1;0.249;
C237;oa1;q;0.003;
C238;oa1;tail1;0.441;
C239;oa1;vdd;0.501;
C240;oa1;vss;0.212;
C241;oa1;vth;0.017;
C242;oa2;ob1;0.008;
C243;oa2;ob2;0.31;
C244;oa2;rn;0.002;
C245;oa2;tail2;0.441;
C246;oa2;vdd;0.478;
C247;oa2;vss;0.224;
C248;oa2;vth;0.017;
C249;ob1;ob2;0.07;
C250;ob1;q;0.283;
C251;ob1;qn;0.188;
C252;ob1;rn;0.002;
C253;ob1;sn;0.267;
C254;ob1;tail1;0.437;
C255;ob1;vdd;0.275;
C256;ob1;vss;0.281;
C257;ob2;qn;0.012;
C258;ob2;rn;0.064;
C259;ob2;tail2;0.437;
C260;ob2;vdd;0.302;
C261;ob2;vss;0.208;
C262;pbias;pcasc;0.777;
C263;pbias;vdd;2.501;
C264;pbias;vss;0.06;
C265;pcasc;vdd;0.231;
C266;pcasc;vr;1.021;
C267;pcasc;vref;0.002;
C268;pcasc;vss;0.057;
C269;pcasc;vth;0.001;
C270;q;qn;3.357;
C271;q;rn;0.672;
C272;q;sn;2.151;
C273;q;vdd;0.369;
C274;q;vss;0.323;
C275;qn;rn;0.322;
C276;qn;sn;1.179;
C277;qn;vdd;0.556;
C278;qn;vss;0.293;
C279;rn;sn;0.0;
C280;rn;vdd;0.259;
C281;rn;vdd12;0.024;
C282;rn;vss;0.289;
C283;sn;vdd;0.472;
C284;sn;vss;0.319;
C285;tail1;tail2;0.014;
C286;tail1;vdd;0.0;
C287;tail1;vss;0.622;
C288;tail1;vth;0.476;
C289;tail2;vdd;0.0;
C290;tail2;vss;0.609;
C291;tail2;vth;0.476;
C292;vdd;vdd12;0.319;
C293;vdd;vr;0.167;
C294;vdd;vref;0.553;
C295;vdd;vss;6.33;
C296;vdd;vth;0.297;
C297;vdd12;vss;0.103;
C298;vr;vref;0.658;
C299;vr;vss;0.157;
C300;vr;vth;0.713;
C301;vref;vss;0.075;
C302;vref;vth;0.876;
C303;vss;vth;0.508;
C304;VSUBS;a;0.967;
C305;VSUBS;c1;1.699;
C306;VSUBS;c2;1.804;
C307;VSUBS;cap1;9.203;
C308;VSUBS;cap2;10.099;
C309;VSUBS;d1g;4.104;
C310;VSUBS;d2g;6.358;
C311;VSUBS;db;1.584;
C312;VSUBS;do;1.579;
C313;VSUBS;dr;1.078;
C314;VSUBS;en;4.875;
C315;VSUBS;fon;0.787;
C316;VSUBS;fout;1.906;
C317;VSUBS;isrc;2.018;
C318;VSUBS;lsa;1.074;
C319;VSUBS;lsb;1.609;
C320;VSUBS;mode;4.116;
C321;VSUBS;moden;1.68;
C322;VSUBS;nbias;16.651;
C323;VSUBS;oa1;2.913;
C324;VSUBS;oa2;3.012;
C325;VSUBS;ob1;2.314;
C326;VSUBS;ob2;2.007;
C327;VSUBS;pbias;21.172;
C328;VSUBS;pcasc;21.717;
C329;VSUBS;q;1.926;
C330;VSUBS;qn;2.156;
C331;VSUBS;rn;1.747;
C332;VSUBS;sn;1.35;
