 time            v(gate)         v(gfet)         v(tripped)      v(isense)       v(cmp_soft)     v(cmp_hard)     v(cmp_clk)      v(trip_d)       v(osc_clk)      v(vref)         v(en_core)      v(shp)          v(fault_n)      v(vdda)         v(vdd)          v(iprof)        v(icmp)         v(vth_soft)     v(vth_hard)     v(dig_trip)     v(inrush_active) i(vim)          i(vma)          i(vmi)          i(v12)         
 0.00000000e+00  1.92897715e-09  1.92897715e-09  4.58366104e-08  9.99200000e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.03990000e+00  0.00000000e+00  7.62286334e-11  3.29999974e+00  3.30000000e+00  1.20000000e+00  1.00000000e+00  4.99599988e-01  5.00329245e-01  5.00329245e-01  0.00000000e+00  0.00000000e+00  2.06115369e-09  5.89507998e-10  2.22403429e-09 -1.57294222e-09 
 1.00000000e-07  1.92897721e-09  1.92897719e-09  4.58366105e-08  9.99200000e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.03990000e+00  0.00000000e+00  7.62286333e-11  3.29999974e+00  3.30000000e+00  1.20000000e+00  1.00000000e+00  4.99599988e-01  8.00526792e-01  9.98696415e-01  0.00000000e+00  1.20000000e+00  2.06115369e-09  5.89746030e-10  2.22404051e-09 -1.57294133e-09 
 2.00000000e-07  1.92897723e-09  1.92897722e-09  4.58366104e-08  9.99200000e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.03990000e+00  0.00000000e+00  7.62286333e-11  3.29999974e+00  3.30000000e+00  1.20000000e+00  1.00000000e+00  4.99599988e-01  8.00526792e-01  9.98696415e-01  0.00000000e+00  1.20000000e+00  2.06115369e-09  5.89716095e-10  2.22402718e-09 -1.57294387e-09 
 3.00000000e-07  1.92897724e-09  1.92897723e-09  4.58366103e-08  9.99200000e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.03990000e+00  0.00000000e+00  7.62286332e-11  3.29999974e+00  3.30000000e+00  1.20000000e+00  1.00000000e+00  4.99599988e-01  8.00526792e-01  9.98696415e-01  0.00000000e+00  1.20000000e+00  2.06115369e-09  5.89713495e-10  2.22402807e-09 -1.57294382e-09 
 4.00000000e-07  1.92897723e-09  1.92897725e-09  4.58366104e-08  9.99200000e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.03990000e+00  0.00000000e+00  7.62286332e-11  3.29999974e+00  3.30000000e+00  1.20000000e+00  1.00000000e+00  4.99599988e-01  8.00526792e-01  9.98696415e-01  0.00000000e+00  1.20000000e+00  2.06115369e-09  5.89715931e-10  2.22402985e-09 -1.57294355e-09 
 5.00000000e-07  1.92897726e-09  1.92897726e-09  4.58366102e-08  9.99200000e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.03990000e+00  0.00000000e+00  7.62286332e-11  3.29999974e+00  3.30000000e+00  1.20000000e+00  1.00000000e+00  4.99599988e-01  8.00526792e-01  9.98696415e-01  0.00000000e+00  1.20000000e+00  2.06115369e-09  5.89716745e-10  2.22403457e-09 -1.57294464e-09 
 6.00000000e-07  1.92897727e-09  1.92897726e-09  4.58366103e-08  9.99200000e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.03990000e+00  0.00000000e+00  7.62286333e-11  3.29999974e+00  3.30000000e+00  1.20000000e+00  1.00000000e+00  4.99599988e-01  8.00526792e-01  9.98696415e-01  0.00000000e+00  1.20000000e+00  2.06115369e-09  5.89719280e-10  2.22403796e-09 -1.57294423e-09 
 7.00000000e-07  1.92897729e-09  1.92897727e-09  4.58366102e-08  9.99200000e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.03990000e+00  0.00000000e+00  7.62286333e-11  3.29999974e+00  3.30000000e+00  1.20000000e+00  1.00000000e+00  4.99599988e-01  8.00526792e-01  9.98696415e-01  0.00000000e+00  1.20000000e+00  2.06115369e-09  5.89719970e-10  2.22404226e-09 -1.57294420e-09 
 8.00000000e-07  1.92897729e-09  1.92897727e-09  4.58366103e-08  9.99200000e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.03990000e+00  0.00000000e+00  7.62286334e-11  3.29999974e+00  3.30000000e+00  1.20000000e+00  1.00000000e+00  4.99599988e-01  8.00526792e-01  9.98696415e-01  0.00000000e+00  1.20000000e+00  2.06115369e-09  5.89726454e-10  2.22404669e-09 -1.57294355e-09 
 9.00000000e-07  1.92897729e-09  1.92897727e-09  4.58366103e-08  9.99200000e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.03990000e+00  0.00000000e+00  7.62286334e-11  3.29999974e+00  3.30000000e+00  1.20000000e+00  1.00000000e+00  4.99599988e-01  8.00526792e-01  9.98696415e-01  0.00000000e+00  1.20000000e+00  2.06115369e-09  5.89723825e-10  2.22404725e-09 -1.57294320e-09 
