 time                   v(vref)                v(isense)              v(gate)                v(vdd)                 v(vdda)                v(osc_clk)             v(cmp_clk)            
 0.000000000000000e+00  1.040000000000000e+00  9.992000000762640e-01  1.928977181485410e-09  1.199999999214129e+00  3.299999999706900e+00  0.000000000000000e+00  0.000000000000000e+00 
 2.000000000000000e-10  1.040000000000000e+00  9.992000000762640e-01  1.928977262644072e-09  1.199999999214129e+00  3.299999999706877e+00  0.000000000000000e+00  0.000000000000000e+00 
 4.000000000000000e-10  1.040000000000000e+00  9.992000000762640e-01  1.928977212337091e-09  1.199999999214129e+00  3.299999999706859e+00  0.000000000000000e+00  0.000000000000000e+00 
 8.000000000000000e-10  1.040000000000000e+00  9.992000000762641e-01  1.928977200194026e-09  1.199999999214128e+00  3.299999999706832e+00  0.000000000000000e+00  0.000000000000000e+00 
 1.000000000000000e-09  1.040000000000000e+00  9.992000000762642e-01  1.928977234888496e-09  1.199999999214128e+00  3.299999999706825e+00  0.000000000000000e+00  0.000000000000000e+00 
 1.080000000000000e-09  1.040000000000000e+00  9.992000000762643e-01  1.928977349380245e-09  1.199999999214128e+00  3.299999999706822e+00  0.000000000000000e+00  0.000000000000000e+00 
 1.240000000000000e-09  1.040000000000000e+00  9.992000000762647e-01  1.928977335502458e-09  1.199999999214128e+00  3.299999999706819e+00  0.000000000000000e+00  0.000000000000000e+00 
 1.560000000000000e-09  1.040000000000000e+00  9.992000000762655e-01  1.928977146417599e-09  1.199999999214129e+00  3.299999999706814e+00  0.000000000000000e+00  0.000000000000000e+00 
 2.200000000000000e-09  1.040000000000000e+00  9.992000000762660e-01  1.928977113457853e-09  1.199999999214128e+00  3.299999999706811e+00  0.000000000000000e+00  0.000000000000000e+00 
 3.480000000000000e-09  1.040000000000000e+00  9.992000000762664e-01  1.928977235755858e-09  1.199999999214129e+00  3.299999999706809e+00  0.000000000000000e+00  0.000000000000000e+00 
 6.040000000000000e-09  1.040000000000000e+00  9.992000000762667e-01  1.928977202362431e-09  1.199999999214128e+00  3.299999999706808e+00  0.000000000000000e+00  0.000000000000000e+00 
 1.104000000000000e-08  1.040000000000000e+00  9.992000000762666e-01  1.928977181762589e-09  1.199999999214128e+00  3.299999999706809e+00  0.000000000000000e+00  0.000000000000000e+00 
 1.604000000000000e-08  1.040000000000000e+00  9.992000000762664e-01  1.928977215589697e-09  1.199999999214129e+00  3.299999999706809e+00  0.000000000000000e+00  0.000000000000000e+00 
 2.104000000000000e-08  1.040000000000000e+00  9.992000000762660e-01  1.928977176558419e-09  1.199999999214129e+00  3.299999999706809e+00  0.000000000000000e+00  0.000000000000000e+00 
 2.604000000000000e-08  1.040000000000000e+00  9.992000000762656e-01  1.928977168535323e-09  1.199999999214129e+00  3.299999999706809e+00  0.000000000000000e+00  0.000000000000000e+00 
 3.104000000000000e-08  1.040000000000000e+00  9.992000000762653e-01  1.928977214071814e-09  1.199999999214129e+00  3.299999999706809e+00  0.000000000000000e+00  0.000000000000000e+00 
 3.604000000000000e-08  1.040000000000000e+00  9.992000000762651e-01  1.928977230551687e-09  1.199999999214129e+00  3.299999999706809e+00  0.000000000000000e+00  0.000000000000000e+00 
 4.104000000000000e-08  1.040000000000000e+00  9.992000000762651e-01  1.928977181979430e-09  1.199999999214129e+00  3.299999999706809e+00  0.000000000000000e+00  0.000000000000000e+00 
 4.603999999999999e-08  1.040000000000000e+00  9.992000000762651e-01  1.928977224913836e-09  1.199999999214129e+00  3.299999999706809e+00  0.000000000000000e+00  0.000000000000000e+00 
 5.103999999999999e-08  1.040000000000000e+00  9.992000000762651e-01  1.928977234454815e-09  1.199999999214128e+00  3.299999999706809e+00  0.000000000000000e+00  0.000000000000000e+00 
 5.603999999999999e-08  1.040000000000000e+00  9.992000000762651e-01  1.928977245296837e-09  1.199999999214129e+00  3.299999999706809e+00  0.000000000000000e+00  0.000000000000000e+00 
 6.104000000000000e-08  1.040000000000000e+00  9.992000000762651e-01  1.928977197375101e-09  1.199999999214129e+00  3.299999999706809e+00  0.000000000000000e+00  0.000000000000000e+00 
 6.604000000000000e-08  1.040000000000000e+00  9.992000000762651e-01  1.928977232503251e-09  1.199999999214129e+00  3.299999999706809e+00  0.000000000000000e+00  0.000000000000000e+00 
 7.104000000000001e-08  1.040000000000000e+00  9.992000000762651e-01  1.928977197158260e-09  1.199999999214129e+00  3.299999999706809e+00  0.000000000000000e+00  0.000000000000000e+00 
 7.604000000000001e-08  1.040000000000000e+00  9.992000000762651e-01  1.928977232720092e-09  1.199999999214129e+00  3.299999999706809e+00  0.000000000000000e+00  0.000000000000000e+00 
