 time                   v(clk)                 v(xt.icmp)             v(xt.vth_soft)         v(xt.vth_hard)         v(cmp_soft)            v(cmp_hard)            v(isense)             
 0.000000000000000e+00  0.000000000000000e+00  7.596590345373976e-01  8.005235441065732e-01  9.986912468690980e-01  6.169513002888439e-01  6.166596149543249e-01  1.519328761343758e+00 
 2.000000000000000e-12  0.000000000000000e+00  7.596590345373978e-01  8.005235441065714e-01  9.986912468690892e-01  6.169513002888318e-01  6.166596149543203e-01  1.519328761343802e+00 
 4.000000000000001e-12  0.000000000000000e+00  7.596590345373984e-01  8.005235441065696e-01  9.986912468690802e-01  6.169513002888160e-01  6.166596149543182e-01  1.519328761343844e+00 
 8.000000000000001e-12  0.000000000000000e+00  7.596590345374027e-01  8.005235441065647e-01  9.986912468690732e-01  6.169513002888032e-01  6.166596149543008e-01  1.519328761343855e+00 
 1.600000000000000e-11  0.000000000000000e+00  7.596590345374019e-01  8.005235441065447e-01  9.986912468690539e-01  6.169513002887722e-01  6.166596149542679e-01  1.519328761343901e+00 
 3.200000000000001e-11  0.000000000000000e+00  7.596590345373961e-01  8.005235441065067e-01  9.986912468690030e-01  6.169513002887224e-01  6.166596149542506e-01  1.519328761343761e+00 
 6.400000000000001e-11  0.000000000000000e+00  7.596590345374143e-01  8.005235441064513e-01  9.986912468689573e-01  6.169513002882867e-01  6.166596149539191e-01  1.519328761343905e+00 
 1.280000000000000e-10  0.000000000000000e+00  7.596590345374800e-01  8.005235441063885e-01  9.986912468688672e-01  6.169513002547287e-01  6.166596149332282e-01  1.519328761344886e+00 
 2.560000000000000e-10  0.000000000000000e+00  7.596590345376316e-01  8.005235441062564e-01  9.986912468686747e-01  6.169513003540101e-01  6.166596149944715e-01  1.519328761345015e+00 
 4.560000000000001e-10  0.000000000000000e+00  7.596590345376441e-01  8.005235441059878e-01  9.986912468684181e-01  6.169513002309367e-01  6.166596149184328e-01  1.519328761345868e+00 
 6.560000000000001e-10  0.000000000000000e+00  7.596590345375215e-01  8.005235441053044e-01  9.986912468679325e-01  6.169513003311003e-01  6.166596149804223e-01  1.519328761344180e+00 
 8.560000000000001e-10  0.000000000000000e+00  7.596590345373738e-01  8.005235441045272e-01  9.986912468674040e-01  6.169513002569995e-01  6.166596149344653e-01  1.519328761342267e+00 
 1.056000000000000e-09  0.000000000000000e+00  7.596590345372022e-01  8.005235441037643e-01  9.986912468668869e-01  6.169513003128495e-01  6.166596149692407e-01  1.519328761340799e+00 
 1.256000000000000e-09  0.000000000000000e+00  7.596590345370289e-01  8.005235441030447e-01  9.986912468664042e-01  6.169513002708366e-01  6.166596149431409e-01  1.519328761339897e+00 
 1.456000000000000e-09  0.000000000000000e+00  7.596590345368517e-01  8.005235441023798e-01  9.986912468659599e-01  6.169513003024387e-01  6.166596149627890e-01  1.519328761339500e+00 
 1.656000000000000e-09  0.000000000000000e+00  7.596590345366742e-01  8.005235441017706e-01  9.986912468651342e-01  6.169513002789404e-01  6.166596149480059e-01  1.519328761339508e+00 
 1.856000000000000e-09  0.000000000000000e+00  7.596590345364909e-01  8.005235441012148e-01  9.986912468642521e-01  6.169513002964594e-01  6.166596149589709e-01  1.519328761339822e+00 
 2.056000000000000e-09  0.000000000000000e+00  7.596590345363072e-01  8.005235441007057e-01  9.986912468634137e-01  6.169513002830810e-01  6.166596149507134e-01  1.519328761340361e+00 
 2.256000000000000e-09  0.000000000000000e+00  7.596590345361282e-01  8.005235441002416e-01  9.986912468626590e-01  6.169513002934448e-01  6.166596149570380e-01  1.519328761341061e+00 
 2.456000000000000e-09  0.000000000000000e+00  7.596590345359505e-01  8.005235440998182e-01  9.986912468619912e-01  6.169513002857708e-01  6.166596149521639e-01  1.519328761341873e+00 
 2.656000000000000e-09  0.000000000000000e+00  7.596590345357696e-01  8.005235440994327e-01  9.986912468614092e-01  6.169513002912901e-01  6.166596149560540e-01  1.519328761342765e+00 
 2.856000000000000e-09  0.000000000000000e+00  7.596590345355899e-01  8.005235440987285e-01  9.986912468608973e-01  6.169513002873002e-01  6.166596149531018e-01  1.519328761343714e+00 
 3.056000000000001e-09  0.000000000000000e+00  7.596590345354149e-01  8.005235440979618e-01  9.986912468604578e-01  6.169513002902459e-01  6.166596149554615e-01  1.519328761344699e+00 
 3.256000000000001e-09  0.000000000000000e+00  7.596590345352493e-01  8.005235440972116e-01  9.986912468600758e-01  6.169513002881316e-01  6.166596149536002e-01  1.519328761345708e+00 
