 time                   v(q)                   v(qb)                  v(inp)                 v(inn)                 v(clk)                
 0.000000000000000e+00  6.170240450363208e-01  6.170240450363037e-01  7.490000009360177e-01  7.510000009249355e-01  0.000000000000000e+00 
 2.000000000000000e-12  6.170240450363305e-01  6.170240450363134e-01  7.490000009360174e-01  7.510000009249351e-01  0.000000000000000e+00 
 4.000000000000001e-12  6.170240450363396e-01  6.170240450363221e-01  7.490000009360173e-01  7.510000009249348e-01  0.000000000000000e+00 
 8.000000000000001e-12  6.170240450363462e-01  6.170240450363247e-01  7.490000009360168e-01  7.510000009249345e-01  0.000000000000000e+00 
 1.600000000000000e-11  6.170240450363798e-01  6.170240450363543e-01  7.490000009360165e-01  7.510000009249345e-01  0.000000000000000e+00 
 3.200000000000001e-11  6.170240450364523e-01  6.170240450364223e-01  7.490000009360165e-01  7.510000009249344e-01  0.000000000000000e+00 
 6.400000000000001e-11  6.170240450364659e-01  6.170240450364142e-01  7.490000009360156e-01  7.510000009249341e-01  0.000000000000000e+00 
 1.280000000000000e-10  6.170240450364789e-01  6.170240450364228e-01  7.490000009360160e-01  7.510000009249310e-01  0.000000000000000e+00 
 2.560000000000000e-10  6.170240450331750e-01  6.170240450397273e-01  7.490000009360132e-01  7.510000009249231e-01  0.000000000000000e+00 
 4.560000000000001e-10  6.170240450449698e-01  6.170240450278315e-01  7.490000009360095e-01  7.510000009249153e-01  0.000000000000000e+00 
 6.560000000000001e-10  6.170240450199869e-01  6.170240450532507e-01  7.490000009360123e-01  7.510000009249236e-01  0.000000000000000e+00 
 8.560000000000001e-10  6.170240450700413e-01  6.170240450026534e-01  7.490000009360069e-01  7.510000009249236e-01  0.000000000000000e+00 
 1.056000000000000e-09  6.170240449690160e-01  6.170240451045331e-01  7.490000009360128e-01  7.510000009249418e-01  0.000000000000000e+00 
 1.256000000000000e-09  6.170240451724556e-01  6.170240448994045e-01  7.490000009359953e-01  7.510000009249284e-01  0.000000000000000e+00 
 1.456000000000000e-09  6.170240447629624e-01  6.170240453124497e-01  7.490000009360255e-01  7.510000009249778e-01  0.000000000000000e+00 
 1.656000000000000e-09  6.170240455871184e-01  6.170240444810912e-01  7.490000009359604e-01  7.510000009248979e-01  0.000000000000000e+00 
 1.856000000000000e-09  6.170240439284623e-01  6.170240461545335e-01  7.490000009360869e-01  7.510000009250763e-01  0.000000000000000e+00 
 2.056000000000000e-09  6.170240472660018e-01  6.170240427871831e-01  7.490000009358285e-01  7.510000009247325e-01  0.000000000000000e+00 
 2.256000000000000e-09  6.170240405500342e-01  6.170240495628700e-01  7.490000009363360e-01  7.510000009254310e-01  0.000000000000000e+00 
 2.456000000000000e-09  6.170240540650328e-01  6.170240359276583e-01  7.490000009352968e-01  7.510000009240256e-01  0.000000000000000e+00 
 2.656000000000000e-09  6.170240268676305e-01  6.170240633668709e-01  7.490000009373801e-01  7.510000009268455e-01  0.000000000000000e+00 
 2.856000000000000e-09  6.170240815986753e-01  6.170240081489932e-01  7.490000009331913e-01  7.510000009211660e-01  0.000000000000000e+00 
 3.056000000000001e-09  6.170239714597242e-01  6.170241192674043e-01  7.490000009416258e-01  7.510000009325908e-01  0.000000000000000e+00 
 3.256000000000001e-09  6.170241930992122e-01  6.170238956568483e-01  7.490000009246507e-01  7.510000009095932e-01  0.000000000000000e+00 
 3.456000000000001e-09  6.170237470811643e-01  6.170243456418619e-01  7.490000009588104e-01  7.510000009558648e-01  0.000000000000000e+00 
 3.656000000000001e-09  6.170246446298260e-01  6.170234401111068e-01  7.490000008900686e-01  7.510000008627563e-01  0.000000000000000e+00 
 3.856000000000001e-09  6.170228384404496e-01  6.170252623655975e-01  7.490000010284000e-01  7.510000010501304e-01  0.000000000000000e+00 
