 time                   v(q)                   v(qb)                  v(inp)                 v(inn)                 v(clk)                
 0.000000000000000e+00  6.190214247341176e-01  6.225625131386541e-01  7.459375009538005e-01  7.540625009075673e-01  0.000000000000000e+00 
 2.000000000000000e-12  6.190214247341084e-01  6.225625131386506e-01  7.459375009538005e-01  7.540625009075672e-01  0.000000000000000e+00 
 4.000000000000001e-12  6.190214247340972e-01  6.225625131386406e-01  7.459375009538005e-01  7.540625009075671e-01  0.000000000000000e+00 
 8.000000000000001e-12  6.190214247340706e-01  6.225625131386261e-01  7.459375009538005e-01  7.540625009075669e-01  0.000000000000000e+00 
 1.600000000000000e-11  6.190214247340085e-01  6.225625131385981e-01  7.459375009538005e-01  7.540625009075665e-01  0.000000000000000e+00 
 3.200000000000001e-11  6.190214247339769e-01  6.225625131385999e-01  7.459375009538005e-01  7.540625009075664e-01  0.000000000000000e+00 
 6.400000000000001e-11  6.190214247339141e-01  6.225625131386230e-01  7.459375009538008e-01  7.540625009075658e-01  0.000000000000000e+00 
 1.280000000000000e-10  6.190214247336097e-01  6.225625131388014e-01  7.459375009538013e-01  7.540625009075649e-01  0.000000000000000e+00 
 2.560000000000000e-10  6.190214247302926e-01  6.225625131423023e-01  7.459375009537991e-01  7.540625009075627e-01  0.000000000000000e+00 
 4.560000000000001e-10  6.190214247653014e-01  6.225625131066801e-01  7.459375009537972e-01  7.540625009075560e-01  0.000000000000000e+00 
 6.560000000000001e-10  6.190214244654502e-01  6.225625134098791e-01  7.459375009538245e-01  7.540625009075853e-01  0.000000000000000e+00 
 8.560000000000001e-10  6.190214270238233e-01  6.225625108252952e-01  7.459375009536322e-01  7.540625009073183e-01  0.000000000000000e+00 
 1.056000000000000e-09  6.190214052052702e-01  6.225625328677620e-01  7.459375009553015e-01  7.540625009095747e-01  0.000000000000000e+00 
 1.256000000000000e-09  6.190215912847346e-01  6.225623448771989e-01  7.459375009410933e-01  7.540625008903195e-01  0.000000000000000e+00 
 1.456000000000000e-09  6.190200043044685e-01  6.225639481576544e-01  7.459375010622993e-01  7.540625010545010e-01  0.000000000000000e+00 
 1.656000000000000e-09  6.190335388975886e-01  6.225502745900177e-01  7.459375000286305e-01  7.540624996542538e-01  0.000000000000000e+00 
 1.856000000000000e-09  6.189181043138349e-01  6.226668840119758e-01  7.459375088434872e-01  7.540625115954677e-01  0.000000000000000e+00 
 2.056000000000000e-09  6.199021958797590e-01  6.216719078489705e-01  7.459374335956858e-01  7.540624096890968e-01  0.000000000000000e+00 
 2.173282146041172e-09  6.249598692527165e-01  6.165327662325297e-01  7.459370436371499e-01  7.540618825526094e-01  0.000000000000000e+00 
 2.208691996586083e-09  6.283806461441652e-01  6.130414973265990e-01  7.459367775645982e-01  7.540615236004119e-01  0.000000000000000e+00 
 2.266736250030788e-09  6.391612341295501e-01  6.019074362496615e-01  7.459359221769731e-01  7.540603746506128e-01  0.000000000000000e+00 
 2.307139504654419e-09  6.528231540258709e-01  5.875613055457232e-01  7.459348062037565e-01  7.540588851260386e-01  0.000000000000000e+00 
 2.337521062843765e-09  6.686150938915265e-01  5.706371968295501e-01  7.459334700709692e-01  7.540571150013151e-01  0.000000000000000e+00 
 2.363931325126780e-09  6.879982582988649e-01  5.493553508545750e-01  7.459317622966007e-01  7.540548712655744e-01  0.000000000000000e+00 
 2.388706164007478e-09  7.127373014894879e-01  5.213891532691262e-01  7.459294766631873e-01  7.540518964186510e-01  0.000000000000000e+00 
 2.412298527400399e-09  7.440968018011637e-01  4.847047931843966e-01  7.459264191106612e-01  7.540479573505146e-01  0.000000000000000e+00 
 2.434964002011388e-09  7.834228546664226e-01  4.368740877898742e-01  7.459223517970686e-01  7.540427732220475e-01  0.000000000000000e+00 
 2.458099702957486e-09  8.347735431874072e-01  3.713943381326806e-01  7.459166650332874e-01  7.540356108629785e-01  0.000000000000000e+00 
 2.484147675889919e-09  9.054208972215643e-01  2.751813710421986e-01  7.459081562519067e-01  7.540250459559086e-01  0.000000000000000e+00 
 2.501818039911105e-09  9.572417889835075e-01  2.004603249726919e-01  7.459016453653806e-01  7.540170230169598e-01  0.000000000000000e+00 
 2.511959454794759e-09  9.863927131742067e-01  1.581086598323188e-01  7.458982046684443e-01  7.540127449098177e-01  0.000000000000000e+00 
 2.521838875324561e-09  1.013586933220926e+00  1.208284558169314e-01  7.458955755037395e-01  7.540093623060432e-01  0.000000000000000e+00 
 2.535100884791449e-09  1.047658870722274e+00  8.047668454530220e-02  7.458934539600209e-01  7.540063646556933e-01  0.000000000000000e+00 
 2.548655558525904e-09  1.078942020717519e+00  5.151650370401295e-02  7.458926635233486e-01  7.540048572112978e-01  0.000000000000000e+00 
 2.564358247315615e-09  1.109733568986232e+00  3.061979023861230e-02  7.458926668956137e-01  7.540042525276237e-01  0.000000000000000e+00 
 2.578874181390118e-09  1.132599012441173e+00  1.943241897557856e-02  7.458929827113800e-01  7.540041939902209e-01  0.000000000000000e+00 
 2.595644418296156e-09  1.152750394442736e+00  1.191586435527667e-02  7.458934315375784e-01  7.540043890572126e-01  0.000000000000000e+00 
 2.612558963797838e-09  1.167389916811260e+00  7.568183381579413e-03  7.458939440974188e-01  7.540047929391721e-01  0.000000000000000e+00 
 2.635290684707728e-09  1.180501753881825e+00  4.244179798300230e-03  7.458947276521500e-01  7.540055886415954e-01  0.000000000000000e+00 
 2.661041280756230e-09  1.189253406195938e+00  2.268169109317273e-03  7.458957113956477e-01  7.540067257463997e-01  0.000000000000000e+00 
 2.693184165729981e-09  1.194990673804684e+00  1.041437476133843e-03  7.458969874621336e-01  7.540083044015473e-01  0.000000000000000e+00 
 2.727811135145461e-09  1.197822381221007e+00  4.506366509617696e-04  7.458983461425157e-01  7.540100530830859e-01  0.000000000000000e+00 
 2.772621521868246e-09  1.199294901705411e+00  1.454749754455434e-04  7.459000338036540e-01  7.540122747360894e-01  0.000000000000000e+00 
 2.827507687887291e-09  1.199837877906194e+00  3.353619813862597e-05  7.459019929917377e-01  7.540148846837300e-01  0.000000000000000e+00 
 2.907507351321343e-09  1.199992449789572e+00  1.573944455796929e-06  7.459046596789717e-01  7.540184538816441e-01  0.000000000000000e+00 
 3.022453048436866e-09  1.200000809264162e+00 -6.687624494417996e-08  7.459081440550676e-01  7.540231231988773e-01  0.000000000000000e+00 
 3.222453048436866e-09  1.199999398256315e+00  1.454377606194268e-07  7.459133584419165e-01  7.540301122317251e-01  0.000000000000000e+00 
 3.422453048436866e-09  1.199999970835420e+00  1.015685776972579e-07  7.459176471001872e-01  7.540358611789177e-01  0.000000000000000e+00 
 3.622453048436866e-09  1.199999724133548e+00  7.995347778657659e-08  7.459211738983352e-01  7.540405897215725e-01  0.000000000000000e+00 
 3.822453048436866e-09  1.199999844112509e+00  1.242724135862641e-07  7.459240746302617e-01  7.540444793292992e-01  0.000000000000000e+00 
 4.022453048436866e-09  1.199999772142661e+00  7.165611129716226e-08  7.459264599951524e-01  7.540476784961605e-01  0.000000000000000e+00 
 4.222453048436866e-09  1.199999826062896e+00  1.252224854939119e-07  7.459284219840773e-01  7.540503101240299e-01  0.000000000000000e+00 
 4.422453048436866e-09  1.199999777915084e+00  7.200411199920209e-08  7.459300353237218e-01  7.540524745612818e-01  0.000000000000000e+00 
 4.622453048436866e-09  1.199999824525293e+00  1.232146489009607e-07  7.459313623788925e-01  7.540542550739011e-01  0.000000000000000e+00 
 4.822453048436867e-09  1.199999777430852e+00  7.358694992611915e-08  7.459324535490303e-01  7.540557194441287e-01  0.000000000000000e+00 
 5.022453048436867e-09  1.199999825403083e+00  1.210278531935550e-07  7.459333511561241e-01  7.540569241148467e-01  0.000000000000000e+00 
 5.222453048436867e-09  1.199999776165074e+00  7.527367972275274e-08  7.459340891505337e-01  7.540579148409694e-01  0.000000000000000e+00 
 5.422453048436867e-09  1.199999826539486e+00  1.190254286128050e-07  7.459346962928844e-01  7.540587299120080e-01  0.000000000000000e+00 
 5.622453048436867e-09  1.199999774932515e+00  7.689175536627728e-08  7.459351954129912e-01  7.540594001852113e-01  0.000000000000000e+00 
