 time                   v(q)                   v(qb)                  v(inp)                 v(inn)                 v(clk)                
 0.000000000000000e+00  1.199999923251532e+00  2.761682383923550e-08  4.900000017632465e-01  5.100000016052733e-01  0.000000000000000e+00 
 2.000000000000000e-12  1.199999923251514e+00  2.761681911801761e-08  4.900000017632466e-01  5.100000016052734e-01  0.000000000000000e+00 
 4.000000000000001e-12  1.199999923251505e+00  2.761681713869812e-08  4.900000017632465e-01  5.100000016052735e-01  0.000000000000000e+00 
 8.000000000000001e-12  1.199999923251487e+00  2.761681397803195e-08  4.900000017632465e-01  5.100000016052736e-01  0.000000000000000e+00 
 1.600000000000000e-11  1.199999923251464e+00  2.761681328370888e-08  4.900000017632466e-01  5.100000016052738e-01  0.000000000000000e+00 
 3.200000000000001e-11  1.199999923251488e+00  2.761682672781582e-08  4.900000017632463e-01  5.100000016052735e-01  0.000000000000000e+00 
 6.400000000000001e-11  1.199999923251501e+00  2.761682521047488e-08  4.900000017632452e-01  5.100000016052726e-01  0.000000000000000e+00 
 1.280000000000000e-10  1.199999923251472e+00  2.761682043928059e-08  4.900000017632434e-01  5.100000016052739e-01  0.000000000000000e+00 
 2.560000000000000e-10  1.199999923251573e+00  2.761683105734003e-08  4.900000017632401e-01  5.100000016052778e-01  0.000000000000000e+00 
 5.120000000000001e-10  1.199999923251573e+00  2.761681745160226e-08  4.900000017632314e-01  5.100000016052822e-01  0.000000000000000e+00 
 1.024000000000000e-09  1.199999923251388e+00  2.761682691681174e-08  4.900000017632170e-01  5.100000016052885e-01  0.000000000000000e+00 
 2.024000000000000e-09  1.199999923251511e+00  2.761682149704771e-08  4.900000017632172e-01  5.100000016052868e-01  0.000000000000000e+00 
 3.024000000000000e-09  1.199999923251692e+00  2.761682700085202e-08  4.900000017632258e-01  5.100000016052952e-01  0.000000000000000e+00 
 4.024000000000000e-09  1.199999923251478e+00  2.761681898308420e-08  4.900000017632287e-01  5.100000016053072e-01  0.000000000000000e+00 
 5.024000000000000e-09  1.199999923251576e+00  2.761682896777560e-08  4.900000017632297e-01  5.100000016053113e-01  0.000000000000000e+00 
 6.024000000000000e-09  1.199999923251594e+00  2.761681859748812e-08  4.900000017632298e-01  5.100000016053038e-01  0.000000000000000e+00 
 7.024000000000000e-09  1.199999923251575e+00  2.761682829936920e-08  4.900000017632299e-01  5.100000016052999e-01  0.000000000000000e+00 
 8.024000000000000e-09  1.199999923251586e+00  2.761681932945016e-08  4.900000017632301e-01  5.100000016053077e-01  0.000000000000000e+00 
 9.024000000000000e-09  1.199999923251665e+00  2.761682855733287e-08  4.900000017632300e-01  5.100000016053103e-01  0.000000000000000e+00 
 1.002400000000000e-08  1.199999923251526e+00  2.761681820638612e-08  4.900000017632208e-01  5.100000016053112e-01  0.000000000000000e+00 
