 time                   v(clk)                 v(xt.icmp)             v(xt.vth_soft)         v(xt.vth_hard)         v(cmp_soft)            v(cmp_hard)            v(isense)             
 0.000000000000000e+00  0.000000000000000e+00  7.747353901833911e-01  7.383850259399711e-01  9.840375731909886e-01  6.105027418684074e-01  3.453335254473154e-08  1.550156004247967e+00 
 2.000000000000000e-12  0.000000000000000e+00  7.747353901833935e-01  7.383850259399710e-01  9.840375731909906e-01  6.105027418683960e-01  3.453335223248949e-08  1.550156004247995e+00 
 4.000000000000001e-12  0.000000000000000e+00  7.747353901833959e-01  7.383850259399711e-01  9.840375731909924e-01  6.105027418683859e-01  3.453335188250903e-08  1.550156004248026e+00 
 8.000000000000001e-12  0.000000000000000e+00  7.747353901834003e-01  7.383850259399712e-01  9.840375731909962e-01  6.105027418683647e-01  3.453335078052594e-08  1.550156004248085e+00 
 1.600000000000000e-11  0.000000000000000e+00  7.747353901834112e-01  7.383850259399833e-01  9.840375731909968e-01  6.105027418683491e-01  3.453335068750139e-08  1.550156004248145e+00 
 3.200000000000001e-11  0.000000000000000e+00  7.747353901834315e-01  7.383850259399969e-01  9.840375731910026e-01  6.105027418683933e-01  3.453334238652430e-08  1.550156004248131e+00 
 6.400000000000001e-11  0.000000000000000e+00  7.747353901834196e-01  7.383850259399865e-01  9.840375731910074e-01  6.105027418686778e-01  3.453335115784185e-08  1.550156004248056e+00 
 1.280000000000000e-10  0.000000000000000e+00  7.747353901834123e-01  7.383850259400410e-01  9.840375731909539e-01  6.105027418748709e-01  3.453336215075741e-08  1.550156004247897e+00 
 2.560000000000000e-10  0.000000000000000e+00  7.747353901835161e-01  7.383850259400920e-01  9.840375731910807e-01  6.105027418416481e-01  3.453334829945802e-08  1.550156004247006e+00 
 5.120000000000001e-10  0.000000000000000e+00  7.747353901839358e-01  7.383850259401039e-01  9.840375731914092e-01  6.105027419180901e-01  3.453335744280178e-08  1.550156004246146e+00 
 1.024000000000000e-09  0.000000000000000e+00  7.747353901841538e-01  7.383850259394557e-01  9.840375731915673e-01  6.105027418010855e-01  3.453334681969740e-08  1.550156004248689e+00 
 2.024000000000000e-09  0.000000000000000e+00  7.747353901830619e-01  7.383850259394948e-01  9.840375731908690e-01  6.105027419466470e-01  3.453335772507661e-08  1.550156004244932e+00 
 3.024000000000000e-09  0.000000000000000e+00  7.747353901831233e-01  7.383850259422742e-01  9.840375731889260e-01  6.105027417768181e-01  3.453334721460384e-08  1.550156004243271e+00 
 4.024000000000000e-09  0.000000000000000e+00  7.747353901831784e-01  7.383850259444219e-01  9.840375731876455e-01  6.105027419750054e-01  3.453335767916382e-08  1.550156004253780e+00 
 5.024000000000000e-09  0.000000000000000e+00  7.747353901833424e-01  7.383850259456856e-01  9.840375731873257e-01  6.105027417435837e-01  3.453334759193629e-08  1.550156004265610e+00 
 6.024000000000000e-09  0.000000000000000e+00  7.747353901836781e-01  7.383850259463542e-01  9.840375731876395e-01  6.105027420134396e-01  3.453335774077466e-08  1.550156004277428e+00 
 7.024000000000000e-09  0.000000000000000e+00  7.747353901841763e-01  7.383850259478760e-01  9.840375731882643e-01  6.105027416987321e-01  3.453334705074606e-08  1.550156004289322e+00 
 8.024000000000000e-09  0.000000000000000e+00  7.747353901848283e-01  7.383850259501353e-01  9.840375731889762e-01  6.105027420656737e-01  3.453335777981940e-08  1.550156004301309e+00 
 9.024000000000000e-09  0.000000000000000e+00  7.747353901856602e-01  7.383850259517121e-01  9.840375731896508e-01  6.105027416376264e-01  3.453334716519033e-08  1.550156004313320e+00 
 1.002400000000000e-08  0.000000000000000e+00  7.747353901866870e-01  7.383850259527015e-01  9.840375731902803e-01  6.105027421371063e-01  3.453335765930130e-08  1.550156004325321e+00 
 1.102400000000000e-08  0.000000000000000e+00  7.747353901879098e-01  7.383850259533475e-01  9.840375731908405e-01  6.105027415546515e-01  3.453334737679338e-08  1.550156004337259e+00 
 1.202400000000000e-08  0.000000000000000e+00  7.747353901893096e-01  7.383850259538276e-01  9.840375731912931e-01  6.105027422339171e-01  3.453335750668084e-08  1.550156004349221e+00 
 1.302400000000000e-08  0.000000000000000e+00  7.747353901908713e-01  7.383850259542376e-01  9.840375731916919e-01  6.105027414415112e-01  3.453334848873558e-08  1.550156004361239e+00 
