 time                   v(clk)                 v(xt.icmp)             v(xt.vth_soft)         v(xt.vth_hard)         v(cmp_soft)            v(cmp_hard)            v(isense)             
 0.000000000000000e+00  0.000000000000000e+00  7.805841959257012e-01  7.781261226407142e-01  8.132566771415569e-01  6.142948434556053e-01  1.199999922279133e+00  1.561855187546708e+00 
 2.000000000000000e-12  0.000000000000000e+00  7.805841959257005e-01  7.781261226407133e-01  8.132566771415569e-01  6.142948434556104e-01  1.199999922279139e+00  1.561855187546724e+00 
 4.000000000000001e-12  0.000000000000000e+00  7.805841959256995e-01  7.781261226407125e-01  8.132566771415569e-01  6.142948434556136e-01  1.199999922279156e+00  1.561855187546741e+00 
 8.000000000000001e-12  0.000000000000000e+00  7.805841959256962e-01  7.781261226407082e-01  8.132566771415553e-01  6.142948434556212e-01  1.199999922279160e+00  1.561855187546757e+00 
 1.600000000000000e-11  0.000000000000000e+00  7.805841959256944e-01  7.781261226407045e-01  8.132566771415500e-01  6.142948434556114e-01  1.199999922279215e+00  1.561855187546828e+00 
 3.200000000000001e-11  0.000000000000000e+00  7.805841959257165e-01  7.781261226406908e-01  8.132566771415684e-01  6.142948434556108e-01  1.199999922279287e+00  1.561855187546713e+00 
 6.400000000000001e-11  0.000000000000000e+00  7.805841959257371e-01  7.781261226406730e-01  8.132566771415488e-01  6.142948434555195e-01  1.199999922279228e+00  1.561855187546688e+00 
 1.280000000000000e-10  0.000000000000000e+00  7.805841959257392e-01  7.781261226406033e-01  8.132566771414769e-01  6.142948434527576e-01  1.199999922279203e+00  1.561855187546747e+00 
 2.560000000000000e-10  0.000000000000000e+00  7.805841959257197e-01  7.781261226407843e-01  8.132566771414392e-01  6.142948434620552e-01  1.199999922279136e+00  1.561855187546510e+00 
 4.560000000000001e-10  0.000000000000000e+00  7.805841959255456e-01  7.781261226408432e-01  8.132566771415444e-01  6.142948434494369e-01  1.199999922279268e+00  1.561855187546496e+00 
 6.560000000000001e-10  0.000000000000000e+00  7.805841959255091e-01  7.781261226412746e-01  8.132566771413784e-01  6.142948434605391e-01  1.199999922279256e+00  1.561855187546775e+00 
 8.560000000000001e-10  0.000000000000000e+00  7.805841959255173e-01  7.781261226418010e-01  8.132566771411426e-01  6.142948434516456e-01  1.199999922279235e+00  1.561855187547054e+00 
 1.056000000000000e-09  0.000000000000000e+00  7.805841959255411e-01  7.781261226426714e-01  8.132566771409003e-01  6.142948434591202e-01  1.199999922279202e+00  1.561855187547259e+00 
 1.256000000000000e-09  0.000000000000000e+00  7.805841959255716e-01  7.781261226435976e-01  8.132566771406746e-01  6.142948434526639e-01  1.199999922279259e+00  1.561855187547371e+00 
 1.456000000000000e-09  0.000000000000000e+00  7.805841959255990e-01  7.781261226444809e-01  8.132566771404689e-01  6.142948434581810e-01  1.199999922279241e+00  1.561855187547405e+00 
 1.656000000000000e-09  0.000000000000000e+00  7.805841959256290e-01  7.781261226452909e-01  8.132566771402896e-01  6.142948434533982e-01  1.199999922279315e+00  1.561855187547373e+00 
 1.856000000000000e-09  0.000000000000000e+00  7.805841959256573e-01  7.781261226460235e-01  8.132566771401225e-01  6.142948434574143e-01  1.199999922279219e+00  1.561855187547295e+00 
 2.056000000000000e-09  0.000000000000000e+00  7.805841959256893e-01  7.781261226466856e-01  8.132566771399784e-01  6.142948434540471e-01  1.199999922279263e+00  1.561855187547184e+00 
 2.256000000000000e-09  0.000000000000000e+00  7.805841959257181e-01  7.781261226472781e-01  8.132566771398430e-01  6.142948434568795e-01  1.199999922279247e+00  1.561855187547045e+00 
 2.456000000000000e-09  0.000000000000000e+00  7.805841959257495e-01  7.781261226478058e-01  8.132566771397172e-01  6.142948434545411e-01  1.199999922279409e+00  1.561855187546894e+00 
 2.656000000000000e-09  0.000000000000000e+00  7.805841959257801e-01  7.781261226482824e-01  8.132566771396061e-01  6.142948434564253e-01  1.199999922279448e+00  1.561855187546735e+00 
 2.856000000000000e-09  0.000000000000000e+00  7.805841959258123e-01  7.781261226487146e-01  8.132566771395097e-01  6.142948434549068e-01  1.199999922279313e+00  1.561855187546565e+00 
 3.056000000000001e-09  0.000000000000000e+00  7.805841959258407e-01  7.781261226494405e-01  8.132566771394218e-01  6.142948434562308e-01  1.199999922279207e+00  1.561855187546393e+00 
 3.256000000000001e-09  0.000000000000000e+00  7.805841959258750e-01  7.781261226502093e-01  8.132566771393426e-01  6.142948434550974e-01  1.199999922279346e+00  1.561855187546217e+00 
 3.456000000000001e-09  0.000000000000000e+00  7.805841959259093e-01  7.781261226509417e-01  8.132566771392695e-01  6.142948434561262e-01  1.199999922279269e+00  1.561855187546039e+00 
 3.656000000000001e-09  0.000000000000000e+00  7.805841959259365e-01  7.781261226516167e-01  8.132566771392021e-01  6.142948434551906e-01  1.199999922279249e+00  1.561855187545855e+00 
 3.856000000000001e-09  0.000000000000000e+00  7.805841959259646e-01  7.781261226522291e-01  8.132566771391387e-01  6.142948434560548e-01  1.199999922279326e+00  1.561855187545674e+00 
 4.056000000000001e-09  0.000000000000000e+00  7.805841959259935e-01  7.781261226527874e-01  8.132566771390790e-01  6.142948434553600e-01  1.199999922279339e+00  1.561855187545496e+00 
 4.256000000000001e-09  0.000000000000000e+00  7.805841959260221e-01  7.781261226532901e-01  8.132566771390224e-01  6.142948434558234e-01  1.199999922279253e+00  1.561855187545314e+00 
 4.456000000000001e-09  0.000000000000000e+00  7.805841959260490e-01  7.781261226537451e-01  8.132566771389700e-01  6.142948434552734e-01  1.199999922279329e+00  1.561855187545129e+00 
 4.656000000000001e-09  0.000000000000000e+00  7.805841959260719e-01  7.781261226541568e-01  8.132566771389209e-01  6.142948434557953e-01  1.199999922279431e+00  1.561855187544944e+00 
 4.856000000000001e-09  0.000000000000000e+00  7.805841959260905e-01  7.781261226545297e-01  8.132566771388726e-01  6.142948434552920e-01  1.199999922279288e+00  1.561855187544759e+00 
 5.056000000000002e-09  0.000000000000000e+00  7.805841959261069e-01  7.781261226548681e-01  8.132566771388288e-01  6.142948434557819e-01  1.199999922279275e+00  1.561855187544573e+00 
 5.256000000000002e-09  0.000000000000000e+00  7.805841959261227e-01  7.781261226551730e-01  8.132566771387931e-01  6.142948434553035e-01  1.199999922279260e+00  1.561855187544391e+00 
 5.456000000000002e-09  0.000000000000000e+00  7.805841959261353e-01  7.781261226554504e-01  8.132566771387533e-01  6.142948434557717e-01  1.199999922279237e+00  1.561855187544202e+00 
 5.656000000000002e-09  0.000000000000000e+00  7.805841959261520e-01  7.781261226560404e-01  8.132566771387162e-01  6.142948434553107e-01  1.199999922279396e+00  1.561855187544017e+00 
 5.856000000000002e-09  0.000000000000000e+00  7.805841959261541e-01  7.781261226566952e-01  8.132566771386857e-01  6.142948434557605e-01  1.199999922279324e+00  1.561855187543833e+00 
 6.056000000000002e-09  0.000000000000000e+00  7.805841959261559e-01  7.781261226573292e-01  8.132566771386572e-01  6.142948434554228e-01  1.199999922279331e+00  1.561855187543651e+00 
 6.256000000000002e-09  0.000000000000000e+00  7.805841959261556e-01  7.781261226579201e-01  8.132566771386283e-01  6.142948434555779e-01  1.199999922279428e+00  1.561855187543462e+00 
 6.456000000000003e-09  0.000000000000000e+00  7.805841959261639e-01  7.781261226584570e-01  8.132566771385997e-01  6.142948434554252e-01  1.199999922279284e+00  1.561855187543281e+00 
 6.656000000000003e-09  0.000000000000000e+00  7.805841959261653e-01  7.781261226589448e-01  8.132566771385727e-01  6.142948434554949e-01  1.199999922279269e+00  1.561855187543102e+00 
 6.856000000000003e-09  0.000000000000000e+00  7.805841959261668e-01  7.781261226593842e-01  8.132566771385473e-01  6.142948434554866e-01  1.199999922279249e+00  1.561855187542922e+00 
 7.056000000000003e-09  0.000000000000000e+00  7.805841959261649e-01  7.781261226597803e-01  8.132566771385288e-01  6.142948434555914e-01  1.199999922279325e+00  1.561855187542742e+00 
 7.256000000000003e-09  0.000000000000000e+00  7.805841959261649e-01  7.781261226601363e-01  8.132566771385101e-01  6.142948434554860e-01  1.199999922279337e+00  1.561855187542554e+00 
 7.456000000000002e-09  0.000000000000000e+00  7.805841959261646e-01  7.781261226604582e-01  8.132566771384920e-01  6.142948434555763e-01  1.199999922279335e+00  1.561855187542372e+00 
 7.656000000000003e-09  0.000000000000000e+00  7.805841959261612e-01  7.781261226607449e-01  8.132566771384757e-01  6.142948434555014e-01  1.199999922279246e+00  1.561855187542195e+00 
 7.856000000000003e-09  0.000000000000000e+00  7.805841959261524e-01  7.781261226610067e-01  8.132566771384592e-01  6.142948434555637e-01  1.199999922279317e+00  1.561855187542014e+00 
 8.056000000000003e-09  0.000000000000000e+00  7.805841959261438e-01  7.781261226612449e-01  8.132566771384415e-01  6.142948434556122e-01  1.199999922279221e+00  1.561855187541831e+00 
 8.256000000000003e-09  0.000000000000000e+00  7.805841959261499e-01  7.781261226614626e-01  8.132566771384256e-01  6.142948434555150e-01  1.199999922279178e+00  1.561855187541645e+00 
 8.456000000000003e-09  0.000000000000000e+00  7.805841959261556e-01  7.781261226616618e-01  8.132566771384144e-01  6.142948434556601e-01  1.199999922279217e+00  1.561855187541459e+00 
 8.656000000000003e-09  0.000000000000000e+00  7.805841959261541e-01  7.781261226618406e-01  8.132566771383982e-01  6.142948434554680e-01  1.199999922279178e+00  1.561855187541277e+00 
 8.856000000000003e-09  0.000000000000000e+00  7.805841959261470e-01  7.781261226620038e-01  8.132566771383799e-01  6.142948434554637e-01  1.199999922279218e+00  1.561855187541094e+00 
 9.056000000000003e-09  0.000000000000000e+00  7.805841959261507e-01  7.781261226621549e-01  8.132566771383610e-01  6.142948434554052e-01  1.199999922279180e+00  1.561855187540910e+00 
 9.256000000000004e-09  0.000000000000000e+00  7.805841959261512e-01  7.781261226626301e-01  8.132566771383443e-01  6.142948434554530e-01  1.199999922279221e+00  1.561855187540732e+00 
 9.456000000000004e-09  0.000000000000000e+00  7.805841959261542e-01  7.781261226631826e-01  8.132566771383246e-01  6.142948434555173e-01  1.199999922279182e+00  1.561855187540550e+00 
 9.656000000000004e-09  0.000000000000000e+00  7.805841959261444e-01  7.781261226637266e-01  8.132566771383045e-01  6.142948434555338e-01  1.199999922279223e+00  1.561855187540369e+00 
 9.856000000000004e-09  0.000000000000000e+00  7.805841959261460e-01  7.781261226642348e-01  8.132566771382856e-01  6.142948434555335e-01  1.199999922279185e+00  1.561855187540189e+00 
 1.005600000000000e-08  0.000000000000000e+00  7.805841959261381e-01  7.781261226646983e-01  8.132566771382670e-01  6.142948434555331e-01  1.199999922279229e+00  1.561855187540013e+00 
 1.025600000000000e-08  0.000000000000000e+00  7.805841959261393e-01  7.781261226651187e-01  8.132566771382536e-01  6.142948434555334e-01  1.199999922279193e+00  1.561855187539837e+00 
 1.045600000000000e-08  0.000000000000000e+00  7.805841959261363e-01  7.781261226654973e-01  8.132566771382381e-01  6.142948434555333e-01  1.199999922279328e+00  1.561855187539656e+00 
 1.065600000000000e-08  0.000000000000000e+00  7.805841959261340e-01  7.781261226658396e-01  8.132566771382190e-01  6.142948434555332e-01  1.199999922279342e+00  1.561855187539477e+00 
 1.085600000000000e-08  0.000000000000000e+00  7.805841959261314e-01  7.781261226661496e-01  8.132566771381989e-01  6.142948434556390e-01  1.199999922279255e+00  1.561855187539301e+00 
 1.105600000000000e-08  0.000000000000000e+00  7.805841959261285e-01  7.781261226664328e-01  8.132566771381791e-01  6.142948434554872e-01  1.199999922279229e+00  1.561855187539125e+00 
 1.125600000000000e-08  0.000000000000000e+00  7.805841959261239e-01  7.781261226666913e-01  8.132566771381595e-01  6.142948434555777e-01  1.199999922279189e+00  1.561855187538946e+00 
 1.145600000000001e-08  0.000000000000000e+00  7.805841959261203e-01  7.781261226669269e-01  8.132566771381475e-01  6.142948434554949e-01  1.199999922279236e+00  1.561855187538765e+00 
 1.165600000000001e-08  0.000000000000000e+00  7.805841959261151e-01  7.781261226671430e-01  8.132566771381305e-01  6.142948434555396e-01  1.199999922279203e+00  1.561855187538580e+00 
 1.185600000000001e-08  0.000000000000000e+00  7.805841959261085e-01  7.781261226673389e-01  8.132566771381108e-01  6.142948434555452e-01  1.199999922279342e+00  1.561855187538394e+00 
 1.205600000000001e-08  0.000000000000000e+00  7.805841959261002e-01  7.781261226675149e-01  8.132566771380900e-01  6.142948434555267e-01  1.199999922279261e+00  1.561855187538209e+00 
 1.225600000000001e-08  0.000000000000000e+00  7.805841959260915e-01  7.781261226676748e-01  8.132566771380707e-01  6.142948434555430e-01  1.199999922279236e+00  1.561855187538019e+00 
 1.245600000000001e-08  0.000000000000000e+00  7.805841959260837e-01  7.781261226678248e-01  8.132566771380600e-01  6.142948434555254e-01  1.199999922279200e+00  1.561855187537828e+00 
 1.265600000000001e-08  0.000000000000000e+00  7.805841959260748e-01  7.781261226679576e-01  8.132566771380428e-01  6.142948434556466e-01  1.199999922279250e+00  1.561855187537636e+00 
 1.285600000000001e-08  0.000000000000000e+00  7.805841959260654e-01  7.781261226680789e-01  8.132566771380233e-01  6.142948434554811e-01  1.199999922279328e+00  1.561855187537445e+00 
 1.305600000000001e-08  0.000000000000000e+00  7.805841959260525e-01  7.781261226681860e-01  8.132566771380065e-01  6.142948434555859e-01  1.199999922279340e+00  1.561855187537253e+00 
 1.325600000000001e-08  0.000000000000000e+00  7.805841959260419e-01  7.781261226682824e-01  8.132566771379950e-01  6.142948434554891e-01  1.199999922279252e+00  1.561855187537060e+00 
 1.345600000000001e-08  0.000000000000000e+00  7.805841959260326e-01  7.781261226683747e-01  8.132566771379792e-01  6.142948434555757e-01  1.199999922279326e+00  1.561855187536874e+00 
 1.365600000000001e-08  0.000000000000000e+00  7.805841959260290e-01  7.781261226684616e-01  8.132566771379610e-01  6.142948434554983e-01  1.199999922279336e+00  1.561855187536686e+00 
 1.385600000000001e-08  0.000000000000000e+00  7.805841959260247e-01  7.781261226685391e-01  8.132566771379445e-01  6.142948434555640e-01  1.199999922279245e+00  1.561855187536490e+00 
 1.405600000000001e-08  0.000000000000000e+00  7.805841959260184e-01  7.781261226686128e-01  8.132566771379270e-01  6.142948434555062e-01  1.199999922279401e+00  1.561855187536294e+00 
 1.425600000000001e-08  0.000000000000000e+00  7.805841959260110e-01  7.781261226686814e-01  8.132566771379156e-01  6.142948434556638e-01  1.199999922279348e+00  1.561855187536100e+00 
 1.445600000000001e-08  0.000000000000000e+00  7.805841959260031e-01  7.781261226687421e-01  8.132566771379003e-01  6.142948434554667e-01  1.199999922279259e+00  1.561855187535909e+00 
 1.465600000000001e-08  0.000000000000000e+00  7.805841959259991e-01  7.781261226687974e-01  8.132566771378900e-01  6.142948434554643e-01  1.199999922279232e+00  1.561855187535722e+00 
 1.485600000000001e-08  0.000000000000000e+00  7.805841959259922e-01  7.781261226688541e-01  8.132566771378754e-01  6.142948434554093e-01  1.199999922279194e+00  1.561855187535536e+00 
 1.505600000000001e-08  0.000000000000000e+00  7.805841959259836e-01  7.781261226689093e-01  8.132566771378589e-01  6.142948434554512e-01  1.199999922279242e+00  1.561855187535349e+00 
 1.525600000000000e-08  0.000000000000000e+00  7.805841959259714e-01  7.781261226692984e-01  8.132566771378424e-01  6.142948434554145e-01  1.199999922279313e+00  1.561855187535160e+00 
 1.545600000000000e-08  0.000000000000000e+00  7.805841959259605e-01  7.781261226697689e-01  8.132566771378325e-01  6.142948434554455e-01  1.199999922279216e+00  1.561855187534972e+00 
 1.565600000000000e-08  0.000000000000000e+00  7.805841959259533e-01  7.781261226702355e-01  8.132566771378195e-01  6.142948434554196e-01  1.199999922279168e+00  1.561855187534786e+00 
 1.585600000000000e-08  0.000000000000000e+00  7.805841959259434e-01  7.781261226706740e-01  8.132566771378045e-01  6.142948434554421e-01  1.199999922279305e+00  1.561855187534596e+00 
 1.605600000000000e-08  0.000000000000000e+00  7.805841959259325e-01  7.781261226710723e-01  8.132566771377914e-01  6.142948434554228e-01  1.199999922279205e+00  1.561855187534403e+00 
 1.625600000000000e-08  0.000000000000000e+00  7.805841959259205e-01  7.781261226714353e-01  8.132566771377777e-01  6.142948434554397e-01  1.199999922279342e+00  1.561855187534213e+00 
 1.645600000000000e-08  0.000000000000000e+00  7.805841959259061e-01  7.781261226717671e-01  8.132566771377687e-01  6.142948434554246e-01  1.199999922279259e+00  1.561855187534023e+00 
 1.665599999999999e-08  0.000000000000000e+00  7.805841959258939e-01  7.781261226720688e-01  8.132566771377543e-01  6.142948434554368e-01  1.199999922279231e+00  1.561855187533832e+00 
 1.685599999999999e-08  0.000000000000000e+00  7.805841959258794e-01  7.781261226723439e-01  8.132566771377406e-01  6.142948434554300e-01  1.199999922279193e+00  1.561855187533640e+00 
 1.705599999999999e-08  0.000000000000000e+00  7.805841959258597e-01  7.781261226725893e-01  8.132566771377286e-01  6.142948434554363e-01  1.199999922279237e+00  1.561855187533441e+00 
 1.725599999999999e-08  0.000000000000000e+00  7.805841959258395e-01  7.781261226728106e-01  8.132566771377187e-01  6.142948434554278e-01  1.199999922279309e+00  1.561855187533247e+00 
 1.745599999999999e-08  0.000000000000000e+00  7.805841959258170e-01  7.781261226730156e-01  8.132566771377066e-01  6.142948434554346e-01  1.199999922279206e+00  1.561855187533060e+00 
 1.765599999999999e-08  0.000000000000000e+00  7.805841959257972e-01  7.781261226732051e-01  8.132566771376953e-01  6.142948434554293e-01  1.199999922279257e+00  1.561855187532871e+00 
 1.785599999999998e-08  0.000000000000000e+00  7.805841959257742e-01  7.781261226733758e-01  8.132566771376845e-01  6.142948434554367e-01  1.199999922279233e+00  1.561855187532685e+00 
 1.805599999999998e-08  0.000000000000000e+00  7.805841959257535e-01  7.781261226735285e-01  8.132566771376731e-01  6.142948434554285e-01  1.199999922279282e+00  1.561855187532497e+00 
 1.825599999999998e-08  0.000000000000000e+00  7.805841959257283e-01  7.781261226736684e-01  8.132566771376696e-01  6.142948434554339e-01  1.199999922279356e+00  1.561855187532311e+00 
 1.845599999999998e-08  0.000000000000000e+00  7.805841959257019e-01  7.781261226738017e-01  8.132566771376628e-01  6.142948434554293e-01  1.199999922279277e+00  1.561855187532125e+00 
 1.865599999999998e-08  0.000000000000000e+00  7.805841959256781e-01  7.781261226739258e-01  8.132566771376559e-01  6.142948434554339e-01  1.199999922279258e+00  1.561855187531938e+00 
 1.885599999999998e-08  0.000000000000000e+00  7.805841959256526e-01  7.781261226740365e-01  8.132566771376494e-01  6.142948434554293e-01  1.199999922279231e+00  1.561855187531745e+00 
 1.905599999999998e-08  0.000000000000000e+00  7.805841959256270e-01  7.781261226741403e-01  8.132566771376419e-01  6.142948434554335e-01  1.199999922279191e+00  1.561855187531547e+00 
 1.925599999999997e-08  0.000000000000000e+00  7.805841959256044e-01  7.781261226742392e-01  8.132566771372918e-01  6.142948434554328e-01  1.199999922279238e+00  1.561855187531344e+00 
 1.945599999999997e-08  0.000000000000000e+00  7.805841959255776e-01  7.781261226743302e-01  8.132566771368538e-01  6.142948434554347e-01  1.199999922279204e+00  1.561855187531146e+00 
 1.965599999999997e-08  0.000000000000000e+00  7.805841959255465e-01  7.781261226744129e-01  8.132566771364200e-01  6.142948434555390e-01  1.199999922279341e+00  1.561855187530950e+00 
 1.982799999999998e-08  0.000000000000000e+00  7.805841959254566e-01  7.781261226741507e-01  8.132566771362818e-01  6.142948434556887e-01  1.199999922279192e+00  1.561855187530326e+00 
 2.000000000000000e-08  0.000000000000000e+00  7.805841959252445e-01  7.781261226740668e-01  8.132566771363834e-01  6.142948434557556e-01  1.199999922279049e+00  1.561855187530442e+00 
 2.000012704765861e-08  7.622859516639018e-04  7.805861078544176e-01  7.781280405459930e-01  8.132567552777953e-01  6.142990579623030e-01  1.199999993540722e+00  1.561855187530443e+00 
 2.000038114297583e-08  2.286857854991706e-03  7.805905426334487e-01  7.781325109298854e-01  8.132569637751962e-01  6.143108540316412e-01  1.200000171263440e+00  1.561855187530445e+00 
 2.000071076967543e-08  4.264618052548055e-03  7.805966234469777e-01  7.781386833625036e-01  8.132572677914482e-01  6.143263200370321e-01  1.200000390902910e+00  1.561855187530446e+00 
 2.000110317042807e-08  6.619022568414313e-03  7.806038327402260e-01  7.781460419135656e-01  8.132576214249531e-01  6.143402737261768e-01  1.200000603000239e+00  1.561855187530443e+00 
 2.000166015516041e-08  9.960930962429650e-03  7.806138190794157e-01  7.781562760699614e-01  8.132580784923734e-01  6.143515698070243e-01  1.200000826453192e+00  1.561855187530448e+00 
 2.000272240409817e-08  1.633442458898827e-02  7.806322089669868e-01  7.781752008440643e-01  8.132588291334714e-01  6.143564829754955e-01  1.200001087008757e+00  1.561855187530444e+00 
 2.000484690197368e-08  2.908141184210552e-02  7.806670210178915e-01  7.782112268446868e-01  8.132600201163100e-01  6.143419980854085e-01  1.200001241158783e+00  1.561855187530443e+00 
 2.000905201035677e-08  5.431206214060866e-02  7.807303026275784e-01  7.782771953451634e-01  8.132616341476324e-01  6.143060287145418e-01  1.200000990942369e+00  1.561855187530438e+00 
 2.001480884048133e-08  8.885304288796923e-02  7.808087316862281e-01  7.783595949031313e-01  8.132628684618834e-01  6.142816858426176e-01  1.200000422211867e+00  1.561855187530873e+00 
 2.002189833388145e-08  1.313900032887063e-01  7.808973523412106e-01  7.784532952175599e-01  8.132635197500984e-01  6.142771714481744e-01  1.199999904621649e+00  1.561855187533429e+00 
 2.003038987221379e-08  1.823392332827602e-01  7.809972784085215e-01  7.785593620230102e-01  8.132636895998053e-01  6.142820988992148e-01  1.199999613158632e+00  1.561855187544288e+00 
 2.004155485988500e-08  2.493291593099767e-01  7.811244436623398e-01  7.786945118419889e-01  8.132635598575468e-01  6.142883574282645e-01  1.199999537898012e+00  1.561855187590253e+00 
 2.005704173011385e-08  3.422503806830872e-01  7.812966599287379e-01  7.788773707588355e-01  8.132632782287055e-01  6.142927863405364e-01  1.199999628553318e+00  1.561855187799021e+00 
 2.006172484262031e-08  3.703490557218687e-01  7.813462840776904e-01  7.789300171108311e-01  8.132631656775037e-01  6.142934354432911e-01  1.199999668961906e+00  1.561855187906276e+00 
 2.006658055233595e-08  3.994833140157146e-01  7.813931437146618e-01  7.789797273474923e-01  8.132629897664849e-01  6.142939811854741e-01  1.199999691780655e+00  1.561855188049761e+00 
 2.007044582946714e-08  4.226749768028271e-01  7.814238669381839e-01  7.790123422062725e-01  8.132627557229143e-01  6.142943510296068e-01  1.199999684511489e+00  1.561855188193127e+00 
 2.007444862154006e-08  4.466917292403582e-01  7.814451983624685e-01  7.790350470283155e-01  8.132623608536572e-01  6.142946848764202e-01  1.199999645125992e+00  1.561855188374538e+00 
 2.007857282507646e-08  4.714369504587586e-01  7.814505096609080e-01  7.790408473266854e-01  8.132617195420591e-01  6.142949911287477e-01  1.199999567320961e+00  1.561855188602811e+00 
 2.008275016343074e-08  4.965009805844407e-01  7.814317974173975e-01  7.790212889115665e-01  8.132607481351802e-01  6.142952788850204e-01  1.199999449341386e+00  1.561855188883939e+00 
 2.008680041170117e-08  5.208024702070191e-01  7.813829115695866e-01  7.789698647183861e-01  8.132594163573210e-01  6.142955481810752e-01  1.199999296826941e+00  1.561855189211859e+00 
 2.009067353942169e-08  5.440412365301104e-01  7.813001299092599e-01  7.788826349291053e-01  8.132577074760300e-01  6.142958000198683e-01  1.199999115576218e+00  1.561855189583707e+00 
 2.009441786691490e-08  5.665072014893779e-01  7.811790185568827e-01  7.787549115366765e-01  8.132555818613879e-01  6.142960313823174e-01  1.199998908248297e+00  1.561855190004343e+00 
 2.009850269560214e-08  5.910161736128230e-01  7.809915190310959e-01  7.785570716458273e-01  8.132526565075657e-01  6.142962491033815e-01  1.199998649344295e+00  1.561855190540372e+00 
 2.010219660453303e-08  6.131796271981929e-01  7.807645698169621e-01  7.783175223084022e-01  8.132494111228977e-01  6.142963737447588e-01  1.199998389685369e+00  1.561855191101983e+00 
