 time                   v(clk)                 v(xt.icmp)             v(xt.vth_soft)         v(xt.vth_hard)         v(cmp_soft)            v(cmp_hard)            v(isense)             
 0.000000000000000e+00  0.000000000000000e+00  7.266811863096240e-01  7.286454615419892e-01  7.670534475481929e-01  6.181860383810613e-01  1.199999805970664e+00  1.453716251516120e+00 
 2.000000000000000e-12  0.000000000000000e+00  7.266811863096273e-01  7.286454615419837e-01  7.670534475481935e-01  6.181860383810562e-01  1.199999805970643e+00  1.453716251516114e+00 
 4.000000000000001e-12  0.000000000000000e+00  7.266811863096304e-01  7.286454615419785e-01  7.670534475481940e-01  6.181860383810532e-01  1.199999805970630e+00  1.453716251516110e+00 
 8.000000000000001e-12  0.000000000000000e+00  7.266811863096292e-01  7.286454615419652e-01  7.670534475482018e-01  6.181860383810368e-01  1.199999805970630e+00  1.453716251516056e+00 
 1.600000000000000e-11  0.000000000000000e+00  7.266811863096265e-01  7.286454615419377e-01  7.670534475482086e-01  6.181860383810319e-01  1.199999805970680e+00  1.453716251516111e+00 
 3.200000000000001e-11  0.000000000000000e+00  7.266811863096047e-01  7.286454615419186e-01  7.670534475481841e-01  6.181860383809706e-01  1.199999805970682e+00  1.453716251516006e+00 
 6.400000000000001e-11  0.000000000000000e+00  7.266811863095671e-01  7.286454615418186e-01  7.670534475481219e-01  6.181860383808389e-01  1.199999805970710e+00  1.453716251515792e+00 
 1.280000000000000e-10  0.000000000000000e+00  7.266811863094840e-01  7.286454615418058e-01  7.670534475480644e-01  6.181860383684998e-01  1.199999805970632e+00  1.453716251515332e+00 
 2.560000000000000e-10  0.000000000000000e+00  7.266811863094016e-01  7.286454615416373e-01  7.670534475479293e-01  6.181860384049159e-01  1.199999805970436e+00  1.453716251515201e+00 
 4.560000000000001e-10  0.000000000000000e+00  7.266811863093734e-01  7.286454615416306e-01  7.670534475476588e-01  6.181860383600761e-01  1.199999805970534e+00  1.453716251514549e+00 
 6.560000000000001e-10  0.000000000000000e+00  7.266811863094482e-01  7.286454615415766e-01  7.670534475475721e-01  6.181860383961628e-01  1.199999805970775e+00  1.453716251512718e+00 
 8.560000000000001e-10  0.000000000000000e+00  7.266811863095548e-01  7.286454615415127e-01  7.670534475475507e-01  6.181860383696448e-01  1.199999805970788e+00  1.453716251511181e+00 
 1.056000000000000e-09  0.000000000000000e+00  7.266811863096612e-01  7.286454615414529e-01  7.670534475475467e-01  6.181860383897073e-01  1.199999805970798e+00  1.453716251510312e+00 
 1.256000000000000e-09  0.000000000000000e+00  7.266811863097654e-01  7.286454615414033e-01  7.670534475475493e-01  6.181860383745063e-01  1.199999805970811e+00  1.453716251510107e+00 
 1.456000000000000e-09  0.000000000000000e+00  7.266811863098704e-01  7.286454615413560e-01  7.670534475475527e-01  6.181860383859390e-01  1.199999805970827e+00  1.453716251510453e+00 
 1.656000000000000e-09  0.000000000000000e+00  7.266811863099712e-01  7.286454615413129e-01  7.670534475475568e-01  6.181860383776387e-01  1.199999805970740e+00  1.453716251511233e+00 
 1.856000000000000e-09  0.000000000000000e+00  7.266811863100776e-01  7.286454615412788e-01  7.670534475475613e-01  6.181860383838231e-01  1.199999805970725e+00  1.453716251512344e+00 
 2.056000000000000e-09  0.000000000000000e+00  7.266811863101854e-01  7.286454615412467e-01  7.670534475475635e-01  6.181860383790700e-01  1.199999805970814e+00  1.453716251513692e+00 
 2.256000000000000e-09  0.000000000000000e+00  7.266811863102928e-01  7.286454615412152e-01  7.670534475475651e-01  6.181860383824194e-01  1.199999805970836e+00  1.453716251515210e+00 
 2.456000000000000e-09  0.000000000000000e+00  7.266811863104017e-01  7.286454615411850e-01  7.670534475475653e-01  6.181860383802018e-01  1.199999805970751e+00  1.453716251516844e+00 
 2.656000000000000e-09  0.000000000000000e+00  7.266811863105114e-01  7.286454615411572e-01  7.670534475475642e-01  6.181860383818255e-01  1.199999805970737e+00  1.453716251518556e+00 
 2.856000000000000e-09  0.000000000000000e+00  7.266811863106245e-01  7.286454615411345e-01  7.670534475475631e-01  6.181860383806357e-01  1.199999805970722e+00  1.453716251520327e+00 
 3.056000000000001e-09  0.000000000000000e+00  7.266811863107421e-01  7.286454615411082e-01  7.670534475475620e-01  6.181860383814610e-01  1.199999805970813e+00  1.453716251522140e+00 
 3.256000000000001e-09  0.000000000000000e+00  7.266811863108690e-01  7.286454615410825e-01  7.670534475475614e-01  6.181860383807951e-01  1.199999805970831e+00  1.453716251523978e+00 
 3.456000000000001e-09  0.000000000000000e+00  7.266811863110063e-01  7.286454615410586e-01  7.670534475475582e-01  6.181860383813855e-01  1.199999805970746e+00  1.453716251525833e+00 
 3.656000000000001e-09  0.000000000000000e+00  7.266811863111388e-01  7.286454615410340e-01  7.670534475475558e-01  6.181860383808533e-01  1.199999805970731e+00  1.453716251527695e+00 
 3.856000000000001e-09  0.000000000000000e+00  7.266811863112749e-01  7.286454615410098e-01  7.670534475475524e-01  6.181860383813405e-01  1.199999805970826e+00  1.453716251529573e+00 
 4.056000000000001e-09  0.000000000000000e+00  7.266811863114129e-01  7.286454615409899e-01  7.670534475475477e-01  6.181860383809064e-01  1.199999805970849e+00  1.453716251531453e+00 
 4.256000000000001e-09  0.000000000000000e+00  7.266811863115600e-01  7.286454615409678e-01  7.670534475475437e-01  6.181860383812003e-01  1.199999805970770e+00  1.453716251533342e+00 
 4.456000000000001e-09  0.000000000000000e+00  7.266811863117153e-01  7.286454615409446e-01  7.670534475475373e-01  6.181860383809902e-01  1.199999805970766e+00  1.453716251535233e+00 
 4.656000000000001e-09  0.000000000000000e+00  7.266811863118731e-01  7.286454615409249e-01  7.670534475475261e-01  6.181860383811147e-01  1.199999805970763e+00  1.453716251537128e+00 
 4.856000000000001e-09  0.000000000000000e+00  7.266811863120330e-01  7.286454615409034e-01  7.670534475475128e-01  6.181860383811547e-01  1.199999805970758e+00  1.453716251539028e+00 
 5.056000000000002e-09  0.000000000000000e+00  7.266811863121900e-01  7.286454615408845e-01  7.670534475475012e-01  6.181860383811805e-01  1.199999805970751e+00  1.453716251540925e+00 
 5.256000000000002e-09  0.000000000000000e+00  7.266811863123531e-01  7.286454615408622e-01  7.670534475474884e-01  6.181860383811468e-01  1.199999805970741e+00  1.453716251542821e+00 
 5.456000000000002e-09  0.000000000000000e+00  7.266811863125241e-01  7.286454615408421e-01  7.670534475474734e-01  6.181860383811834e-01  1.199999805970731e+00  1.453716251544722e+00 
 5.656000000000002e-09  0.000000000000000e+00  7.266811863127030e-01  7.286454615408189e-01  7.670534475474536e-01  6.181860383810429e-01  1.199999805970825e+00  1.453716251546625e+00 
 5.856000000000002e-09  0.000000000000000e+00  7.266811863128889e-01  7.286454615407992e-01  7.670534475474351e-01  6.181860383810959e-01  1.199999805970847e+00  1.453716251548522e+00 
 6.056000000000002e-09  0.000000000000000e+00  7.266811863130799e-01  7.286454615407759e-01  7.670534475474126e-01  6.181860383811690e-01  1.199999805970769e+00  1.453716251550425e+00 
 6.256000000000002e-09  0.000000000000000e+00  7.266811863132762e-01  7.286454615407556e-01  7.670534475473881e-01  6.181860383812687e-01  1.199999805970672e+00  1.453716251552331e+00 
 6.456000000000003e-09  0.000000000000000e+00  7.266811863134757e-01  7.286454615407316e-01  7.670534475473597e-01  6.181860383811237e-01  1.199999805970739e+00  1.453716251554243e+00 
 6.656000000000003e-09  0.000000000000000e+00  7.266811863136848e-01  7.286454615407038e-01  7.670534475473328e-01  6.181860383812079e-01  1.199999805970729e+00  1.453716251556155e+00 
 6.856000000000003e-09  0.000000000000000e+00  7.266811863139031e-01  7.286454615406720e-01  7.670534475473022e-01  6.181860383811222e-01  1.199999805970825e+00  1.453716251558070e+00 
 7.056000000000003e-09  0.000000000000000e+00  7.266811863141184e-01  7.286454615406396e-01  7.670534475472688e-01  6.181860383812031e-01  1.199999805970756e+00  1.453716251559986e+00 
 7.256000000000003e-09  0.000000000000000e+00  7.266811863143381e-01  7.286454615406006e-01  7.670534475472329e-01  6.181860383810278e-01  1.199999805970748e+00  1.453716251561904e+00 
 7.456000000000002e-09  0.000000000000000e+00  7.266811863145691e-01  7.286454615405592e-01  7.670534475471966e-01  6.181860383811036e-01  1.199999805970738e+00  1.453716251563817e+00 
 7.656000000000003e-09  0.000000000000000e+00  7.266811863148072e-01  7.286454615405216e-01  7.670534475471630e-01  6.181860383812856e-01  1.199999805970721e+00  1.453716251565730e+00 
 7.856000000000003e-09  0.000000000000000e+00  7.266811863150547e-01  7.286454615404844e-01  7.670534475471279e-01  6.181860383809892e-01  1.199999805970717e+00  1.453716251567644e+00 
 8.056000000000003e-09  0.000000000000000e+00  7.266811863153079e-01  7.286454615404440e-01  7.670534475470886e-01  6.181860383811432e-01  1.199999805970714e+00  1.453716251569566e+00 
 8.256000000000003e-09  0.000000000000000e+00  7.266811863155634e-01  7.286454615404051e-01  7.670534475470560e-01  6.181860383811336e-01  1.199999805970799e+00  1.453716251571488e+00 
 8.456000000000003e-09  0.000000000000000e+00  7.266811863158269e-01  7.286454615403645e-01  7.670534475470249e-01  6.181860383812959e-01  1.199999805970817e+00  1.453716251573409e+00 
 8.656000000000003e-09  0.000000000000000e+00  7.266811863161007e-01  7.286454615403216e-01  7.670534475469920e-01  6.181860383811046e-01  1.199999805970837e+00  1.453716251575334e+00 
 8.856000000000003e-09  0.000000000000000e+00  7.266811863163676e-01  7.286454615402790e-01  7.670534475469567e-01  6.181860383812225e-01  1.199999805970751e+00  1.453716251577257e+00 
 9.056000000000003e-09  0.000000000000000e+00  7.266811863166379e-01  7.286454615402408e-01  7.670534475469178e-01  6.181860383810095e-01  1.199999805970738e+00  1.453716251579180e+00 
 9.256000000000004e-09  0.000000000000000e+00  7.266811863169159e-01  7.286454615401996e-01  7.670534475468791e-01  6.181860383811195e-01  1.199999805970631e+00  1.453716251581101e+00 
 9.456000000000004e-09  0.000000000000000e+00  7.266811863171999e-01  7.286454615401569e-01  7.670534475468384e-01  6.181860383811483e-01  1.199999805970696e+00  1.453716251583014e+00 
 9.656000000000004e-09  0.000000000000000e+00  7.266811863174907e-01  7.286454615401118e-01  7.670534475467948e-01  6.181860383812837e-01  1.199999805970780e+00  1.453716251584931e+00 
 9.856000000000004e-09  0.000000000000000e+00  7.266811863177921e-01  7.286454615400679e-01  7.670534475467485e-01  6.181860383811124e-01  1.199999805970897e+00  1.453716251586843e+00 
 1.005600000000000e-08  0.000000000000000e+00  7.266811863181033e-01  7.286454615400269e-01  7.670534475467021e-01  6.181860383812385e-01  1.199999805970840e+00  1.453716251588760e+00 
 1.025600000000000e-08  0.000000000000000e+00  7.266811863184144e-01  7.286454615399818e-01  7.670534475463333e-01  6.181860383810844e-01  1.199999805970753e+00  1.453716251590677e+00 
 1.045600000000000e-08  0.000000000000000e+00  7.266811863187246e-01  7.286454615399404e-01  7.670534475458707e-01  6.181860383812539e-01  1.199999805970744e+00  1.453716251592599e+00 
 1.065600000000000e-08  0.000000000000000e+00  7.266811863190208e-01  7.286454615398983e-01  7.670534475454005e-01  6.181860383809729e-01  1.199999805970729e+00  1.453716251594521e+00 
 1.085600000000000e-08  0.000000000000000e+00  7.266811863193250e-01  7.286454615398581e-01  7.670534475449554e-01  6.181860383812480e-01  1.199999805970733e+00  1.453716251596439e+00 
 1.105600000000000e-08  0.000000000000000e+00  7.266811863196376e-01  7.286454615398122e-01  7.670534475445406e-01  6.181860383809774e-01  1.199999805970827e+00  1.453716251598352e+00 
 1.125600000000000e-08  0.000000000000000e+00  7.266811863199555e-01  7.286454615397626e-01  7.670534475441581e-01  6.181860383811458e-01  1.199999805970649e+00  1.453716251600276e+00 
 1.145600000000001e-08  0.000000000000000e+00  7.266811863202810e-01  7.286454615397133e-01  7.670534475437969e-01  6.181860383812320e-01  1.199999805970705e+00  1.453716251602201e+00 
 1.165600000000001e-08  0.000000000000000e+00  7.266811863206054e-01  7.286454615396648e-01  7.670534475434664e-01  6.181860383810455e-01  1.199999805970792e+00  1.453716251604124e+00 
 1.185600000000001e-08  0.000000000000000e+00  7.266811863209324e-01  7.286454615396170e-01  7.670534475431580e-01  6.181860383812003e-01  1.199999805970805e+00  1.453716251606052e+00 
 1.205600000000001e-08  0.000000000000000e+00  7.266811863212655e-01  7.286454615395730e-01  7.670534475428680e-01  6.181860383810359e-01  1.199999805970818e+00  1.453716251607983e+00 
 1.225600000000001e-08  0.000000000000000e+00  7.266811863216104e-01  7.286454615395312e-01  7.670534475425995e-01  6.181860383810838e-01  1.199999805970742e+00  1.453716251609914e+00 
 1.245600000000001e-08  0.000000000000000e+00  7.266811863219592e-01  7.286454615394942e-01  7.670534475423434e-01  6.181860383812774e-01  1.199999805970729e+00  1.453716251611842e+00 
