 time                   v(clk)                 v(xt.icmp)             v(xt.vth_soft)         v(xt.vth_hard)         v(cmp_soft)            v(cmp_hard)            v(isense)             
 0.000000000000000e+00  0.000000000000000e+00  5.808310261544990e-01  5.839302894542684e-01  5.841001911843702e-01  6.105027418684054e-01  3.453335260977447e-08  1.550067122887835e+00 
 2.000000000000000e-12  0.000000000000000e+00  5.808310261545006e-01  5.839302894542677e-01  5.841001911843710e-01  6.105027418683923e-01  3.453335121680889e-08  1.550067122887865e+00 
 4.000000000000001e-12  0.000000000000000e+00  5.808310261545021e-01  5.839302894542669e-01  5.841001911843715e-01  6.105027418683852e-01  3.453335134691315e-08  1.550067122887894e+00 
 8.000000000000001e-12  0.000000000000000e+00  5.808310261545053e-01  5.839302894542610e-01  5.841001911843676e-01  6.105027418683702e-01  3.453335290035803e-08  1.550067122887911e+00 
 1.600000000000000e-11  0.000000000000000e+00  5.808310261545124e-01  5.839302894542510e-01  5.841001911843545e-01  6.105027418683743e-01  3.453335063654389e-08  1.550067122887921e+00 
 3.200000000000001e-11  0.000000000000000e+00  5.808310261545211e-01  5.839302894542325e-01  5.841001911843461e-01  6.105027418684641e-01  3.453334198320109e-08  1.550067122887969e+00 
 6.400000000000001e-11  0.000000000000000e+00  5.808310261545327e-01  5.839302894542031e-01  5.841001911843188e-01  6.105027418688047e-01  3.453335234809255e-08  1.550067122888028e+00 
 1.280000000000000e-10  0.000000000000000e+00  5.808310261545930e-01  5.839302894541744e-01  5.841001911842563e-01  6.105027448890737e-01  3.453335776443456e-08  1.550067122888053e+00 
 2.560000000000000e-10  0.000000000000000e+00  5.808310261545561e-01  5.839302894542567e-01  5.841001911842559e-01  6.105027364274959e-01  3.453335519215729e-08  1.550067122887610e+00 
 4.560000000000001e-10  0.000000000000000e+00  5.808310261543801e-01  5.839302894543095e-01  5.841001911842256e-01  6.105027465444560e-01  3.453334659706198e-08  1.550067122888784e+00 
 6.560000000000001e-10  0.000000000000000e+00  5.808310261543544e-01  5.839302894542875e-01  5.841001911840845e-01  6.105027386110676e-01  3.453335464094001e-08  1.550067122889181e+00 
 8.560000000000001e-10  0.000000000000000e+00  5.808310261543720e-01  5.839302894542346e-01  5.841001911839113e-01  6.105027442565626e-01  3.453335064395734e-08  1.550067122889223e+00 
 1.056000000000000e-09  0.000000000000000e+00  5.808310261544065e-01  5.839302894541685e-01  5.841001911837367e-01  6.105027401402919e-01  3.453335340429287e-08  1.550067122889093e+00 
 1.256000000000000e-09  0.000000000000000e+00  5.808310261544473e-01  5.839302894540973e-01  5.841001911835627e-01  6.105027431228299e-01  3.453335262314003e-08  1.550067122888878e+00 
 1.456000000000000e-09  0.000000000000000e+00  5.808310261544853e-01  5.839302894537687e-01  5.841001911833935e-01  6.105027409582653e-01  3.453335125919972e-08  1.550067122888615e+00 
 1.656000000000000e-09  0.000000000000000e+00  5.808310261545199e-01  5.839302894533687e-01  5.841001911832435e-01  6.105027425285493e-01  3.453335326672032e-08  1.550067122888330e+00 
 1.856000000000000e-09  0.000000000000000e+00  5.808310261545528e-01  5.839302894529619e-01  5.841001911831052e-01  6.105027413890270e-01  3.453335410820456e-08  1.550067122888041e+00 
 2.056000000000000e-09  0.000000000000000e+00  5.808310261545857e-01  5.839302894525695e-01  5.841001911829772e-01  6.105027422158092e-01  3.453335059507591e-08  1.550067122887738e+00 
 2.256000000000000e-09  0.000000000000000e+00  5.808310261546171e-01  5.839302894521985e-01  5.841001911828577e-01  6.105027416160210e-01  3.453335240167310e-08  1.550067122887431e+00 
 2.456000000000000e-09  0.000000000000000e+00  5.808310261546485e-01  5.839302894518497e-01  5.841001911827440e-01  6.105027420511785e-01  3.453335437399863e-08  1.550067122887131e+00 
 2.656000000000000e-09  0.000000000000000e+00  5.808310261546830e-01  5.839302894515233e-01  5.841001911826321e-01  6.105027417355156e-01  3.453335315277490e-08  1.550067122886832e+00 
 2.856000000000000e-09  0.000000000000000e+00  5.808310261547184e-01  5.839302894512179e-01  5.841001911825258e-01  6.105027419648481e-01  3.453335188468971e-08  1.550067122886533e+00 
 3.056000000000001e-09  0.000000000000000e+00  5.808310261547497e-01  5.839302894509317e-01  5.841001911824204e-01  6.105027417983619e-01  3.453335180673939e-08  1.550067122886234e+00 
 3.256000000000001e-09  0.000000000000000e+00  5.808310261547767e-01  5.839302894506638e-01  5.841001911823196e-01  6.105027419189800e-01  3.453335223121005e-08  1.550067122885941e+00 
 3.456000000000001e-09  0.000000000000000e+00  5.808310261548036e-01  5.839302894504125e-01  5.841001911822278e-01  6.105027418314164e-01  3.453335143636809e-08  1.550067122885645e+00 
 3.656000000000001e-09  0.000000000000000e+00  5.808310261548343e-01  5.839302894501779e-01  5.841001911821359e-01  6.105027418951348e-01  3.453335350676586e-08  1.550067122885345e+00 
 3.856000000000001e-09  0.000000000000000e+00  5.808310261548600e-01  5.839302894499581e-01  5.841001911820504e-01  6.105027418489388e-01  3.453335443994946e-08  1.550067122885044e+00 
 4.056000000000001e-09  0.000000000000000e+00  5.808310261548826e-01  5.839302894497533e-01  5.841001911819699e-01  6.105027418822925e-01  3.453335099347595e-08  1.550067122884741e+00 
