 time                   v(clk)                 v(xt.icmp)             v(xt.vth_soft)         v(xt.vth_hard)         v(cmp_soft)            v(cmp_hard)            v(isense)              v(xt.icmp_h)          
 0.000000000000000e+00  0.000000000000000e+00  9.950124242536454e-01  8.005235445986486e-01  9.986912381821718e-01  6.169513002890268e-01  6.166609984260879e-01  1.990028858693563e+00  9.949943305772226e-01 
 2.000000000000000e-12  0.000000000000000e+00  9.950124242536462e-01  8.005235445986494e-01  9.986912381821715e-01  6.169513002890100e-01  6.166609984260926e-01  1.990028858693606e+00  9.949943305772230e-01 
 4.000000000000001e-12  0.000000000000000e+00  9.950124242536469e-01  8.005235445986502e-01  9.986912381821711e-01  6.169513002889965e-01  6.166609984260930e-01  1.990028858693647e+00  9.949943305772234e-01 
 8.000000000000001e-12  0.000000000000000e+00  9.950124242536482e-01  8.005235445986522e-01  9.986912381821699e-01  6.169513002889705e-01  6.166609984261080e-01  1.990028858693728e+00  9.949943305772243e-01 
 1.600000000000000e-11  0.000000000000000e+00  9.950124242536538e-01  8.005235445986585e-01  9.986912381821796e-01  6.169513002889268e-01  6.166609984261454e-01  1.990028858693817e+00  9.949943305772284e-01 
 3.200000000000001e-11  0.000000000000000e+00  9.950124242536637e-01  8.005235445986610e-01  9.986912381821873e-01  6.169513002888717e-01  6.166609984261728e-01  1.990028858693845e+00  9.949943305772356e-01 
 6.400000000000001e-11  0.000000000000000e+00  9.950124242536225e-01  8.005235445986071e-01  9.986912381821050e-01  6.169513002885828e-01  6.166609984261858e-01  1.990028858693650e+00  9.949943305771931e-01 
 1.280000000000000e-10  0.000000000000000e+00  9.950124242535615e-01  8.005235445984672e-01  9.986912381820349e-01  6.169513002857587e-01  6.166609984262755e-01  1.990028858693062e+00  9.949943305771349e-01 
 2.560000000000000e-10  0.000000000000000e+00  9.950124242535248e-01  8.005235445982092e-01  9.986912381820388e-01  6.169513003023110e-01  6.166609984262257e-01  1.990028858692286e+00  9.949943305770923e-01 
 5.120000000000001e-10  0.000000000000000e+00  9.950124242535173e-01  8.005235445982373e-01  9.986912381821866e-01  6.169513002637270e-01  6.166609984264269e-01  1.990028858692099e+00  9.949943305770709e-01 
 1.024000000000000e-09  0.000000000000000e+00  9.950124242548211e-01  8.005235445998105e-01  9.986912381834148e-01  6.169513003235043e-01  6.166609984261433e-01  1.990028858695273e+00  9.949943305783224e-01 
 2.024000000000000e-09  0.000000000000000e+00  9.950124242578793e-01  8.005235446023735e-01  9.986912381854355e-01  6.169513002485831e-01  6.166609984262958e-01  1.990028858695446e+00  9.949943305812455e-01 
 3.024000000000000e-09  0.000000000000000e+00  9.950124242603210e-01  8.005235446033183e-01  9.986912381877208e-01  6.169513003361290e-01  6.166609984261107e-01  1.990028858692157e+00  9.949943305835885e-01 
 4.024000000000000e-09  0.000000000000000e+00  9.950124242626931e-01  8.005235446036663e-01  9.986912381902863e-01  6.169513002336532e-01  6.166609984264098e-01  1.990028858691728e+00  9.949943305858435e-01 
 5.024000000000000e-09  0.000000000000000e+00  9.950124242649319e-01  8.005235446038055e-01  9.986912381915117e-01  6.169513003539175e-01  6.166609984260816e-01  1.990028858691560e+00  9.949943305880150e-01 
 6.024000000000000e-09  0.000000000000000e+00  9.950124242670902e-01  8.005235446038464e-01  9.986912381933525e-01  6.169513002129180e-01  6.166609984263524e-01  1.990028858691322e+00  9.949943305900588e-01 
 7.024000000000000e-09  0.000000000000000e+00  9.950124242691973e-01  8.005235446038639e-01  9.986912381958096e-01  6.169513003780119e-01  6.166609984260601e-01  1.990028858691066e+00  9.949943305920557e-01 
 8.024000000000000e-09  0.000000000000000e+00  9.950124242712280e-01  8.005235446038919e-01  9.986912381970893e-01  6.169513001844723e-01  6.166609984264715e-01  1.990028858690819e+00  9.949943305939157e-01 
 9.024000000000000e-09  0.000000000000000e+00  9.950124242731859e-01  8.005235446039491e-01  9.986912381974313e-01  6.169513004117045e-01  6.166609984260232e-01  1.990028858690586e+00  9.949943305957475e-01 
 1.002400000000000e-08  0.000000000000000e+00  9.950124242750480e-01  8.005235446039876e-01  9.986912381974318e-01  6.169513001450857e-01  6.166609984265016e-01  1.990028858690327e+00  9.949943305974857e-01 
 1.102400000000000e-08  0.000000000000000e+00  9.950124242768440e-01  8.005235446040126e-01  9.986912381973111e-01  6.169513004572907e-01  6.166609984260122e-01  1.990028858690057e+00  9.949943305992081e-01 
 1.202400000000000e-08  0.000000000000000e+00  9.950124242785992e-01  8.005235446040551e-01  9.986912381973055e-01  6.169513000915184e-01  6.166609984265077e-01  1.990028858689782e+00  9.949943306007984e-01 
 1.302400000000000e-08  0.000000000000000e+00  9.950124242802660e-01  8.005235446053566e-01  9.986912381972488e-01  6.169513005204380e-01  6.166609984260210e-01  1.990028858689493e+00  9.949943306024173e-01 
 1.402400000000000e-08  0.000000000000000e+00  9.950124242818729e-01  8.005235446075644e-01  9.986912381972827e-01  6.169513000176340e-01  6.166609984264708e-01  1.990028858689196e+00  9.949943306038816e-01 
 1.502400000000000e-08  0.000000000000000e+00  9.950124242834194e-01  8.005235446090095e-01  9.986912381972438e-01  6.169513006069660e-01  6.166609984260802e-01  1.990028858688926e+00  9.949943306053876e-01 
