# Logfile created on 2026-09-23 10:26:22 +0200 by logger.rb/v1.5.3
2026-09-23 10:26:22 +0200: Memory Usage (408308K) : Starting running IHP-SG13G2 KLayout DRC runset on ${RESULTS_ROOT}/digital-postroute-20260923-r1/flow/05-klayout-streamout/g1_digital.gds
2026-09-23 10:26:22 +0200: Memory Usage (408308K) : Ruby Version for klayout: 3.2.3
2026-09-23 10:26:22 +0200: Memory Usage (412232K) : Loading database to memory is complete.
2026-09-23 10:26:22 +0200: Memory Usage (412232K) : IHP-SG13G2 KLayout DRC runset output at: ${RESULTS_ROOT}/digital-stock-20260923-r1/reports/g1_digital_g1_digital_main.lyrdb
2026-09-23 10:26:22 +0200: Memory Usage (412232K) : Evaluate switches.
2026-09-23 10:26:22 +0200: Memory Usage (412232K) : tables selected: main
2026-09-23 10:26:22 +0200: Memory Usage (412232K) : KLayout will use 128 thread(s) in tiling mode.
2026-09-23 10:26:22 +0200: Memory Usage (412232K) : deep mode is enabled.
2026-09-23 10:26:22 +0200: Memory Usage (412232K) : FEOL enabled: true
2026-09-23 10:26:22 +0200: Memory Usage (412232K) : BEOL enabled: true
2026-09-23 10:26:22 +0200: Memory Usage (412232K) : OFFGRID enabled: true
2026-09-23 10:26:22 +0200: Memory Usage (412232K) : ANGLE enabled: true
2026-09-23 10:26:22 +0200: Memory Usage (412232K) : PIN enabled: true
2026-09-23 10:26:22 +0200: Memory Usage (412232K) : FORBIDDEN enabled: true
2026-09-23 10:26:22 +0200: Memory Usage (412232K) : RECOMMENDED enabled: true
2026-09-23 10:26:22 +0200: Memory Usage (412232K) : PreCheck DRC enabled: false
2026-09-23 10:26:22 +0200: Memory Usage (412232K) : CONNECTIVITY_RULES enabled: true.
2026-09-23 10:26:22 +0200: Memory Usage (412232K) : Read in polygons from layers.
2026-09-23 10:26:22 +0200: Memory Usage (415480K) : activ_drw has 44777 polygons
2026-09-23 10:26:22 +0200: Memory Usage (415480K) : activ_pin has 0 polygons
2026-09-23 10:26:22 +0200: Memory Usage (415480K) : activ_mask has 0 polygons
