Device;Net1;Net2;Capacitance [fF];Resistance [Ω]
C1;CTX_L10_0,CTX_L30_7;CTX_L8_1;0.344;
C2;CTX_L10_0,CTX_L30_7;N;0.153;
C3;CTX_L10_0,CTX_L30_7;VSUBS;2.105;
C4;CTX_L134_0;CTX_L30_0,CTX_L50_0;0.367;
C5;CTX_L134_0;CTX_L30_1;0.194;
C6;CTX_L134_0;CTX_L30_2;0.023;
C7;CTX_L134_0;CTX_L30_3;0.018;
C8;CTX_L134_0;CTX_L30_4;0.018;
C9;CTX_L134_0;CTX_L8_0;0.002;
C10;CTX_L134_0;N;0.017;
C11;CTX_L134_0;P;0.017;
C12;CTX_L134_0;VSUBS;1.021;
C13;CTX_L30_0,CTX_L50_0;CTX_L30_1;1.452;
C14;CTX_L30_0,CTX_L50_0;CTX_L30_2;0.002;
C15;CTX_L30_0,CTX_L50_0;CTX_L30_3;0.001;
C16;CTX_L30_0,CTX_L50_0;CTX_L30_4;0.001;
C17;CTX_L30_0,CTX_L50_0;CTX_L8_0;0.142;
C18;CTX_L30_0,CTX_L50_0;N;0.0;
C19;CTX_L30_0,CTX_L50_0;P;0.0;
C20;CTX_L30_0,CTX_L50_0;VSUBS;2.151;
C21;CTX_L30_1;CTX_L30_2;1.267;
C22;CTX_L30_1;CTX_L8_0;0.323;
C23;CTX_L30_1;VSUBS;0.719;
C24;CTX_L30_2;CTX_L30_3;0.28;
C25;CTX_L30_2;CTX_L8_0;0.017;
C26;CTX_L30_2;VSUBS;0.482;
C27;CTX_L30_3;CTX_L30_4;4.306;
C28;CTX_L30_3;CTX_L8_0;0.005;
C29;CTX_L30_3;CTX_L8_1;0.002;
C30;CTX_L30_3;VSUBS;0.425;
C31;CTX_L30_4;CTX_L8_0;0.004;
C32;CTX_L30_4;CTX_L8_1;0.002;
C33;CTX_L30_4;P;4.306;
C34;CTX_L30_4;VSUBS;0.121;
C35;CTX_L8_0;N;0.003;
C36;CTX_L8_0;P;0.004;
C37;CTX_L8_0;VSUBS;1.786;
C38;CTX_L8_1;N;0.003;
C39;CTX_L8_1;P;0.003;
C40;CTX_L8_1;VSUBS;1.786;
C41;N;P;4.306;
C42;N;VSUBS;0.592;
C43;P;VSUBS;0.121;
