LVSDB input file passed, bypassing LVS
(19, 0) -> (via1_drw)
(29, 0) -> (via2_drw)
(133, 0) -> (topvia2_drw)
(46, 0) -> (pwell pwell_sub)
(8, 0) -> (metal1_con)
(10, 0) -> (metal2_con)
(30, 0) -> (metal3_con)
(126, 0) -> (topmetal1_con)
(134, 0) -> (topmetal2_con)
(67, 0) -> (metal5_n_cap)
Device;Net1;Net2;Capacitance [fF];Resistance [Ω]
C1;CTX_L10_0,CTX_L30_15,CTX_L8_3;CTX_L10_1,CTX_L30_16,CTX_L8_4;0.754;
C2;CTX_L10_0,CTX_L30_15,CTX_L8_3;CTX_L10_2,CTX_L30_17,CTX_L8_5;0.029;
C3;CTX_L10_0,CTX_L30_15,CTX_L8_3;CTX_L134_2;0.012;
C4;CTX_L10_0,CTX_L30_15,CTX_L8_3;CTX_L30_14;0.09;
C5;CTX_L10_0,CTX_L30_15,CTX_L8_3;CTX_L30_18;0.029;
C6;CTX_L10_0,CTX_L30_15,CTX_L8_3;CTX_L30_19;0.04;
C7;CTX_L10_0,CTX_L30_15,CTX_L8_3;CTX_L8_1;0.003;
C8;CTX_L10_0,CTX_L30_15,CTX_L8_3;CTX_L8_10;0.044;
C9;CTX_L10_0,CTX_L30_15,CTX_L8_3;CTX_L8_11;0.001;
C10;CTX_L10_0,CTX_L30_15,CTX_L8_3;CTX_L8_12;0.001;
C11;CTX_L10_0,CTX_L30_15,CTX_L8_3;CTX_L8_13;0.0;
C12;CTX_L10_0,CTX_L30_15,CTX_L8_3;CTX_L8_2;0.051;
C13;CTX_L10_0,CTX_L30_15,CTX_L8_3;CTX_L8_6;0.145;
C14;CTX_L10_0,CTX_L30_15,CTX_L8_3;CTX_L8_9;0.0;
C15;CTX_L10_0,CTX_L30_15,CTX_L8_3;VSUBS;0.692;
C16;CTX_L10_1,CTX_L30_16,CTX_L8_4;CTX_L10_2,CTX_L30_17,CTX_L8_5;1.588;
C17;CTX_L10_1,CTX_L30_16,CTX_L8_4;CTX_L134_2;0.019;
C18;CTX_L10_1,CTX_L30_16,CTX_L8_4;CTX_L30_14;0.088;
C19;CTX_L10_1,CTX_L30_16,CTX_L8_4;CTX_L30_18;0.029;
C20;CTX_L10_1,CTX_L30_16,CTX_L8_4;CTX_L30_19;0.04;
C21;CTX_L10_1,CTX_L30_16,CTX_L8_4;CTX_L8_1;0.004;
C22;CTX_L10_1,CTX_L30_16,CTX_L8_4;CTX_L8_13;0.0;
C23;CTX_L10_1,CTX_L30_16,CTX_L8_4;CTX_L8_14;0.044;
C24;CTX_L10_1,CTX_L30_16,CTX_L8_4;CTX_L8_15;0.001;
C25;CTX_L10_1,CTX_L30_16,CTX_L8_4;CTX_L8_16;0.001;
C26;CTX_L10_1,CTX_L30_16,CTX_L8_4;CTX_L8_17;0.0;
C27;CTX_L10_1,CTX_L30_16,CTX_L8_4;CTX_L8_2;0.054;
C28;CTX_L10_1,CTX_L30_16,CTX_L8_4;CTX_L8_6;0.145;
C29;CTX_L10_1,CTX_L30_16,CTX_L8_4;VSUBS;0.725;
C30;CTX_L10_2,CTX_L30_17,CTX_L8_5;CTX_L134_2;0.026;
C31;CTX_L10_2,CTX_L30_17,CTX_L8_5;CTX_L30_14;0.073;
C32;CTX_L10_2,CTX_L30_17,CTX_L8_5;CTX_L30_18;2.381;
C33;CTX_L10_2,CTX_L30_17,CTX_L8_5;CTX_L30_19;0.034;
