Device;Net1;Net2;Capacitance [fF];Resistance [Ω]
C1;CTX_L10_0,CTX_L30_1,CTX_L8_1;CTX_L10_1,CTX_L10_3,CTX_L30_4;0.052;
C2;CTX_L10_0,CTX_L30_1,CTX_L8_1;CTX_L126_0,CTX_L30_0,CTX_L50_1,CTX_L67_0;0.003;
C3;CTX_L10_0,CTX_L30_1,CTX_L8_1;CTX_L134_0;0.035;
C4;CTX_L10_0,CTX_L30_1,CTX_L8_1;CTX_L134_1;0.016;
C5;CTX_L10_0,CTX_L30_1,CTX_L8_1;CTX_L30_8,CTX_L50_0;0.651;
C6;CTX_L10_0,CTX_L30_1,CTX_L8_1;CTX_L8_0;0.096;
C7;CTX_L10_0,CTX_L30_1,CTX_L8_1;CTX_L8_2;0.058;
C8;CTX_L10_0,CTX_L30_1,CTX_L8_1;FILL_L10_0;0.016;
C9;CTX_L10_0,CTX_L30_1,CTX_L8_1;FILL_L10_1;0.005;
C10;CTX_L10_0,CTX_L30_1,CTX_L8_1;FILL_L10_13;0.003;
C11;CTX_L10_0,CTX_L30_1,CTX_L8_1;FILL_L10_2;0.025;
C12;CTX_L10_0,CTX_L30_1,CTX_L8_1;FILL_L10_4;0.002;
C13;CTX_L10_0,CTX_L30_1,CTX_L8_1;FILL_L10_5;0.049;
C14;CTX_L10_0,CTX_L30_1,CTX_L8_1;FILL_L10_6;0.031;
C15;CTX_L10_0,CTX_L30_1,CTX_L8_1;FILL_L126_0;0.126;
C16;CTX_L10_0,CTX_L30_1,CTX_L8_1;FILL_L30_0;0.009;
C17;CTX_L10_0,CTX_L30_1,CTX_L8_1;FILL_L30_10;0.001;
C18;CTX_L10_0,CTX_L30_1,CTX_L8_1;FILL_L30_11;0.001;
C19;CTX_L10_0,CTX_L30_1,CTX_L8_1;FILL_L30_3;0.001;
C20;CTX_L10_0,CTX_L30_1,CTX_L8_1;FILL_L30_4;0.037;
C21;CTX_L10_0,CTX_L30_1,CTX_L8_1;FILL_L30_5;0.007;
C22;CTX_L10_0,CTX_L30_1,CTX_L8_1;FILL_L30_6;0.046;
C23;CTX_L10_0,CTX_L30_1,CTX_L8_1;FILL_L30_7;0.001;
C24;CTX_L10_0,CTX_L30_1,CTX_L8_1;FILL_L50_2;0.035;
C25;CTX_L10_0,CTX_L30_1,CTX_L8_1;FILL_L50_3;0.008;
C26;CTX_L10_0,CTX_L30_1,CTX_L8_1;FILL_L50_6;0.0;
C27;CTX_L10_0,CTX_L30_1,CTX_L8_1;FILL_L8_1;0.015;
C28;CTX_L10_0,CTX_L30_1,CTX_L8_1;FILL_L8_11;0.002;
C29;CTX_L10_0,CTX_L30_1,CTX_L8_1;FILL_L8_12;0.013;
C30;CTX_L10_0,CTX_L30_1,CTX_L8_1;FILL_L8_13;0.015;
C31;CTX_L10_0,CTX_L30_1,CTX_L8_1;FILL_L8_14;0.013;
C32;CTX_L10_0,CTX_L30_1,CTX_L8_1;FILL_L8_15;0.009;
C33;CTX_L10_0,CTX_L30_1,CTX_L8_1;FILL_L8_2;0.012;
C34;CTX_L10_0,CTX_L30_1,CTX_L8_1;FILL_L8_22;0.01;
C35;CTX_L10_0,CTX_L30_1,CTX_L8_1;FILL_L8_23;0.009;
C36;CTX_L10_0,CTX_L30_1,CTX_L8_1;N;0.014;
C37;CTX_L10_0,CTX_L30_1,CTX_L8_1;VSUBS;1.369;
C38;CTX_L10_1,CTX_L10_3,CTX_L30_4;CTX_L10_2;0.123;
C39;CTX_L10_1,CTX_L10_3,CTX_L30_4;CTX_L126_0,CTX_L30_0,CTX_L50_1,CTX_L67_0;0.066;
C40;CTX_L10_1,CTX_L10_3,CTX_L30_4;CTX_L134_0;0.017;
C41;CTX_L10_1,CTX_L10_3,CTX_L30_4;CTX_L134_1;0.052;
C42;CTX_L10_1,CTX_L10_3,CTX_L30_4;CTX_L30_3;0.002;
C43;CTX_L10_1,CTX_L10_3,CTX_L30_4;CTX_L30_8,CTX_L50_0;0.203;
C44;CTX_L10_1,CTX_L10_3,CTX_L30_4;CTX_L50_4;0.004;
C45;CTX_L10_1,CTX_L10_3,CTX_L30_4;CTX_L50_5;0.04;
C46;CTX_L10_1,CTX_L10_3,CTX_L30_4;CTX_L50_6;0.086;
C47;CTX_L10_1,CTX_L10_3,CTX_L30_4;CTX_L50_7;0.066;
C48;CTX_L10_1,CTX_L10_3,CTX_L30_4;CTX_L8_0;0.002;
C49;CTX_L10_1,CTX_L10_3,CTX_L30_4;CTX_L8_2;0.08;
C50;CTX_L10_1,CTX_L10_3,CTX_L30_4;FILL_L10_1;0.007;
C51;CTX_L10_1,CTX_L10_3,CTX_L30_4;FILL_L10_10;0.027;
C52;CTX_L10_1,CTX_L10_3,CTX_L30_4;FILL_L10_12;0.012;
C53;CTX_L10_1,CTX_L10_3,CTX_L30_4;FILL_L10_13;0.063;
C54;CTX_L10_1,CTX_L10_3,CTX_L30_4;FILL_L10_14;0.048;
C55;CTX_L10_1,CTX_L10_3,CTX_L30_4;FILL_L10_16;0.012;
C56;CTX_L10_1,CTX_L10_3,CTX_L30_4;FILL_L10_18;0.012;
C57;CTX_L10_1,CTX_L10_3,CTX_L30_4;FILL_L10_19;0.01;
C58;CTX_L10_1,CTX_L10_3,CTX_L30_4;FILL_L10_2;0.007;
C59;CTX_L10_1,CTX_L10_3,CTX_L30_4;FILL_L10_22;0.009;
C60;CTX_L10_1,CTX_L10_3,CTX_L30_4;FILL_L10_4;0.007;
C61;CTX_L10_1,CTX_L10_3,CTX_L30_4;FILL_L10_5;0.012;
C62;CTX_L10_1,CTX_L10_3,CTX_L30_4;FILL_L10_6;0.038;
C63;CTX_L10_1,CTX_L10_3,CTX_L30_4;FILL_L126_0;0.023;
C64;CTX_L10_1,CTX_L10_3,CTX_L30_4;FILL_L30_0;0.0;
C65;CTX_L10_1,CTX_L10_3,CTX_L30_4;FILL_L30_10;0.001;
C66;CTX_L10_1,CTX_L10_3,CTX_L30_4;FILL_L30_11;0.006;
C67;CTX_L10_1,CTX_L10_3,CTX_L30_4;FILL_L30_12;0.004;
C68;CTX_L10_1,CTX_L10_3,CTX_L30_4;FILL_L30_13;0.042;
C69;CTX_L10_1,CTX_L10_3,CTX_L30_4;FILL_L30_14;0.004;
C70;CTX_L10_1,CTX_L10_3,CTX_L30_4;FILL_L30_15;0.004;
C71;CTX_L10_1,CTX_L10_3,CTX_L30_4;FILL_L30_3;0.007;
