Device;Net1;Net2;Capacitance [fF];Resistance [Ω]
C1;CTX_L10_0;CTX_L126_0;0.088;
C2;CTX_L10_0;CTX_L126_1,CTX_L134_0;0.054;
C3;CTX_L10_0;CTX_L30_0;0.054;
C4;CTX_L10_0;CTX_L30_1,CTX_L50_4;0.046;
C5;CTX_L10_0;CTX_L30_2,CTX_L50_0;0.005;
C6;CTX_L10_0;CTX_L30_3;0.035;
C7;CTX_L10_0;CTX_L30_4;0.035;
C8;CTX_L10_0;CTX_L30_5,CTX_L50_2;0.004;
C9;CTX_L10_0;CTX_L30_6;0.002;
C10;CTX_L10_0;CTX_L50_1;0.003;
C11;CTX_L10_0;CTX_L50_3;0.036;
C12;CTX_L10_0;CTX_L50_5;0.069;
C13;CTX_L10_0;CTX_L8_0;0.018;
C14;CTX_L10_0;N;0.015;
C15;CTX_L10_0;P;0.019;
C16;CTX_L10_0;VSUBS;1.463;
C17;CTX_L126_0;CTX_L126_1,CTX_L134_0;0.353;
C18;CTX_L126_0;CTX_L30_0;0.072;
C19;CTX_L126_0;CTX_L30_1,CTX_L50_4;0.076;
C20;CTX_L126_0;CTX_L30_2,CTX_L50_0;0.011;
C21;CTX_L126_0;CTX_L30_3;0.031;
C22;CTX_L126_0;CTX_L30_4;0.053;
C23;CTX_L126_0;CTX_L30_5,CTX_L50_2;0.11;
C24;CTX_L126_0;CTX_L30_6;0.003;
C25;CTX_L126_0;CTX_L50_1;0.109;
C26;CTX_L126_0;CTX_L50_3;0.277;
C27;CTX_L126_0;CTX_L50_5;0.035;
C28;CTX_L126_0;CTX_L8_0;0.014;
C29;CTX_L126_0;N;0.025;
C30;CTX_L126_0;P;0.029;
C31;CTX_L126_0;VSUBS;1.522;
C32;CTX_L126_1,CTX_L134_0;CTX_L30_0;0.107;
C33;CTX_L126_1,CTX_L134_0;CTX_L30_1,CTX_L50_4;0.022;
C34;CTX_L126_1,CTX_L134_0;CTX_L30_2,CTX_L50_0;0.055;
C35;CTX_L126_1,CTX_L134_0;CTX_L30_3;0.04;
C36;CTX_L126_1,CTX_L134_0;CTX_L30_4;0.049;
C37;CTX_L126_1,CTX_L134_0;CTX_L30_5,CTX_L50_2;0.005;
C38;CTX_L126_1,CTX_L134_0;CTX_L30_6;0.059;
C39;CTX_L126_1,CTX_L134_0;CTX_L50_1;0.012;
C40;CTX_L126_1,CTX_L134_0;CTX_L50_3;0.013;
C41;CTX_L126_1,CTX_L134_0;CTX_L50_5;0.033;
C42;CTX_L126_1,CTX_L134_0;CTX_L8_0;0.02;
C43;CTX_L126_1,CTX_L134_0;N;0.074;
C44;CTX_L126_1,CTX_L134_0;P;0.029;
C45;CTX_L126_1,CTX_L134_0;VSUBS;1.946;
C46;CTX_L30_0;CTX_L30_2,CTX_L50_0;0.283;
C47;CTX_L30_0;CTX_L30_3;0.01;
C48;CTX_L30_0;CTX_L50_1;0.0;
C49;CTX_L30_0;CTX_L50_3;0.002;
C50;CTX_L30_0;CTX_L50_5;0.067;
C51;CTX_L30_0;CTX_L8_0;0.129;
C52;CTX_L30_0;N;0.124;
C53;CTX_L30_0;P;0.124;
C54;CTX_L30_0;VSUBS;0.803;
C55;CTX_L30_1,CTX_L50_4;CTX_L30_2,CTX_L50_0;0.003;
C56;CTX_L30_1,CTX_L50_4;CTX_L30_3;0.269;
C57;CTX_L30_1,CTX_L50_4;CTX_L30_4;0.028;
C58;CTX_L30_1,CTX_L50_4;CTX_L30_5,CTX_L50_2;0.0;
C59;CTX_L30_1,CTX_L50_4;CTX_L30_6;0.0;
C60;CTX_L30_1,CTX_L50_4;CTX_L50_1;0.017;
C61;CTX_L30_1,CTX_L50_4;CTX_L50_3;2.198;
C62;CTX_L30_1,CTX_L50_4;CTX_L50_5;0.358;
C63;CTX_L30_1,CTX_L50_4;N;0.0;
C64;CTX_L30_1,CTX_L50_4;P;0.0;
C65;CTX_L30_1,CTX_L50_4;VSUBS;0.298;
C66;CTX_L30_2,CTX_L50_0;CTX_L30_3;0.345;
C67;CTX_L30_2,CTX_L50_0;CTX_L50_5;0.0;
C68;CTX_L30_2,CTX_L50_0;CTX_L8_0;0.026;
C69;CTX_L30_2,CTX_L50_0;N;1.368;
C70;CTX_L30_2,CTX_L50_0;P;0.001;
C71;CTX_L30_2,CTX_L50_0;VSUBS;0.332;
C72;CTX_L30_3;CTX_L30_4;0.197;
C73;CTX_L30_3;CTX_L50_1;0.016;
C74;CTX_L30_3;CTX_L50_3;0.025;
C75;CTX_L30_3;CTX_L50_5;0.028;
C76;CTX_L30_3;CTX_L8_0;0.005;
C77;CTX_L30_3;N;0.029;
C78;CTX_L30_3;P;0.022;
C79;CTX_L30_3;VSUBS;0.341;
C80;CTX_L30_4;CTX_L30_5,CTX_L50_2;0.094;
C81;CTX_L30_4;CTX_L50_1;0.015;
C82;CTX_L30_4;CTX_L50_3;0.029;
C83;CTX_L30_4;CTX_L50_5;0.028;
C84;CTX_L30_4;CTX_L8_0;0.001;
C85;CTX_L30_4;N;0.03;
C86;CTX_L30_4;P;0.022;
C87;CTX_L30_4;VSUBS;0.553;
C88;CTX_L30_5,CTX_L50_2;CTX_L50_1;0.557;
C89;CTX_L30_5,CTX_L50_2;CTX_L50_3;0.242;
C90;CTX_L30_5,CTX_L50_2;VSUBS;0.189;
C91;CTX_L30_6;CTX_L50_3;0.0;
C92;CTX_L30_6;CTX_L50_5;0.001;
C93;CTX_L30_6;N;0.014;
C94;CTX_L30_6;P;0.002;
C95;CTX_L30_6;VSUBS;0.391;
C96;CTX_L50_1;CTX_L50_3;0.214;
C97;CTX_L50_1;CTX_L8_0;0.0;
C98;CTX_L50_1;VSUBS;0.787;
C99;CTX_L50_3;CTX_L50_5;0.17;
C100;CTX_L50_3;CTX_L8_0;0.002;
C101;CTX_L50_3;VSUBS;0.366;
C102;CTX_L50_5;CTX_L8_0;0.003;
C103;CTX_L50_5;P;3.488;
C104;CTX_L50_5;VSUBS;0.244;
C105;CTX_L8_0;N;0.012;
C106;CTX_L8_0;P;0.004;
C107;CTX_L8_0;VSUBS;1.036;
C108;N;P;3.488;
C109;N;VSUBS;0.407;
C110;P;VSUBS;0.09;
