Device;Net1;Net2;Capacitance [fF];Resistance [Ω]
C1;CTX_L10_0,CTX_L30_4;CTX_L10_1;0.239;
C2;CTX_L10_0,CTX_L30_4;CTX_L10_2;0.035;
C3;CTX_L10_0,CTX_L30_4;CTX_L126_0;0.046;
C4;CTX_L10_0,CTX_L30_4;CTX_L126_1,CTX_L134_0;0.041;
C5;CTX_L10_0,CTX_L30_4;CTX_L30_1;0.01;
C6;CTX_L10_0,CTX_L30_4;CTX_L30_2,CTX_L50_8;0.487;
C7;CTX_L10_0,CTX_L30_4;CTX_L30_3,CTX_L50_0;0.725;
C8;CTX_L10_0,CTX_L30_4;CTX_L30_5,CTX_L50_1;0.337;
C9;CTX_L10_0,CTX_L30_4;CTX_L30_6,CTX_L50_6;0.067;
C10;CTX_L10_0,CTX_L30_4;CTX_L30_7,CTX_L50_2;0.04;
C11;CTX_L10_0,CTX_L30_4;CTX_L30_8;0.012;
C12;CTX_L10_0,CTX_L30_4;CTX_L50_3;0.061;
C13;CTX_L10_0,CTX_L30_4;CTX_L50_5;0.03;
C14;CTX_L10_0,CTX_L30_4;CTX_L50_7;0.025;
C15;CTX_L10_0,CTX_L30_4;CTX_L50_9;0.028;
C16;CTX_L10_0,CTX_L30_4;CTX_L8_0;0.004;
C17;CTX_L10_0,CTX_L30_4;FILL_L10_16;0.288;
C18;CTX_L10_0,CTX_L30_4;FILL_L10_17;0.287;
C19;CTX_L10_0,CTX_L30_4;FILL_L10_18;0.059;
C20;CTX_L10_0,CTX_L30_4;FILL_L30_1;0.018;
C21;CTX_L10_0,CTX_L30_4;FILL_L30_10;0.0;
C22;CTX_L10_0,CTX_L30_4;FILL_L30_2;0.007;
C23;CTX_L10_0,CTX_L30_4;FILL_L30_9;0.0;
C24;CTX_L10_0,CTX_L30_4;FILL_L50_4;0.022;
C25;CTX_L10_0,CTX_L30_4;FILL_L50_5;0.005;
C26;CTX_L10_0,CTX_L30_4;FILL_L50_6;0.285;
C27;CTX_L10_0,CTX_L30_4;FILL_L50_7;0.12;
C28;CTX_L10_0,CTX_L30_4;FILL_L8_15;0.042;
C29;CTX_L10_0,CTX_L30_4;FILL_L8_16;0.22;
C30;CTX_L10_0,CTX_L30_4;FILL_L8_17;0.135;
C31;CTX_L10_0,CTX_L30_4;FILL_L8_18;0.003;
C32;CTX_L10_0,CTX_L30_4;FILL_L8_19;0.003;
C33;CTX_L10_0,CTX_L30_4;FILL_L8_20;0.002;
C34;CTX_L10_0,CTX_L30_4;FILL_L8_21;0.051;
C35;CTX_L10_0,CTX_L30_4;FILL_L8_22;0.119;
C36;CTX_L10_0,CTX_L30_4;FILL_L8_27;0.04;
C37;CTX_L10_0,CTX_L30_4;FILL_L8_28;0.093;
C38;CTX_L10_0,CTX_L30_4;N;0.029;
C39;CTX_L10_0,CTX_L30_4;P;0.022;
C40;CTX_L10_0,CTX_L30_4;VSUBS;0.68;
C41;CTX_L10_1;CTX_L10_2;0.179;
C42;CTX_L10_1;CTX_L126_0;0.074;
C43;CTX_L10_1;CTX_L126_1,CTX_L134_0;0.024;
C44;CTX_L10_1;CTX_L30_0;0.012;
C45;CTX_L10_1;CTX_L30_1;0.0;
C46;CTX_L10_1;CTX_L30_2,CTX_L50_8;0.04;
C47;CTX_L10_1;CTX_L30_5,CTX_L50_1;0.078;
C48;CTX_L10_1;CTX_L30_6,CTX_L50_6;0.041;
C49;CTX_L10_1;CTX_L30_7,CTX_L50_2;0.014;
C50;CTX_L10_1;CTX_L30_8;0.004;
C51;CTX_L10_1;CTX_L50_3;0.053;
C52;CTX_L10_1;CTX_L50_5;0.073;
C53;CTX_L10_1;CTX_L50_7;0.009;
C54;CTX_L10_1;FILL_L10_0;0.009;
C55;CTX_L10_1;FILL_L10_10;0.011;
C56;CTX_L10_1;FILL_L10_4;0.011;
C57;CTX_L10_1;FILL_L30_0;0.005;
C58;CTX_L10_1;FILL_L30_10;0.004;
C59;CTX_L10_1;FILL_L30_2;0.029;
C60;CTX_L10_1;FILL_L30_3;0.005;
C61;CTX_L10_1;FILL_L30_9;0.005;
C62;CTX_L10_1;FILL_L8_1;0.073;
C63;CTX_L10_1;FILL_L8_12;0.003;
C64;CTX_L10_1;FILL_L8_13;0.32;
C65;CTX_L10_1;FILL_L8_14;0.002;
C66;CTX_L10_1;FILL_L8_15;0.002;
C67;CTX_L10_1;FILL_L8_16;0.32;
C68;CTX_L10_1;FILL_L8_17;0.013;
C69;CTX_L10_1;FILL_L8_2;0.002;
C70;CTX_L10_1;FILL_L8_22;0.32;
C71;CTX_L10_1;FILL_L8_23;0.013;
C72;CTX_L10_1;FILL_L8_28;0.247;
C73;CTX_L10_1;FILL_L8_29;0.01;
C74;CTX_L10_1;FILL_L8_6;0.002;
C75;CTX_L10_1;VSUBS;0.6;
C76;CTX_L10_2;CTX_L126_0;0.079;
C77;CTX_L10_2;CTX_L126_1,CTX_L134_0;0.034;
C78;CTX_L10_2;CTX_L30_1;0.051;
C79;CTX_L10_2;CTX_L30_2,CTX_L50_8;0.045;
C80;CTX_L10_2;CTX_L30_3,CTX_L50_0;0.004;
C81;CTX_L10_2;CTX_L30_5,CTX_L50_1;0.035;
C82;CTX_L10_2;CTX_L30_6,CTX_L50_6;0.004;
C83;CTX_L10_2;CTX_L30_9;0.001;
C84;CTX_L10_2;CTX_L50_5;0.005;
C85;CTX_L10_2;CTX_L50_7;0.035;
C86;CTX_L10_2;CTX_L50_9;0.066;
C87;CTX_L10_2;CTX_L8_0;0.017;
C88;CTX_L10_2;FILL_L10_1;0.009;
C89;CTX_L10_2;FILL_L10_11;0.014;
C90;CTX_L10_2;FILL_L10_16;0.05;
C91;CTX_L10_2;FILL_L10_19;0.05;
C92;CTX_L10_2;FILL_L10_22;0.039;
C93;CTX_L10_2;FILL_L10_5;0.012;
C94;CTX_L10_2;FILL_L30_0;0.004;
C95;CTX_L10_2;FILL_L30_10;0.003;
C96;CTX_L10_2;FILL_L30_3;0.004;
C97;CTX_L10_2;FILL_L30_4;0.042;
C98;CTX_L10_2;FILL_L30_9;0.004;
C99;CTX_L10_2;FILL_L50_1;0.001;
C100;CTX_L10_2;FILL_L50_10;0.002;
C101;CTX_L10_2;FILL_L50_2;0.002;
C102;CTX_L10_2;FILL_L50_5;0.001;
C103;CTX_L10_2;FILL_L50_6;0.0;
C104;CTX_L10_2;FILL_L50_9;0.002;
C105;CTX_L10_2;FILL_L8_1;0.001;
C106;CTX_L10_2;FILL_L8_13;0.007;
C107;CTX_L10_2;FILL_L8_14;0.013;
C108;CTX_L10_2;FILL_L8_16;0.006;
C109;CTX_L10_2;FILL_L8_17;0.325;
C110;CTX_L10_2;FILL_L8_2;0.01;
C111;CTX_L10_2;FILL_L8_22;0.006;
C112;CTX_L10_2;FILL_L8_23;0.324;
C113;CTX_L10_2;FILL_L8_28;0.005;
C114;CTX_L10_2;FILL_L8_29;0.25;
C115;CTX_L10_2;FILL_L8_6;0.013;
C116;CTX_L10_2;N;0.015;
C117;CTX_L10_2;P;0.019;
C118;CTX_L10_2;VSUBS;0.795;
C119;CTX_L126_0;CTX_L126_1,CTX_L134_0;0.397;
C120;CTX_L126_0;CTX_L30_0;0.005;
C121;CTX_L126_0;CTX_L30_1;0.062;
C122;CTX_L126_0;CTX_L30_2,CTX_L50_8;0.08;
C123;CTX_L126_0;CTX_L30_3,CTX_L50_0;0.01;
C124;CTX_L126_0;CTX_L30_5,CTX_L50_1;0.063;
C125;CTX_L126_0;CTX_L30_6,CTX_L50_6;0.117;
C126;CTX_L126_0;CTX_L30_7,CTX_L50_2;0.011;
C127;CTX_L126_0;CTX_L30_8;0.001;
C128;CTX_L126_0;CTX_L30_9;0.002;
