Device;Net1;Net2;Capacitance [fF];Resistance [Ω]
C1;CTX_L10_0;CTX_L10_1;0.262;
C2;CTX_L10_0;CTX_L126_0;0.022;
C3;CTX_L10_0;CTX_L126_1;0.08;
C4;CTX_L10_0;CTX_L134_0;0.012;
C5;CTX_L10_0;CTX_L50_0;0.01;
C6;CTX_L10_0;CTX_L50_1;0.012;
C7;CTX_L10_0;CTX_L50_2;0.015;
C8;CTX_L10_0;CTX_L50_3;0.019;
C9;CTX_L10_0;CTX_L50_4;0.023;
C10;CTX_L10_0;CTX_L50_5;0.072;
C11;CTX_L10_0;CTX_L50_6;0.08;
C12;CTX_L10_0;CTX_L50_7;0.023;
C13;CTX_L10_0;CTX_L50_8;0.012;
C14;CTX_L10_0;VSUBS;1.262;
C15;CTX_L10_1;CTX_L126_1;0.06;
C16;CTX_L10_1;CTX_L134_0;0.001;
C17;CTX_L10_1;CTX_L50_10;0.031;
C18;CTX_L10_1;CTX_L50_6;0.012;
C19;CTX_L10_1;CTX_L50_7;0.019;
C20;CTX_L10_1;CTX_L50_8;0.031;
C21;CTX_L10_1;CTX_L50_9;0.092;
C22;CTX_L10_1;CTX_L8_12;0.001;
C23;CTX_L10_1;N;1.127;
C24;CTX_L10_1;VSUBS;0.718;
C25;CTX_L10_4;CTX_L10_5;0.31;
C26;CTX_L10_4;CTX_L134_0;0.002;
C27;CTX_L10_4;CTX_L50_12;0.092;
C28;CTX_L10_4;CTX_L50_13;0.031;
C29;CTX_L10_4;CTX_L50_14;0.027;
C30;CTX_L10_4;CTX_L50_15;0.023;
C31;CTX_L10_4;CTX_L50_16;0.019;
C32;CTX_L10_4;CTX_L8_12;0.002;
C33;CTX_L10_4;P;3.318;
C34;CTX_L10_4;VSUBS;0.577;
C35;CTX_L10_5;CTX_L10_6;1.127;
C36;CTX_L10_5;CTX_L126_1;0.018;
C37;CTX_L10_5;CTX_L126_2;0.055;
C38;CTX_L10_5;CTX_L134_0;0.009;
C39;CTX_L10_5;CTX_L50_13;0.015;
C40;CTX_L10_5;CTX_L50_14;0.019;
C41;CTX_L10_5;CTX_L50_15;0.023;
C42;CTX_L10_5;CTX_L50_16;0.072;
C43;CTX_L10_5;CTX_L50_17;0.08;
C44;CTX_L10_5;CTX_L8_12;0.01;
C45;CTX_L10_5;VSUBS;0.672;
C46;CTX_L10_6;CTX_L126_2;0.049;
C47;CTX_L10_6;CTX_L134_0;0.004;
C48;CTX_L10_6;CTX_L50_17;0.031;
C49;CTX_L10_6;CTX_L50_18;0.092;
C50;CTX_L10_6;CTX_L50_19;0.031;
C51;CTX_L10_6;CTX_L50_20;0.023;
C52;CTX_L10_6;CTX_L50_21;0.012;
C53;CTX_L10_6;CTX_L8_0;0.0;
C54;CTX_L10_6;CTX_L8_1;0.0;
C55;CTX_L10_6;CTX_L8_10;0.0;
C56;CTX_L10_6;CTX_L8_11;0.0;
C57;CTX_L10_6;CTX_L8_12;0.075;
C58;CTX_L10_6;CTX_L8_13;0.004;
C59;CTX_L10_6;CTX_L8_2;0.0;
C60;CTX_L10_6;CTX_L8_3;0.0;
C61;CTX_L10_6;CTX_L8_4;0.0;
C62;CTX_L10_6;CTX_L8_5;0.0;
C63;CTX_L10_6;CTX_L8_6;0.0;
C64;CTX_L10_6;CTX_L8_7;0.0;
C65;CTX_L10_6;CTX_L8_8;0.0;
C66;CTX_L10_6;CTX_L8_9;0.0;
C67;CTX_L10_6;VSUBS;0.876;
C68;CTX_L126_0;CTX_L134_0;0.058;
C69;CTX_L126_0;CTX_L50_0;0.051;
C70;CTX_L126_0;CTX_L50_1;0.019;
C71;CTX_L126_0;CTX_L50_2;0.016;
C72;CTX_L126_0;CTX_L50_3;0.014;
