Device;Net1;Net2;Capacitance [fF];Resistance [Ω]
C1;CTX_L10_0;CTX_L10_1;0.262;
C2;CTX_L10_0;CTX_L126_0;0.08;
C3;CTX_L10_0;CTX_L50_0;0.08;
C4;CTX_L10_0;CTX_L50_1;0.023;
C5;CTX_L10_0;CTX_L50_2;0.012;
C6;CTX_L10_0;VSUBS;1.262;
C7;CTX_L10_1;CTX_L10_2;1.127;
C8;CTX_L10_1;CTX_L126_0;0.06;
C9;CTX_L10_1;CTX_L50_0;0.012;
C10;CTX_L10_1;CTX_L50_1;0.019;
C11;CTX_L10_1;CTX_L50_2;0.031;
C12;CTX_L10_1;CTX_L50_3;0.092;
C13;CTX_L10_1;CTX_L50_4;0.031;
C14;CTX_L10_1;CTX_L8_0;0.001;
C15;CTX_L10_1;VSUBS;0.718;
C16;CTX_L10_2;CTX_L10_3;3.318;
C17;CTX_L10_2;CTX_L50_4;0.031;
C18;CTX_L10_2;CTX_L50_5;0.092;
C19;CTX_L10_2;CTX_L8_0;0.002;
C20;CTX_L10_2;VSUBS;0.295;
C21;CTX_L10_3;CTX_L10_4;3.318;
C22;CTX_L10_3;CTX_L126_0;0.03;
C23;CTX_L10_3;CTX_L126_1;0.022;
C24;CTX_L10_3;CTX_L50_5;0.05;
C25;CTX_L10_3;CTX_L8_0;0.002;
C26;CTX_L10_3;N;0.05;
C27;CTX_L10_3;VSUBS;0.201;
C28;CTX_L10_4;CTX_L10_5;0.31;
C29;CTX_L10_4;CTX_L50_10;0.019;
C30;CTX_L10_4;CTX_L50_8;0.027;
C31;CTX_L10_4;CTX_L50_9;0.023;
C32;CTX_L10_4;CTX_L8_0;0.002;
C33;CTX_L10_4;N;0.092;
C34;CTX_L10_4;P;0.031;
C35;CTX_L10_4;VSUBS;0.577;
C36;CTX_L10_5;CTX_L10_6;1.127;
C37;CTX_L10_5;CTX_L126_0;0.018;
C38;CTX_L10_5;CTX_L126_1;0.055;
C39;CTX_L10_5;CTX_L50_10;0.072;
C40;CTX_L10_5;CTX_L50_11;0.08;
C41;CTX_L10_5;CTX_L50_8;0.019;
C42;CTX_L10_5;CTX_L50_9;0.023;
C43;CTX_L10_5;CTX_L8_0;0.01;
C44;CTX_L10_5;P;0.015;
C45;CTX_L10_5;VSUBS;0.672;
C46;CTX_L10_6;CTX_L126_1;0.049;
C47;CTX_L10_6;CTX_L50_11;0.031;
C48;CTX_L10_6;CTX_L50_12;0.092;
C49;CTX_L10_6;CTX_L50_13;0.031;
C50;CTX_L10_6;CTX_L50_14;0.023;
C51;CTX_L10_6;CTX_L8_0;0.075;
C52;CTX_L10_6;VSUBS;0.892;
C53;CTX_L126_0;CTX_L126_1;0.616;
C54;CTX_L126_0;CTX_L50_0;0.052;
C55;CTX_L126_0;CTX_L50_1;0.202;
C56;CTX_L126_0;CTX_L50_10;0.021;
C57;CTX_L126_0;CTX_L50_2;0.263;
C58;CTX_L126_0;CTX_L50_3;0.117;
C59;CTX_L126_0;CTX_L50_4;0.063;
C60;CTX_L126_0;CTX_L50_5;0.058;
C61;CTX_L126_0;CTX_L50_8;0.03;
C62;CTX_L126_0;CTX_L50_9;0.025;
C63;CTX_L126_0;CTX_L8_0;0.006;
C64;CTX_L126_0;N;0.043;
C65;CTX_L126_0;P;0.036;
C66;CTX_L126_0;VSUBS;1.269;
C67;CTX_L126_1;CTX_L50_10;0.079;
C68;CTX_L126_1;CTX_L50_11;0.149;
C69;CTX_L126_1;CTX_L50_12;0.161;
C70;CTX_L126_1;CTX_L50_13;0.161;
C71;CTX_L126_1;CTX_L50_14;0.101;
C72;CTX_L126_1;CTX_L50_3;0.003;
C73;CTX_L126_1;CTX_L50_4;0.016;
C74;CTX_L126_1;CTX_L50_5;0.019;
C75;CTX_L126_1;CTX_L50_8;0.039;
C76;CTX_L126_1;CTX_L50_9;0.046;
C77;CTX_L126_1;CTX_L8_0;0.042;
C78;CTX_L126_1;N;0.027;
C79;CTX_L126_1;P;0.032;
C80;CTX_L126_1;VSUBS;1.275;
C81;CTX_L50_0;CTX_L50_1;1.296;
C82;CTX_L50_0;VSUBS;0.689;
C83;CTX_L50_1;CTX_L50_2;0.796;
C84;CTX_L50_1;VSUBS;0.261;
C85;CTX_L50_10;CTX_L50_11;0.796;
C86;CTX_L50_10;CTX_L50_9;3.488;
C87;CTX_L50_10;CTX_L8_0;0.006;
C88;CTX_L50_10;VSUBS;0.189;
C89;CTX_L50_11;CTX_L50_12;3.488;
C90;CTX_L50_11;CTX_L8_0;0.009;
C91;CTX_L50_11;VSUBS;0.188;
C92;CTX_L50_12;CTX_L50_13;3.488;
C93;CTX_L50_12;VSUBS;0.072;
C94;CTX_L50_13;CTX_L50_14;1.296;
C95;CTX_L50_13;CTX_L8_0;0.011;
C96;CTX_L50_13;VSUBS;0.16;
C97;CTX_L50_14;CTX_L8_0;0.061;
C98;CTX_L50_14;VSUBS;0.673;
C99;CTX_L50_2;CTX_L50_3;3.488;
C100;CTX_L50_2;CTX_L8_0;0.002;
