Device;Net1;Net2;Capacitance [fF];Resistance [Ω]
C1;CTX_L10_0,CTX_L30_0,CTX_L8_0;CTX_L126_0,CTX_L134_0;0.054;
C2;CTX_L10_0,CTX_L30_0,CTX_L8_0;CTX_L126_1;0.04;
C3;CTX_L10_0,CTX_L30_0,CTX_L8_0;CTX_L126_2,CTX_L50_2,CTX_L67_0;20.232;
C4;CTX_L10_0,CTX_L30_0,CTX_L8_0;P;0.005;
C5;CTX_L10_0,CTX_L30_0,CTX_L8_0;VSUBS;7.653;
C6;CTX_L126_0,CTX_L134_0;CTX_L126_1;3.195;
C7;CTX_L126_0,CTX_L134_0;CTX_L126_2,CTX_L50_2,CTX_L67_0;3.901;
C8;CTX_L126_0,CTX_L134_0;P;0.066;
C9;CTX_L126_0,CTX_L134_0;VSUBS;5.231;
C10;CTX_L126_1;CTX_L126_2,CTX_L50_2,CTX_L67_0;0.595;
C11;CTX_L126_1;N;1.712;
C12;CTX_L126_1;P;0.548;
C13;CTX_L126_1;VSUBS;3.573;
C14;CTX_L126_2,CTX_L50_2,CTX_L67_0;P;0.164;
C15;CTX_L126_2,CTX_L50_2,CTX_L67_0;VSUBS;6.307;
C16;N;P;0.494;
C17;N;VSUBS;1.383;
C18;P;VSUBS;0.836;
