 temp-sweep             v(vref)                i(vload)               i(vdd)                 v(vbe)                 v(dvbe)                v(pbias)               v(pcasc)               v(xbgr.c2)             v(xbgr.vbe3)           v(xbgr.vd1)            v(xbgr.vd2)            v(padres)              v(pad)                 i(vmeasure)            i(vdigital)           
-4.000000000000000e+01  1.044032235526167e+00  3.208816504101866e-06 -2.482535382913677e-04  7.806566507034765e-01  4.232475622711760e-02  2.312058404472443e+00  1.901424598557193e+00  8.436435339425183e-01  7.806746003630046e-01  1.561348835313790e+00  7.806744176545342e-01  1.044032284602022e+00  1.044032335178437e+00 -8.001378593009474e-11  0.000000000000000e+00 
-3.500000000000000e+01  1.044219812474847e+00  3.278222852640101e-06 -2.536108218326429e-04  7.749931732824686e-01  4.326692574340402e-02  2.311201928335408e+00  1.891447793043699e+00  8.386812678480580e-01  7.750125188697236e-01  1.550024687610590e+00  7.750123438029708e-01  1.044219858332549e+00  1.044219906869644e+00 -7.476687558934415e-11  0.000000000000000e+00 
-3.000000000000000e+01  1.044393538108811e+00  3.347585819389140e-06 -2.589649421649135e-04  7.693073667247833e-01  4.421055746038506e-02  2.310375239463880e+00  1.881487641468290e+00  8.337313326963985e-01  7.693281590054215e-01  1.538655986600230e+00  7.693279932977675e-01  1.044393580092662e+00  1.044393626177143e+00 -6.845090724280158e-11  0.000000000000000e+00 
-2.500000000000000e+01  1.044553628999908e+00  3.416901774812954e-06 -2.643156222991701e-04  7.635994138340788e-01  4.515565507000677e-02  2.309578171345465e+00  1.871543918064726e+00  8.287931539633844e-01  7.636217022295007e-01  1.527243095692822e+00  7.636215478437800e-01  1.044553666360877e+00  1.044553709520915e+00 -6.091371254855897e-11  0.000000000000000e+00 
-2.000000000000000e+01  1.044700291908581e+00  3.486167097314677e-06 -2.696625857821047e-04  7.578694885050543e-01  4.610222217271023e-02  2.308810578473492e+00  1.861616418887752e+00  8.238662087753337e-01  7.578933209446377e-01  1.515786360227545e+00  7.578931801113652e-01  1.044700323798090e+00  1.044700363499755e+00 -5.199298748496007e-11  0.000000000000000e+00 
-1.500000000000000e+01  1.044833725996000e+00  3.555378192590298e-06 -2.750055583685473e-04  7.521177562102853e-01  4.705026224848860e-02  2.308072333934519e+00  1.851704956963882e+00  8.189500236051146e-01  7.521431791364706e-01  1.504286108729221e+00  7.521430543619959e-01  1.044833751460551e+00  1.044833787104996e+00 -4.151766815974838e-11  0.000000000000000e+00 
-1.000000000000000e+01  1.044954124353417e+00  3.624531503117361e-06 -2.803442685679571e-04  7.463443749694135e-01  4.799977898386819e-02  2.307363327570146e+00  1.841809359522711e+00  8.140441720166284e-01  7.463714331273092e-01  1.492742654433185e+00  7.463713272140515e-01  1.044954142330479e+00  1.044954173252245e+00 -2.930999008033076e-11  0.000000000000000e+00 
-5.000000000000000e+00  1.045061672758990e+00  3.693623488961340e-06 -2.856784462099221e-04  7.405494953899225e-01  4.895077599823627e-02  2.306683465503287e+00  1.831929469904862e+00  8.091482710275396e-01  7.405782319208692e-01  1.481156295945194e+00  7.405781479701272e-01  1.045061682074714e+00  1.045061707541679e+00 -1.518845412800491e-11  0.000000000000000e+00 
 0.000000000000000e+00  1.045156553165378e+00  3.762650661688600e-06 -2.910078250906567e-04  7.347332615823915e-01  4.990325718394158e-02  2.306032667484239e+00  1.822065140660760e+00  8.042619798484243e-01  7.347637178395489e-01  1.469527318499108e+00  7.347636592470347e-01  1.045156552534877e+00  1.045156571750550e+00  1.027974169534481e-12  0.000000000000000e+00 
 5.000000000000000e+00  1.045238940834404e+00  3.831609547089342e-06 -2.963321401572977e-04  7.288958110579561e-01  5.085722637566228e-02  2.305410867425845e+00  1.812216239044177e+00  7.993849958296337e-01  7.289280266749472e-01  1.457855994264182e+00  7.289279971290904e-01  1.045238928865648e+00  1.045238940974759e+00  1.951398529218221e-11  0.000000000000000e+00 
 1.000000000000000e+01  1.045309007312655e+00  3.900496713115951e-06 -3.016511295781505e-04  7.230372754228195e-01  5.181268758233960e-02  2.304818011204523e+00  1.802382641336187e+00  7.945170531934154e-01  7.230712882344433e-01  1.446142583395606e+00  7.230712916948145e-01  1.045308982515362e+00  1.045308986614101e+00  4.042976497964346e-11  0.000000000000000e+00 
 1.500000000000000e+01  1.045366919658415e+00  3.969308755114780e-06 -3.069645335418377e-04  7.171577805145235e-01  5.276964485336653e-02  2.304254056405353e+00  1.792564234495098e+00  7.896579200580870e-01  7.171936265916838e-01  1.434387334489386e+00  7.171936672407625e-01  1.045366880459837e+00  1.045366875612481e+00  6.390977060211299e-11  0.000000000000000e+00 
 2.000000000000000e+01  1.045412840865721e+00  4.038042294043679e-06 -3.122720942221099e-04  7.112574467266203e-01  5.372810229023485e-02  2.303718971578434e+00  1.782760915841698e+00  7.848073963376766e-01  7.112951604052270e-01  1.422590485203175e+00  7.112952425964609e-01  1.045412785635842e+00  1.045412770900221e+00  9.004737081958202e-11  0.000000000000000e+00 
 2.500000000000000e+01  1.045446932267159e+00  4.106693995345231e-06 -3.175735573232611e-04  7.053363894195123e-01  5.468806413274362e-02  2.303212734668918e+00  1.772972589287432e+00  7.799653123165868e-01  7.053760033576653e-01  1.410752263017727e+00  7.053761315014438e-01  1.045446859356699e+00  1.045446833821706e+00  1.188739744967711e-10  0.000000000000000e+00 
 3.000000000000000e+01  1.045469351878449e+00  4.175260540825561e-06 -3.228686697613735e-04  6.993947189488441e-01  5.564953459716010e-02  2.302735333559811e+00  1.763199169563683e+00  7.751315257029123e-01  6.994362642844639e-01  1.398872885447485e+00  6.994364427119885e-01  1.045469259674165e+00  1.045469222513601e+00  1.503308248280551e-10  0.000000000000000e+00 
 3.500000000000000e+01  1.045480257550096e+00  4.243738652141263e-06 -3.281571813673093e-04  6.934325410891353e-01  5.661251799035841e-02  2.302286764419482e+00  1.753440577830591e+00  7.703059207224849e-01  6.934760476339437e-01  1.386952560821983e+00  6.934762803920459e-01  1.045480144553339e+00  1.045480095101801e+00  1.842310905977480e-10  0.000000000000000e+00 
 4.000000000000000e+01  1.045479809306465e+00  4.312125102048521e-06 -3.334388462958504e-04  6.874499573690824e-01  5.757701878308965e-02  2.301867030638221e+00  1.743696739563426e+00  7.654884068975100e-01  6.874954538523300e-01  1.374991488872929e+00  6.874957444024301e-01  1.045479674242807e+00  1.045479612101103e+00  2.202091951087101e-10  0.000000000000000e+00 
 4.500000000000000e+01  1.045468169494336e+00  4.380416696949890e-06 -3.387134208482399e-04  6.814470651038688e-01  5.854304148095911e-02  2.301476143067518e+00  1.733967587357304e+00  7.606789167290823e-01  6.814945795954931e-01  1.362989860955380e+00  6.814949304176665e-01  1.045468011464544e+00  1.045467936644468e+00  2.576534191176745e-10  0.000000000000000e+00 
 5.000000000000000e+01  1.045445507566704e+00  4.448610305872661e-06 -3.439806665182757e-04  6.754239578043663e-01  5.951059076259609e-02  2.301114118266048e+00  1.724253056242475e+00  7.558774054975083e-01  6.754735182616385e-01  1.350947860812499e+00  6.754739302986937e-01  1.045445326252427e+00  1.045445239373733e+00  2.956166874867788e-10  0.000000000000000e+00 
 5.500000000000000e+01  1.045412005540927e+00  4.516702889935623e-06 -3.492403517263832e-04  6.693807255833709e-01  6.047967162551084e-02  2.300780976759591e+00  1.714553078820594e+00  7.510838509987767e-01  6.694323605600160e-01  1.338865665318617e+00  6.694328324667140e-01  1.045411801482487e+00  1.045411704038765e+00  3.326990072144478e-10  0.000000000000000e+00 
 6.000000000000000e+01  1.045367861564622e+00  4.584691500969924e-06 -3.544922517000022e-04  6.633174551919361e-01  6.145028928682898e-02  2.300476742688585e+00  1.704867586557274e+00  7.462982522638474e-01  6.633711949244743e-01  1.326743444789868e+00  6.633717220510142e-01  1.045367636533402e+00  1.045367531248446e+00  3.668932458058086e-10  0.000000000000000e+00 
 6.500000000000000e+01  1.045313302823198e+00  4.652573372556894e-06 -3.597361555581482e-04  6.572342309121596e-01  6.242244967160783e-02  2.300201439405318e+00  1.695196495324592e+00  7.415206321491198e-01  6.572901085900096e-01  1.314581364445902e+00  6.572906816116313e-01  1.045313060317608e+00  1.045312951620183e+00  3.953836423732075e-10  0.000000000000000e+00 
 7.000000000000000e+01  1.045248595492038e+00  4.720345962139954e-06 -3.649718691354802e-04  6.511311347870427e-01  6.339615946103182e-02  2.299955087237533e+00  1.685539700482805e+00  7.367510380255998e-01  6.511891884336337e-01  1.302379585222085e+00  6.511897915342969e-01  1.045248341394286e+00  1.045248236047121e+00  4.142836225459054e-10  0.000000000000000e+00 
 7.500000000000000e+01  1.045174064925235e+00  4.788007087197009e-06 -3.701992252992261e-04  6.450082476380988e-01  6.437142667553723e-02  2.299737697090953e+00  1.675897056759906e+00  7.319895464181450e-01  6.450685225301187e-01  1.290138265706918e+00  6.450691309737626e-01  1.045173808366533e+00  1.045173716295424e+00  4.182959818586365e-10  0.000000000000000e+00 
 8.000000000000000e+01  1.045090122245497e+00  4.855555106058837e-06 -3.754180970081324e-04  6.388656502583880e-01  6.534826138803702e-02  2.299549262034768e+00  1.666268351729420e+00  7.272362694398418e-01  6.389282021402042e-01  1.277857564552376e+00  6.389287790255680e-01  1.045089876740354e+00  1.045089812121891e+00  4.002741442500095e-10  0.000000000000000e+00 
 8.500000000000000e+01  1.044997301651797e+00  4.922989185089150e-06 -3.806284173745515e-04  6.327034250986169e-01  6.632667676937731e-02  2.299389744976351e+00  1.656653266105877e+00  7.224913651424456e-01  6.327683244265490e-01  1.265537644005400e+00  6.327688164389871e-01  1.044997086578438e+00  1.044997069260730e+00  3.506578460834922e-10  0.000000000000000e+00 
 9.000000000000000e+01  1.044896312227161e+00  4.990309684393030e-06 -3.858302082477745e-04  6.265216585699687e-01  6.730669055866648e-02  2.299259060954814e+00  1.647051315120986e+00  7.177550523849076e-01  6.265889961555788e-01  1.253178674671991e+00  6.265893279131914e-01  1.044896154751435e+00  1.044896212101908e+00  2.567500650465611e-10  0.000000000000000e+00 
 9.500000000000000e+01  1.044788109266199e+00  5.057518706364390e-06 -3.910236214411166e-04  6.203204442908301e-01  6.828832717927895e-02  2.299157051961576e+00  1.637461761622464e+00  7.130276322037958e-01  6.203903387196720e-01  1.240780842263639e+00  6.203904053447398e-01  1.044788046831586e+00  1.044788216130471e+00  1.017940444875509e-10  0.000000000000000e+00 
 1.000000000000000e+02  1.044673988865108e+00  5.124620834225257e-06 -3.962089952542478e-04  6.140998873347480e-01  6.927162052777402e-02  2.299083453000293e+00  1.627883493102987e+00  7.083095165459750e-01  6.141724947119518e-01  1.228344356427303e+00  6.141721520483702e-01  1.044674072402560e+00  1.044674403930962e+00 -1.362003331378495e-10  0.000000000000000e+00 
 1.050000000000000e+02  1.044555709254687e+00  5.191624081944595e-06 -4.013869292445103e-04  6.078601095014142e-01  7.025661746520785e-02  2.299037848295592e+00  1.618314852881068e+00  7.036012642770295e-01  6.079356362496301e-01  1.215869461917491e+00  6.079346880599423e-01  1.044556007304266e+00  1.044556568312890e+00 -4.859431399446609e-10  0.000000000000000e+00 
 1.100000000000000e+02  1.044435648873080e+00  5.258541145200830e-06 -4.065583847241458e-04  6.016012561049577e-01  7.124338234173200e-02  2.299019613494916e+00  1.608753402761643e+00  6.989036274166782e-01  6.016799756908877e-01  1.203356452844163e+00  6.016781568391028e-01  1.044436252855996e+00  1.044437132646170e+00 -9.847400406846642e-10  0.000000000000000e+00 
