run,model,commanded_overdrive_mV,effective_overdrive_mV,delay_ns
sch_cmp_delay_mos_tt_1.2V_27C_5MHz,Schematic,50.0,49.2822,0.4336
sch_cmp_delay_mos_tt_1.2V_27C_5MHz,Schematic,5.0,4.3563,0.5004
sch_cmp_delay_mos_tt_1.2V_27C_5MHz,Schematic,1.0,0.3629,0.5568
pex_cmp_delay_mos_tt_1.2V_27C_5MHz,Capacitance PEX,50.0,49.0697,0.5794
pex_cmp_delay_mos_tt_1.2V_27C_5MHz,Capacitance PEX,5.0,4.1915,0.708
pex_cmp_delay_mos_tt_1.2V_27C_5MHz,Capacitance PEX,1.0,0.2025,0.856
sch_cmp_delay_mos_ss_1.08V_-40C_5MHz,Schematic,50.0,49.4618,0.5919
sch_cmp_delay_mos_ss_1.08V_-40C_5MHz,Schematic,5.0,4.5288,0.7773
sch_cmp_delay_mos_ss_1.08V_-40C_5MHz,Schematic,1.0,0.5348,1.0044
pex_cmp_delay_mos_ss_1.08V_-40C_5MHz,Capacitance PEX,50.0,49.2719,0.8449
pex_cmp_delay_mos_ss_1.08V_-40C_5MHz,Capacitance PEX,5.0,4.3867,1.245
pex_cmp_delay_mos_ss_1.08V_-40C_5MHz,Capacitance PEX,1.0,0.3968,1.7776
