MOS_corner,temperature_C,HV_current_A,LV_current_A,LV_over_HV_ratio
mos_tt,-40.0,1.77e-16,6.75e-13,3800.0
mos_tt,27.0,7.92e-14,3.97e-11,501.0
mos_tt,85.0,4.15e-12,5.59e-10,135.0
mos_tt,125.0,3.8e-11,2.52e-09,66.3
mos_ss,-40.0,5.44e-17,1.37e-14,252.0
mos_ss,27.0,1.27e-14,2.22e-12,175.0
mos_ss,85.0,8.83e-13,5.56e-11,63.0
mos_ss,125.0,9.51e-12,3.36e-10,35.4
mos_ff,-40.0,1.54e-15,6.82e-12,4410.0
mos_ff,27.0,5.21e-13,2.45e-10,471.0
mos_ff,85.0,2.01e-11,2.58e-09,128.0
mos_ff,125.0,1.56e-10,9.95e-09,63.8
