 frequency              rejection             
 1.000000000000000e-01  1.029588711410186e+02 
 1.047128548050900e-01  1.029588687292983e+02 
 1.096478196143185e-01  1.029588660859857e+02 
 1.148153621496883e-01  1.029588631853792e+02 
 1.202264434617413e-01  1.029588600066611e+02 
 1.258925411794168e-01  1.029588565195895e+02 
 1.318256738556408e-01  1.029588526972840e+02 
 1.380384264602885e-01  1.029588485056709e+02 
 1.445439770745928e-01  1.029588439091733e+02 
 1.513561248436209e-01  1.029588388704086e+02 
 1.584893192461115e-01  1.029588333449774e+02 
 1.659586907437562e-01  1.029588272870653e+02 
 1.737800828749377e-01  1.029588206419950e+02 
 1.819700858609985e-01  1.029588133582628e+02 
 1.905460717963249e-01  1.029588053707910e+02 
 1.995262314968882e-01  1.029587966150453e+02 
 2.089296130854042e-01  1.029587870112753e+02 
 2.187761623949555e-01  1.029587764855752e+02 
 2.290867652767776e-01  1.029587649404509e+02 
 2.398832919019494e-01  1.029587522817184e+02 
 2.511886431509583e-01  1.029587384035728e+02 
 2.630267991895386e-01  1.029587231844229e+02 
 2.754228703338171e-01  1.029587064983642e+02 
 2.884031503126611e-01  1.029586882016109e+02 
 3.019951720402022e-01  1.029586681410544e+02 
 3.162277660168385e-01  1.029586461437284e+02 
 3.311311214825917e-01  1.029586220245820e+02 
 3.467368504525323e-01  1.029585955800162e+02 
 3.630780547701021e-01  1.029585665818095e+02 
 3.801893963205620e-01  1.029585347882282e+02 
 3.981071705534981e-01  1.029584999283832e+02 
 4.168693834703363e-01  1.029584617042797e+02 
 4.365158322401669e-01  1.029584197937310e+02 
 4.570881896148761e-01  1.029583738400171e+02 
 4.786300923226395e-01  1.029583234526646e+02 
 5.011872336272735e-01  1.029582682035997e+02 
 5.248074602497739e-01  1.029582076256925e+02 
 5.495408738576260e-01  1.029581412049893e+02 
 5.754399373371585e-01  1.029580683779840e+02 
 6.025595860743594e-01  1.029579885246756e+02 
 6.309573444801950e-01  1.029579009687565e+02 
 6.606934480075979e-01  1.029578049664542e+02 
 6.918309709189385e-01  1.029576997083758e+02 
 7.244359600749922e-01  1.029575842952665e+02 
 7.585775750291861e-01  1.029574577526834e+02 
 7.943282347242840e-01  1.029573190048247e+02 
 8.317637711026737e-01  1.029571668762977e+02 
 8.709635899560836e-01  1.029570000783784e+02 
 9.120108393559129e-01  1.029568171932341e+02 
 9.549925860214393e-01  1.029566166701111e+02 
 1.000000000000004e+00  1.029563968138730e+02 
 1.047128548050903e+00  1.029561557598204e+02 
 1.096478196143189e+00  1.029558914617754e+02 
 1.148153621496887e+00  1.029556016878752e+02 
 1.202264434617417e+00  1.029552839773315e+02 
 1.258925411794172e+00  1.029549356403706e+02 
 1.318256738556412e+00  1.029545537301941e+02 
 1.380384264602890e+00  1.029541350100817e+02 
 1.445439770745933e+00  1.029536759414359e+02 
 1.513561248436214e+00  1.029531726367511e+02 
 1.584893192461120e+00  1.029526208422718e+02 
 1.659586907437567e+00  1.029520158872481e+02 
 1.737800828749383e+00  1.029513526731552e+02 
 1.819700858609991e+00  1.029506255839874e+02 
 1.905460717963255e+00  1.029498284900086e+02 
 1.995262314968888e+00  1.029489546599768e+02 
 2.089296130854049e+00  1.029479967249105e+02 
 2.187761623949563e+00  1.029469466177184e+02 
 2.290867652767784e+00  1.029457954839317e+02 
 2.398832919019502e+00  1.029445336452434e+02 
 2.511886431509592e+00  1.029431504865980e+02 
 2.630267991895395e+00  1.029416343873953e+02 
 2.754228703338180e+00  1.029399726274959e+02 
 2.884031503126621e+00  1.029381512733391e+02 
 3.019951720402032e+00  1.029361550796400e+02 
 3.162277660168396e+00  1.029339673454384e+02 
 3.311311214825928e+00  1.029315698089633e+02 
 3.467368504525334e+00  1.029289424892550e+02 
 3.630780547701033e+00  1.029260635130973e+02 
 3.801893963205632e+00  1.029229089704464e+02 
 3.981071705534994e+00  1.029194527127958e+02 
 4.168693834703377e+00  1.029156661602654e+02 
 4.365158322401684e+00  1.029115180819117e+02 
 4.570881896148776e+00  1.029069743525584e+02 
 4.786300923226412e+00  1.029019977081639e+02 
 5.011872336272753e+00  1.028965474745094e+02 
 5.248074602497758e+00  1.028905792634610e+02 
 5.495408738576280e+00  1.028840446615910e+02 
 5.754399373371605e+00  1.028768909011639e+02 
 6.025595860743615e+00  1.028690604745024e+02 
 6.309573444801972e+00  1.028604907759834e+02 
 6.606934480076003e+00  1.028511136871859e+02 
 6.918309709189410e+00  1.028408551279050e+02 
 7.244359600749949e+00  1.028296346300817e+02 
 7.585775750291888e+00  1.028173648204120e+02 
 7.943282347242868e+00  1.028039509684386e+02 
 8.317637711026766e+00  1.027892904348426e+02 
 8.709635899560865e+00  1.027732721600568e+02 
 9.120108393559160e+00  1.027557761065867e+02 
 9.549925860214426e+00  1.027366727381536e+02 
 1.000000000000007e+01  1.027158224354872e+02 
 1.047128548050907e+01  1.026930750121687e+02 
 1.096478196143193e+01  1.026682691389235e+02 
 1.148153621496891e+01  1.026412319076260e+02 
 1.202264434617422e+01  1.026117783611034e+02 
 1.258925411794177e+01  1.025797111362637e+02 
 1.318256738556417e+01  1.025448201443114e+02 
 1.380384264602895e+01  1.025068823836724e+02 
 1.445439770745939e+01  1.024656618656523e+02 
 1.513561248436220e+01  1.024209096430604e+02 
 1.584893192461126e+01  1.023723641005174e+02 
 1.659586907437574e+01  1.023197513473192e+02 
 1.737800828749389e+01  1.022627858785499e+02 
 1.819700858609998e+01  1.022011714943690e+02 
 1.905460717963263e+01  1.021346024458063e+02 
 1.995262314968896e+01  1.020627649243740e+02 
 2.089296130854057e+01  1.019853388347304e+02 
 2.187761623949572e+01  1.019019998565099e+02 
 2.290867652767793e+01  1.018124218681687e+02 
 2.398832919019511e+01  1.017162796555955e+02 
 2.511886431509602e+01  1.016132518865687e+02 
 2.630267991895405e+01  1.015030243568695e+02 
 2.754228703338191e+01  1.013852934482581e+02 
 2.884031503126632e+01  1.012597696885442e+02 
 3.019951720402043e+01  1.011261814014137e+02 
 3.162277660168408e+01  1.009842783983504e+02 
 3.311311214825941e+01  1.008338354404868e+02 
 3.467368504525349e+01  1.006746555713609e+02 
 3.630780547701048e+01  1.005065731715737e+02 
 3.801893963205648e+01  1.003294565612184e+02 
 3.981071705535010e+01  1.001432101251821e+02 
 4.168693834703394e+01  9.994777592923528e+01 
 4.365158322401702e+01  9.974313463951069e+01 
 4.570881896148795e+01  9.952930590096571e+01 
 4.786300923226430e+01  9.930634798151361e+01 
 5.011872336272772e+01  9.907435677903331e+01 
 5.248074602497778e+01  9.883346427356713e+01 
 5.495408738576300e+01  9.858383635464284e+01 
 5.754399373371627e+01  9.832567020957832e+01 
 6.025595860743638e+01  9.805919128343538e+01 
 6.309573444801997e+01  9.778465000247888e+01 
 6.606934480076028e+01  9.750231817137190e+01 
 6.918309709189437e+01  9.721248539213406e+01 
 7.244359600749976e+01  9.691545540042570e+01 
 7.585775750291917e+01  9.661154246458398e+01 
 7.943282347242899e+01  9.630106795469456e+01 
 8.317637711026799e+01  9.598435711213897e+01 
 8.709635899560901e+01  9.566173606192248e+01 
 9.120108393559197e+01  9.533352907196536e+01 
 9.549925860214464e+01  9.500005622200034e+01 
 1.000000000000011e+02  9.466163125468373e+01 
 1.047128548050911e+02  9.431855984608730e+01 
 1.096478196143197e+02  9.397113810019320e+01 
 1.148153621496896e+02  9.361965143297931e+01 
 1.202264434617427e+02  9.326437364074296e+01 
 1.258925411794182e+02  9.290556624665774e+01 
 1.318256738556422e+02  9.254347807823680e+01 
 1.380384264602901e+02  9.217834502114103e+01 
 1.445439770745944e+02  9.181038998069698e+01 
 1.513561248436226e+02  9.143982293078237e+01 
 1.584893192461132e+02  9.106684112982849e+01 
 1.659586907437580e+02  9.069162944126923e+01 
 1.737800828749396e+02  9.031436067963827e+01 
 1.819700858610005e+02  8.993519606612028e+01 
 1.905460717963270e+02  8.955428571101436e+01 
 1.995262314968904e+02  8.917176914376537e+01 
 2.089296130854065e+02  8.878777582196992e+01 
 2.187761623949579e+02  8.840242570573392e+01 
 2.290867652767801e+02  8.801582978557904e+01 
 2.398832919019520e+02  8.762809063246800e+01 
 2.511886431509611e+02  8.723930291998366e+01 
 2.630267991895415e+02  8.684955394818941e+01 
 2.754228703338201e+02  8.645892414920024e+01 
 2.884031503126642e+02  8.606748754262257e+01 
 3.019951720402054e+02  8.567531219830066e+01 
 3.162277660168419e+02  8.528246069324219e+01 
 3.311311214825953e+02  8.488899047582557e+01 
 3.467368504525360e+02  8.449495428835971e+01 
 3.630780547701060e+02  8.410040050581955e+01 
 3.801893963205661e+02  8.370537348420407e+01 
 3.981071705535024e+02  8.330991387561708e+01 
 4.168693834703408e+02  8.291405891443206e+01 
 4.365158322401717e+02  8.251784269762148e+01 
 4.570881896148811e+02  8.212129643595999e+01 
 4.786300923226447e+02  8.172444867562298e+01 
 5.011872336272790e+02  8.132732557870212e+01 
 5.248074602497796e+02  8.092995102452676e+01 
 5.495408738576319e+02  8.053234686172944e+01 
 5.754399373371647e+02  8.013453306243589e+01 
 6.025595860743659e+02  7.973652788016327e+01 
 6.309573444802019e+02  7.933834799745513e+01 
 6.606934480076051e+02  7.894000865485660e+01 
 6.918309709189460e+02  7.854152375585389e+01 
 7.244359600750001e+02  7.814290605116855e+01 
 7.585775750291943e+02  7.774416713541427e+01 
 7.943282347242927e+02  7.734531761265551e+01 
 8.317637711026828e+02  7.694636712911328e+01 
 8.709635899560930e+02  7.654732459893960e+01 
 9.120108393559227e+02  7.614819805234964e+01 
 9.549925860214496e+02  7.574899484943450e+01 
 1.000000000000014e+03  7.534972172696732e+01 
 1.047128548050915e+03  7.495038480920081e+01 
 1.096478196143201e+03  7.455098970841325e+01 
 1.148153621496899e+03  7.415154152983700e+01 
 1.202264434617430e+03  7.375204493709803e+01 
 1.258925411794186e+03  7.335250419238717e+01 
 1.318256738556427e+03  7.295292317844559e+01 
 1.380384264602905e+03  7.255330543993220e+01 
 1.445439770745949e+03  7.215365419776984e+01 
 1.513561248436231e+03  7.175397243610936e+01 
 1.584893192461137e+03  7.135426283279017e+01 
 1.659586907437586e+03  7.095452785072465e+01 
 1.737800828749402e+03  7.055476973175590e+01 
 1.819700858610011e+03  7.015499052085831e+01 
 1.905460717963276e+03  6.975519210459771e+01 
