 frequency              onoise_spectrum        inoise_spectrum       
 1.000000000000000e+00  2.417482373122081e-04  1.209534920727066e-05 
 1.059253725177289e+00  2.345625953928822e-04  1.173583118447575e-05 
 1.122018454301963e+00  2.275924270409988e-04  1.138709391471603e-05 
 1.188502227437018e+00  2.208312095765944e-04  1.104881104983359e-05 
 1.258925411794167e+00  2.142726197256385e-04  1.072066621851425e-05 
 1.333521432163324e+00  2.079105274636070e-04  1.040235271826420e-05 
 1.412537544622754e+00  2.017389900509445e-04  1.009357321698713e-05 
 1.496235656094433e+00  1.957522462543873e-04  9.794039463860771e-06 
 1.584893192461113e+00  1.899447107482936e-04  9.503472009219555e-06 
 1.678804018122560e+00  1.843109686903353e-04  9.221599933161052e-06 
 1.778279410038923e+00  1.788457704660615e-04  8.948160582601668e-06 
 1.883649089489801e+00  1.735440265970417e-04  8.682899316516560e-06 
 1.995262314968880e+00  1.684008028074387e-04  8.425569259106352e-06 
 2.113489039836647e+00  1.634113152440502e-04  8.175931060642240e-06 
 2.238721138568339e+00  1.585709258449909e-04  7.933752665748061e-06 
 2.371373705661655e+00  1.538751378523578e-04  7.698809088886217e-06 
 2.511886431509580e+00  1.493195914643630e-04  7.470882196821538e-06 
 2.660725059798810e+00  1.449000596225527e-04  7.249760497843945e-06 
 2.818382931264454e+00  1.406124439299004e-04  7.035238937538196e-06 
 2.985382618917960e+00  1.364527706955671e-04  6.827118700895579e-06 
 3.162277660168379e+00  1.324171871026191e-04  6.625207020568615e-06 
 3.349654391578276e+00  1.285019574945010e-04  6.429316991076390e-06 
 3.548133892335754e+00  1.247034597768093e-04  6.239267388774183e-06 
 3.758374042884441e+00  1.210181819306515e-04  6.054882497406932e-06 
 3.981071705534972e+00  1.174427186341108e-04  5.875991939071555e-06 
 4.216965034285822e+00  1.139737679884394e-04  5.702430510419133e-06 
 4.466835921509631e+00  1.106081283457134e-04  5.534038023932772e-06 
 4.731512589614804e+00  1.073426952346938e-04  5.370659154122562e-06 
 5.011872336272723e+00  1.041744583820319e-04  5.212143288483735e-06 
 5.308844442309884e+00  1.011004988255577e-04  5.058344383069325e-06 
 5.623413251903491e+00  9.811798611700184e-05  4.909120822532838e-06 
 5.956621435290105e+00  9.522417561118897e-05  4.764335284501585e-06 
 6.309573444801933e+00  9.241640583920823e-05  4.623854608145139e-06 
 6.683439175686147e+00  8.969209596270112e-05  4.487549666808124e-06 
 7.079457843841380e+00  8.704874330685235e-05  4.355295244580375e-06 
 7.498942093324560e+00  8.448392096973113e-05  4.226969916681555e-06 
 7.943282347242817e+00  8.199527550532697e-05  4.102455933541303e-06 
 8.413951416451953e+00  7.958052467831770e-05  3.981639108459626e-06 
 8.912509381337458e+00  7.723745528800332e-05  3.864408708735878e-06 
 9.440608762859236e+00  7.496392105951938e-05  3.750657350158207e-06 
 1.000000000000000e+01  7.275784060008887e-05  3.640280894748758e-06 
 1.059253725177289e+01  7.061719541828741e-05  3.533178351663234e-06 
 1.122018454301964e+01  6.854002800443418e-05  3.429251781146488e-06 
 1.188502227437019e+01  6.652443997014781e-05  3.328406201449115e-06 
 1.258925411794168e+01  6.456859024520391e-05  3.230549498612734e-06 
 1.333521432163325e+01  6.267069333004265e-05  3.135592339034835e-06 
 1.412537544622755e+01  6.082901760195811e-05  3.043448084726654e-06 
 1.496235656094434e+01  5.904188367359333e-05  2.954032711180273e-06 
 1.584893192461114e+01  5.730766280185065e-05  2.867264727763972e-06 
 1.678804018122561e+01  5.562477534579233e-05  2.783065100567125e-06 
 1.778279410038923e+01  5.399168927203605e-05  2.701357177618530e-06 
 1.883649089489801e+01  5.240691870601937e-05  2.622066616404581e-06 
 1.995262314968880e+01  5.086902252788519e-05  2.545121313615710e-06 
 2.113489039836647e+01  4.937660301146236e-05  2.470451337052037e-06 
 2.238721138568340e+01  4.792830450511593e-05  2.397988859621146e-06 
 2.371373705661656e+01  4.652281215305028e-05  2.327668095363134e-06 
 2.511886431509581e+01  4.515885065595266e-05  2.259425237440164e-06 
 2.660725059798811e+01  4.383518306961931e-05  2.193198398028899e-06 
 2.818382931264455e+01  4.255060964045591e-05  2.128927550058556e-06 
 2.985382618917961e+01  4.130396667674179e-05  2.066554470735168e-06 
 3.162277660168380e+01  4.009412545445757e-05  2.006022686798332e-06 
 3.349654391578277e+01  3.891999115668255e-05  1.947277421456219e-06 
 3.548133892335755e+01  3.778050184553191e-05  1.890265542946903e-06 
 3.758374042884443e+01  3.667462746548855e-05  1.834935514675786e-06 
 3.981071705534974e+01  3.560136887741359e-05  1.781237346880261e-06 
 4.216965034285824e+01  3.455975692197527e-05  1.729122549774543e-06 
 4.466835921509633e+01  3.354885151192701e-05  1.678544088128306e-06 
 4.731512589614807e+01  3.256774075192210e-05  1.629456337236487e-06 
 5.011872336272725e+01  3.161554008554577e-05  1.581815040233932e-06 
 5.308844442309886e+01  3.069139146817977e-05  1.535577266718114e-06 
 5.623413251903494e+01  2.979446256530701e-05  1.490701372635090e-06 
 5.956621435290108e+01  2.892394597528238e-05  1.447146961391946e-06 
 6.309573444801936e+01  2.807905847575969e-05  1.404874846157648e-06 
 6.683439175686149e+01  2.725904029333725e-05  1.363847013315475e-06 
 7.079457843841382e+01  2.646315439528460e-05  1.324026587030963e-06 
 7.498942093324561e+01  2.569068580309185e-05  1.285377794902270e-06 
 7.943282347242818e+01  2.494094092678097e-05  1.247865934658608e-06 
 8.413951416451954e+01  2.421324691966409e-05  1.211457341874160e-06 
 8.912509381337459e+01  2.350695105272309e-05  1.176119358667347e-06 
 9.440608762859237e+01  2.282142010812833e-05  1.141820303354508e-06 
