bit_index,time_ps,v_amp_diff_mV,bit_decision
0,180.0,35.3612,1
1,380.0,-3.7640,0
2,580.0,-44.1596,0
3,780.0,66.5733,1
4,980.0,-14.7612,0
5,1180.0,30.6747,1
6,1380.0,-157.3878,0
7,1580.0,44.2200,1
8,1780.0,29.6609,1
9,1980.0,51.4173,1
10,2180.0,202.2346,1
11,2380.0,-95.0838,0
12,2580.0,98.5889,1
13,2780.0,56.3515,1
14,2980.0,-87.5732,0
15,3180.0,-20.7136,0
16,3380.0,-134.7265,0
17,3580.0,-27.1285,0
18,3780.0,-23.5840,0
19,3980.0,27.2302,1
20,4180.0,-93.9370,0
21,4380.0,70.3845,1
22,4580.0,33.8226,1
23,4780.0,-75.6453,0
24,4980.0,-66.3887,0
25,5180.0,8.5004,1
26,5380.0,102.9583,1
27,5580.0,-73.5703,0
28,5780.0,80.4568,1
29,5980.0,-28.6286,0
30,6180.0,128.5365,1
31,6380.0,104.0976,1
32,6580.0,-137.1428,0
33,6780.0,-165.5562,0
34,6980.0,-106.1285,0
35,7180.0,51.6463,1
36,7380.0,60.7823,1
37,7580.0,20.6227,1
38,7780.0,-72.6930,0
39,7980.0,-178.3779,0
40,8180.0,7.0759,1
41,8380.0,70.0038,1
42,8580.0,-70.5078,0
43,8780.0,-46.8583,0
44,8980.0,-90.6979,0
45,9180.0,140.4453,1
46,9380.0,43.9126,1
47,9580.0,102.9966,1
48,9780.0,-58.5679,0
49,9980.0,97.4664,1
50,10180.0,54.6242,1
51,10380.0,79.0079,1
52,10580.0,21.1124,1
53,10780.0,-23.6646,0
54,10980.0,1.8588,1
55,11180.0,-8.7284,0
56,11380.0,-37.0024,0
57,11580.0,110.3155,1
58,11780.0,-46.2926,0
59,11980.0,-44.0106,0
60,12180.0,50.0042,1
61,12380.0,-35.6831,0
62,12580.0,83.2853,1
63,12780.0,-8.4410,0
64,12980.0,-45.5071,0
65,13180.0,7.8251,1
66,13380.0,88.8841,1
67,13580.0,-55.1956,0
68,13780.0,30.0776,1
69,13980.0,37.9314,1
70,14180.0,-68.4420,0
71,14380.0,100.6885,1
72,14580.0,-19.6651,0
73,14780.0,66.2981,1
74,14980.0,65.3937,1
75,15180.0,52.2515,1
76,15380.0,-30.6117,0
77,15580.0,-20.4666,0
78,15780.0,-66.3850,0
79,15980.0,-91.0571,0
80,16180.0,-26.7554,0
81,16380.0,79.8331,1
82,16580.0,42.5121,1
83,16780.0,-16.5646,0
84,16980.0,13.9753,1
85,17180.0,-29.8154,0
86,17380.0,-14.7405,0
87,17580.0,-193.6313,0
88,17780.0,-12.0277,0
89,17980.0,-72.4994,0
90,18180.0,-22.8870,0
91,18380.0,-31.5892,0
92,18580.0,-31.7032,0
93,18780.0,-123.9318,0
94,18980.0,62.2417,1
95,19180.0,-29.1922,0
96,19380.0,-128.2679,0
97,19580.0,-7.5280,0
98,19780.0,-28.2155,0
99,19980.0,-53.4797,0
100,20180.0,75.4797,1
101,20380.0,75.6387,1
102,20580.0,100.2454,1
103,20780.0,-74.8606,0
104,20980.0,29.5643,1
105,21180.0,-18.6129,0
106,21380.0,64.4347,1
107,21580.0,-144.0880,0
108,21780.0,34.7063,1
109,21980.0,157.5903,1
110,22180.0,-136.7544,0
111,22380.0,60.2260,1
