group,seed,V_step_mV,M_target,crossing_cycle,settled_mean,settled_error_lsb,settled_std,dither_span
Group A (10 mV),101,10.0,114727,22803,114726.15766156717,0.8423384328343673,2.2618469026185624,15
Group A (10 mV),102,10.0,114727,18943,114724.97688046683,2.0231195331725758,2.5576460180974556,17
Group A (10 mV),103,10.0,114727,24939,114727.64935186048,0.6493518604838755,3.260471274563735,20
Group A (10 mV),104,10.0,114727,21285,114728.88685765101,1.8868576510139974,2.483878922866732,15
Group A (10 mV),105,10.0,114727,41363,114728.26048399475,1.2604839947453002,2.678564587002209,17
Group B (20 mV),201,20.0,98382,19077,98383.4359329239,1.4359329238941427,2.406022132880332,15
Group B (20 mV),202,20.0,98382,29497,98381.80379558317,0.19620441683218814,2.088671968209126,13
Group B (20 mV),203,20.0,98382,23149,98381.62992023527,0.3700797647325089,2.769801576949214,17
Group B (20 mV),204,20.0,98382,18157,98383.57067800545,1.5706780054460978,2.774100882429105,17
Group B (20 mV),205,20.0,98382,28055,98380.35139342553,1.648606574468431,2.8421179815442756,16
