instance	Nx	vc_node	vb_node	ve_node	Vc_V	Vb_V	Ve_V	Vbe_V	Vce_V	Ic_A	Ib_A	Ie_A	vbe_in_cited_0p65_to0p96	vce_in_cited_0p4_to1p6
XQSEF1_M	3	ef_p_m	c_p1_comp_m	e_scomp_ef1_m	1.35061503943739303e+00	8.45457450483814599e-01	1.73052819845921531e-02	8.28152168499222463e-01	1.33330975745280078e+00	1.03767334917735806e-03	1.31779433462092269e-06	-1.03899114402271147e-03	TRUE	TRUE
XQSEF2_M	3	ef_n_m	c_p1_comp_m	e_scomp_ef2_m	1.35061503943736660e+00	8.45457450483814599e-01	1.73052819845920351e-02	8.28152168499222574e-01	1.33330975745277458e+00	1.03767334917735090e-03	1.31779433462093073e-06	-1.03899114402270431e-03	TRUE	TRUE
XQSEF1_S	3	DIV2_P	c_p1_comp_s	e_scomp_ef1_s	1.35052632754107482e+00	8.45457415274444957e-01	1.73051543567055745e-02	8.28152260917739413e-01	1.33322117318436928e+00	1.03766564072922066e-03	1.31784014361489694e-06	-1.03898348138347870e-03	TRUE	TRUE
XQSEF2_S	3	DIV2_N	c_p1_comp_s	e_scomp_ef2_s	1.35052632754107460e+00	8.45457415274444957e-01	1.73051543567055641e-02	8.28152260917739413e-01	1.33322117318436906e+00	1.03766564072922240e-03	1.31784014361490012e-06	-1.03898348138348044e-03	TRUE	TRUE
XQEF1_M	1	VCC_HBT	c_p_m	ef_p_m	2.50000000000000000e+00	2.22766849757614160e+00	1.35061503943739303e+00	8.77053458138748576e-01	1.14938496056260697e+00	1.03596461279375726e-03	1.70873574770577984e-06	-1.03767334877312694e-03	TRUE	TRUE
XQEF2_M	1	VCC_HBT	c_n_m	ef_n_m	2.50000000000000000e+00	2.22766849757611318e+00	1.35061503943736660e+00	8.77053458138746578e-01	1.14938496056263340e+00	1.03596461279371324e-03	1.70873574770570361e-06	-1.03767334877308292e-03	TRUE	TRUE
XQEF1_S	1	VCC_HBT	c_p_s	DIV2_P	2.50000000000000000e+00	2.22766760648355788e+00	1.35052632754107482e+00	8.77141278942483060e-01	1.14947367245892518e+00	1.03766263511583271e-03	1.71246936939670732e-06	-1.03937510471682694e-03	TRUE	TRUE
XQEF2_S	1	VCC_HBT	c_n_s	DIV2_N	2.50000000000000000e+00	2.22766760648355966e+00	1.35052632754107460e+00	8.77141278942485059e-01	1.14947367245892540e+00	1.03766263511585613e-03	1.71246936939675729e-06	-1.03937510471685036e-03	TRUE	TRUE
XQCLK_TRACK_M	1	e_track_m	CLK_P	e_tail_m	4.83154860150596555e-01	1.19999999999999996e+00	2.41302359255032045e-01	9.58697640744967883e-01	2.41852500895564509e-01	1.90749725628076264e-03	1.02422957708308613e-05	-1.91734572864262322e-03	TRUE	FALSE
XQCLK_LATCH_S	1	e_latch_s	CLK_P	e_tail_s	4.83154882018115350e-01	1.19999999999999996e+00	2.41302447391603780e-01	9.58697552608396175e-01	2.41852434626511570e-01	1.90749604024186394e-03	1.02422744443194731e-05	-1.91734449244174306e-03	TRUE	FALSE
XQS_COMP_M	6	e_tail_m	c_p1_comp_m	e_scomp_m	2.41302359255032045e-01	8.45457450483814599e-01	1.59933667863394295e-02	8.29464083697475152e-01	2.25308992468692626e-01	1.91735333878064363e-03	2.48188968198293987e-06	-1.91982694152941988e-03	TRUE	FALSE
XQS_COMP_S	6	e_tail_s	c_p1_comp_s	e_scomp_s	2.41302447391603780e-01	8.45457415274444957e-01	1.59933564734755056e-02	8.29464058800969406e-01	2.25309090918128285e-01	1.91735210255747032e-03	2.48188793504296900e-06	-1.91982570358492709e-03	TRUE	FALSE
