role	private_artifact	private_bytes	private_sha256	public_artifact	public_bytes	public_sha256	publication_transform
diagnostic_candidate	p1_cml_div2_front_integrated_sinks_selft0_diagnostic.spice	5662	16ce04d7b3112a26e4b28e8fbe379e9bbb9882ba99ce408961e6b0e2429e0a46	p1_cml_div2_front_integrated_sinks_selft0_diagnostic.spice	5662	16ce04d7b3112a26e4b28e8fbe379e9bbb9882ba99ce408961e6b0e2429e0a46	verbatim
candidate_diff	V5-SELFT0-DIAGNOSTIC.diff	6372	a01e8f82a84960ee4def2e115b8355521a2f50bbd002327259d982686c1f9f60	V5-SELFT0-DIAGNOSTIC.diff	6372	a01e8f82a84960ee4def2e115b8355521a2f50bbd002327259d982686c1f9f60	verbatim
deck	tb_p1_cml_div2_front_tran_v5_selft0_diagnostic.cir	1684	21476a37993b026cfe3dce4f8b0b1cb8ce1af9173b071e2c1a15ebf50ee550c7	tb_p1_cml_div2_front_tran_v5_selft0_diagnostic.public.cir	1588	8ce56f6bdbaf75f4e57b5cfb04e73896a772d4225a656303622a70a21c229914	paths_only
native_log	evidence/tb_p1_cml_div2_front_tran_v5_selft0_diagnostic.log	5867	341e4d0bcd10fa7d06689b2bd25e59bf6bff15bfb8fbd0c8722f206bc98cb493	evidence/tb_p1_cml_div2_front_tran_v5_selft0_diagnostic.log	5867	341e4d0bcd10fa7d06689b2bd25e59bf6bff15bfb8fbd0c8722f206bc98cb493	verbatim
native_raw	raw_tb_p1_cml_div2_front_tran_v5_selft0_diagnostic.raw	7857475	cf6067c37593907e3f86e7b17354b9d0229603f5924d63326ed0ab8aa29bad17	raw_tb_p1_cml_div2_front_tran_v5_selft0_diagnostic.raw	7857475	cf6067c37593907e3f86e7b17354b9d0229603f5924d63326ed0ab8aa29bad17	verbatim
openada_result	openada-result-selft0.json	11188	832aebeae2436c3faebfcab95815be76fe2600da4599d5333449c4ac976a92b3	openada-result.public.json	9914	820cf07573310e4c4cc2e37ce02be0c40397f8592a62166c2fd17c05a1a86d20	paths_only
control	evidence/tb_p1_cml_div2_front_tran_v5_selft0_diagnostic.openada-control.sp	212	8572637d4e03fc1db3a7aa9036d6b8ecf54768298f95586c2245ccb3c25a6cb2	evidence/tb_p1_cml_div2_front_tran_v5_selft0_diagnostic.openada-control.public.sp	107	d29c93b4595d861934922d91e798c00e47218daf379ce56a447bd045b14e586e	paths_only
raw_summary	RAW-SUMMARY.tsv	383	89d2ed1a4847c4f342c65445cfd7e9f4c6d0c6d14fbd90e3e0e64475fcd6e582	RAW-SUMMARY.tsv	383	89d2ed1a4847c4f342c65445cfd7e9f4c6d0c6d14fbd90e3e0e64475fcd6e582	advisor_derived_from_raw
waveform_comparison	WAVEFORM-COMPARISON.tsv	1912	0b601dd4f73fd6105a49cc71e01619e1e607da82a511089fa6cf77906b365144	WAVEFORM-COMPARISON.tsv	1912	0b601dd4f73fd6105a49cc71e01619e1e607da82a511089fa6cf77906b365144	advisor_derived_from_raw
output_crossings	OUTPUT-CROSSINGS.tsv	745	b97b2ba36409645469df32a2c01093572f034818bc28969631c66adde6aa50c8	OUTPUT-CROSSINGS.tsv	745	b97b2ba36409645469df32a2c01093572f034818bc28969631c66adde6aa50c8	advisor_derived_from_raw
