device_instance	bound_name	extrema_value_V	extrema_time_ns	violating_sample_count	violation_interval_count	total_violation_duration_ps	longest_contiguous_violation_duration_ps	longest_violation_start_ns	longest_violation_end_ns	clk_p_at_extrema_V	clk_n_at_extrema_V	ic_at_extrema_A	vbe_at_extrema_V	vce_at_extrema_V
XQSEF1_M	VBE_LOW_0P65	8.26673832462865632e-01	2.0038049970e+00	0	0	0.0000000000e+00	0.0000000000e+00	NONE	NONE	1.19999999999999996e+00	0.00000000000000000e+00	1.22824577870206072e-03	8.26673832462865632e-01	1.34055838635800639e+00
XQSEF1_M	VBE_HIGH_0P96	8.29995471983506095e-01	3.7029800000e+00	0	0	0.0000000000e+00	0.0000000000e+00	NONE	NONE	0.00000000000000000e+00	1.19999999999999996e+00	8.71346062319030635e-04	8.29995471983506095e-01	1.59498086245297754e+00
XQSEF1_M	VCE_LOW_0P40	9.56299702646467353e-01	3.9138187121e+00	0	0	0.0000000000e+00	0.0000000000e+00	NONE	NONE	0.00000000000000000e+00	1.19999999999999996e+00	1.02292929644206025e-03	8.28240092130564709e-01	9.56299702646467353e-01
XQSEF1_M	VCE_HIGH_1P60	1.67963395166465057e+00	3.8009800000e+00	490	20	8.7430864078e+02	8.7146108276e+01	2.0157845046e+00	2.1029306129e+00	1.19999999999999996e+00	0.00000000000000000e+00	1.08885452188469452e-03	8.28052665434298230e-01	1.67963395166465057e+00
XQSEF2_M	VBE_LOW_0P65	8.26678373314887915e-01	2.2038050756e+00	0	0	0.0000000000e+00	0.0000000000e+00	NONE	NONE	1.19999999999999996e+00	0.00000000000000000e+00	1.22824869353746501e-03	8.26678373314887915e-01	1.34053721890821276e+00
XQSEF2_M	VBE_HIGH_0P96	8.29998935004846228e-01	3.9029800000e+00	0	0	0.0000000000e+00	0.0000000000e+00	NONE	NONE	0.00000000000000000e+00	1.19999999999999996e+00	8.71308107969591275e-04	8.29998935004846228e-01	1.59496798226785796e+00
XQSEF2_M	VCE_LOW_0P40	9.56413871197799970e-01	3.7138188564e+00	0	0	0.0000000000e+00	0.0000000000e+00	NONE	NONE	0.00000000000000000e+00	1.19999999999999996e+00	1.02278650246248647e-03	8.28239369764927180e-01	9.56413871197799970e-01
XQSEF2_M	VCE_HIGH_1P60	1.67964124755642463e+00	3.6009800000e+00	491	21	8.7438965180e+02	8.7146155076e+01	2.2157843044e+00	2.3029304594e+00	1.19999999999999996e+00	0.00000000000000000e+00	1.08869781057806692e-03	8.28052072370495607e-01	1.67964124755642463e+00
XQSEF1_S	VBE_LOW_0P65	8.26678912197290505e-01	2.1058200926e+00	0	0	0.0000000000e+00	0.0000000000e+00	NONE	NONE	0.00000000000000000e+00	1.19999999999999996e+00	1.22720432806721269e-03	8.26678912197290505e-01	1.34050846526055700e+00
XQSEF1_S	VBE_HIGH_0P96	8.30018055623557349e-01	3.8009800000e+00	0	0	0.0000000000e+00	0.0000000000e+00	NONE	NONE	1.19999999999999996e+00	0.00000000000000000e+00	8.68813949622172744e-04	8.30018055623557349e-01	1.59294395386025700e+00
