assertion_id	source_file	source_sha256	physical_line	source_literal	classification	observed_values	upstream_v4_assertion	provenance_class
BRIDGE_BASE	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	N/A	byte-exact base vbicload.c (Ith-term V2 applied source)	bridge	base lines=4416; SHA bound 01cc4f1f	lineage official 752518c6 -> b3abd28a -> ee6b2aa9 -> e8939ea1 -> 01cc4f1f	bridge_row
BRIDGE_PATCH	vbicload.c	3699f89330327627b1b9c50ecae4c7fc7c8fb6d60ef831d57967cdd65634c4b2	N/A	NGSPICE46-VBIC-IBE-SOURCE-DIAGNOSTIC-V2.patch (SHA-256 3699f89330327627b1b9c50ecae4c7fc7c8fb6d60ef831d57967cdd65634c4b2, 3872 B)	bridge	numstat 17 additions / 3 deletions; patch dry-run exit 0; git apply --check exit 0; numstat cmd 17 3 spicelib/devices/vbic/vbicload.c; fresh -p0 apply byte-identical=True	applies to base 01cc4f1f	bridge_row
BRIDGE_APPLIED	vbicload.c	2999b2afa9a34fdd501f02a2312be2b98f5f5f57c9d7bd0637321a61aa581075	N/A	final applied source vbicload_ibe_source_diag_v2.c	bridge	applied lines=4430	base + patch	bridge_row
BRIDGE_BRANCH	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	N/A	static branch resolution for the frozen candidate	bridge	p[32]=VBICportionIBEI (WBE=1.00, no override) -> p[32]==1.0; p[98]=VBICtvbbe (VBBE unset, default 0.0) -> p[98]<=0.0; taken assignment is exactly base line 3639; Ibex=0 is corroboration, not proof	vbicdefs.h / npn13G2_NX_vbic model / vbicsetup.c / vbictemp.c	bridge_row
BRIDGE_NONLIN	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	N/A	complete taken-chain nonlinear inventory	bridge	IBEIatT chain: pow(2018), exp(2026), pow(2035); IBENatT chain: pow(2041), exp(2049), pow(2058); junction: exp(3597), exp(3605); caller-side DEVlimitlog(711) can alter Vrth before the function call and therefore can affect Tdev and Ibe; no pnjlim/limv inside vbic_4T_et_cf_fj	static scan of taken Ibe dependency chain + caller side	bridge_row
BRIDGE_OBS_SCOPE	vbicload.c	2999b2afa9a34fdd501f02a2312be2b98f5f5f57c9d7bd0637321a61aa581075	N/A	marker observation scope	bridge	reads only function locals (IBEIatT, expi, IBENatT, expn, argi, argn, Vtv, Tdev, rT, dT), call-input dereferences (*Ibe, *Vbei, *Vrth), and model-parameter array p[] (p[31], p[33], p[34], p[35], p[32], p[98]) copied from model state; expx/argx NOT read (unassigned on taken branch); no circuit/model/matrix/RHS/state writes; diagnostic stderr output plus the once-flag mutation remain	call-input p[] = function's model-parameter array copied from model state	bridge_row
BRIDGE_CONSISTENCY	vbicload.c	2999b2afa9a34fdd501f02a2312be2b98f5f5f57c9d7bd0637321a61aa581075	N/A	cross-row containment consistency	bridge	inside the IbeDiagActive runtime block exactly: 4 fprintf stderr calls, their 4 argument lines, 1 runtime once-flag mutation, 1 block close = 10 lines; outside the runtime block: caller-side predicate argument, call-site tail preservation, prototype interface change, definition interface change, marker comment, static once-flag declaration, runtime trigger = 7 added lines; 3 deleted original lines; total added 17	patch V2 3699f893 retained; applied source 2999b2af byte-identical	bridge_row
CHG_039_D	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	39	    double *,double *);	deleted original line (outside runtime trigger)	double *,double *);	changed line	deleted_line
CHG_039_A	vbicload.c	2999b2afa9a34fdd501f02a2312be2b98f5f5f57c9d7bd0637321a61aa581075	39	    double *,double *,int);	interface change: prototype gains trailing int parameter (outside runtime trigger)	double *,double *,int);	changed line	added_statement
CHG_739_D	vbicload.c	01cc4f1fe6c078df51147cf1ab6b60714b3fe68e704053769777528a1f1f3b06	739	                ,&Qcth_Vrth, &SCALE);	deleted original line (outside runtime trigger)	,&Qcth_Vrth, &SCALE);	changed line	deleted_line
